# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.28
metadata : {}


# id : NWRW1800000036.28.1.1
IMF, 올 한국성장률 전망 0.25%p 낮출듯

IMF,	IMF/SL+,/SP
올	올/NNG
한국성장률	한국/NNP+성장/NNG+률/XSN
전망	전망/NNG
0.25%p	0/SN+./SP+25/SN+%p/SW
낮출듯	낮추/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000036.28.2.1
[한겨레] “금융시장 취약…가계부채 문제”

[한겨레]	[/SS+한겨레/NNP+]/SS
“금융시장	“/SS+금융/NNG+시장/NNG
취약…가계부채	취약/NNG+…/SE+가계/NNG+부채/NNG
문제”	문제/NNG+”/SS


# id : NWRW1800000036.28.3.1
국제통화기금(IMF) 협의단이 올해 우리나라 경제성장률 전망치를 종전 3.5%에서 0.25%포인트 사실상 하향 조정했다.

국제통화기금(IMF)	국제통화기금/NNP+(/SS+IMF/SL+)/SS
협의단이	협의단/NNG+이/JKS
올해	올해/NNG
우리나라	우리나라/NNG
경제성장률	경제/NNG+성장/NNG+률/XSN
전망치를	전망/NNG+치/XSN+를/JKO
종전	종전/NNG
3.5%에서	3/SN+./SP+5/SN+%/SW+에서/JKB
0.25%포인트	0/SN+./SP+25/SN+%포인트/NNG
사실상	사실/NNG+상/XSN
하향	하향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.28.3.2
협의단은 지난달 말부터 2주동안 한국 경제 상황을 직접 살펴왔다.

협의단은	협의단/NNG+은/JX
지난달	지난달/NNG
말부터	말/NNB+부터/JX
2주동안	2/SN+주/NNB+동안/NNG
한국	한국/NNP
경제	경제/NNG
상황을	상황/NNG+을/JKO
직접	직접/MAG
살펴왔다.	살피/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.28.3.3
세계경제 여건이 예상보다 나빠지는 상황에서, 한국 금융시장에 취약성이 존재하고 높은 수준의 가계부채가 문제가 될 수 있다는 게 근거다.

세계경제	세계/NNG+경제/NNG
여건이	여건/NNG+이/JKS
예상보다	예상/NNG+보다/JKB
나빠지는	나빠지/VV+는/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
한국	한국/NNP
금융시장에	금융/NNG+시장/NNG+에/JKB
취약성이	취약/NNG+성/XSN+이/JKS
존재하고	존재/NNG+하/XSV+고/EC
높은	높/VA+은/ETM
수준의	수준/NNG+의/JKG
가계부채가	가계/NNG+부채/NNG+가/JKS
문제가	문제/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
근거다.	근거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.28.4.1
국제통화기금 협의단은 12일 오후 정부 과천청사에서 ‘2012년 아이엠에프-한국 연례협의’ 결과를 발표하면서, 올해 한국 경제성장률이 지난 4월 발표 때보다 0.25%포인트 낮아질 것이라 예상했다.

국제통화기금	국제통화기금/NNP
협의단은	협의단/NNG+은/JX
12일	12/SN+일/NNB
오후	오후/NNG
정부	정부/NNG
과천청사에서	과천청사/NNP+에서/JKB
‘2012년	‘/SS+2012/SN+년/NNB
아이엠에프-한국	아이엠에프/NNP+-/SO+한국/NNP
연례협의’	연례/NNG+협의/NNG+’/SS
결과를	결과/NNG+를/JKO
발표하면서,	발표/NNG+하/XSV+면서/EC+,/SP
올해	올해/NNG
한국	한국/NNP
경제성장률이	경제/NNG+성장/NNG+률/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
발표	발표/NNG
때보다	때/NNG+보다/JKB
0.25%포인트	0/SN+./SP+25/SN+%포인트/NNG
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.28.4.2
국제통화기금은 애초 올해 성장률 전망치로 3.5%를 제시한 바 있다.

국제통화기금은	국제통화기금/NNP+은/JX
애초	애초/NNG
올해	올해/NNG
성장률	성장/NNG+률/XSN
전망치로	전망/NNG+치/XSN+로/JKB
3.5%를	3/SN+./SP+5/SN+%/SW+를/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.28.4.3
국제통화기금은 “유럽 위기의 심화가 예상된다”며 “(한국의) 유럽에 대한 직접적인 위험 노출은 크지 않지만 위기 여파가 미국과 중국으로 전이될 경우 큰 영향을 받을 수 있다”고 밝혔다.

국제통화기금은	국제통화기금/NNP+은/JX
“유럽	“/SS+유럽/NNP
위기의	위기/NNG+의/JKG
심화가	심화/NNG+가/JKS
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“(한국의)	“/SS+(/SS+한국/NNP+의/JKG+)/SS
유럽에	유럽/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
위험	위험/NNG
노출은	노출/NNG+은/JX
크지	크/VA+지/EC
않지만	않/VX+지만/EC
위기	위기/NNG
여파가	여파/NNG+가/JKS
미국과	미국/NNP+과/JC
중국으로	중국/NNP+으로/JKB
전이될	전이/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.28.4.4
호이 코르 평가단장은 “애초 올 하반기에 한국 경기가 회복될 것으로 전망했다”며 “그러나 세계 경기둔화 가능성이 커지면서 한국의 경기 회복도 애초 예상보다 한두 분기쯤 늦은 2013년 초에나 가능할 것”이라고 전망했다.

호이	호이/NNP
코르	코르/NNP
평가단장은	평가단장/NNG+은/JX
“애초	“/SS+애초/NNG
올	올/NNG
하반기에	하반기/NNG+에/JKB
한국	한국/NNP
경기가	경기/NNG+가/JKS
회복될	회복/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망했다”며	전망/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
세계	세계/NNG
경기둔화	경기/NNG+둔화/NNG
가능성이	가능/NNG+성/XSN+이/JKS
커지면서	커지/VV+면서/EC
한국의	한국/NNP+의/JKG
경기	경기/NNG
회복도	회복/NNG+도/JX
애초	애초/NNG
예상보다	예상/NNG+보다/JKB
한두	한두/MMN
분기쯤	분기/NNG+쯤/XSN
늦은	늦/VA+은/ETM
2013년	2013/SN+년/NNB
초에나	초/NNB+에/JKB+나/JX
가능할	가능/NNG+하/XSA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.28.5.1
국내 금융시스템의 취약성에 대한 경고도 나왔다.

국내	국내/NNG
금융시스템의	금융/NNG+시스템/NNG+의/JKG
취약성에	취약/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
경고도	경고/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.28.5.2
국제통화기금은 “한국이 아시아에서 가장 개방된 경제 중 하나이지만, 자본유출입 변동성 및 외화조달 리스크에 노출돼 있다”며 “한국 정부가 ‘테일 리스크’(예상치 못한 위험)에 맞서 비상 대책을 강화해야 한다”고 조언했다.

국제통화기금은	국제통화기금/NNP+은/JX
“한국이	“/SS+한국/NNP+이/JKS
아시아에서	아시아/NNP+에서/JKB
가장	가장/MAG
개방된	개방/NNG+되/XSV+ㄴ/ETM
경제	경제/NNG
중	중/NNB
하나이지만,	하나/NR+이/VCP+지만/EC+,/SP
자본유출입	자본/NNG+유출입/NNG
변동성	변동/NNG+성/XSN
및	및/MAG
외화조달	외화/NNG+조달/NNG
리스크에	리스크/NNG+에/JKB
노출돼	노출/NNG+되/XSV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“한국	“/SS+한국/NNP
정부가	정부/NNG+가/JKS
‘테일	‘/SS+테일/NNG
리스크’(예상치	리스크/NNG+’/SS+(/SS+예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
위험)에	위험/NNG+)/SS+에/JKB
맞서	맞서/VV+어/EC
비상	비상/NNG
대책을	대책/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.28.5.3
국제통화기금은 이어 “최근 가계에 대한 비은행 금융기관 대출이 급증하고 있고, 이 상황에 대한 긴밀한 모니터링과 시정조치가 필요하다”며 높은 가계부채에 대한 감시 강화도 요구했다.

국제통화기금은	국제통화기금/NNP+은/JX
이어	이어/MAG
“최근	“/SS+최근/MAG
가계에	가계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비은행	비/XPN+은행/NNG
금융기관	금융/NNG+기관/NNG
대출이	대출/NNG+이/JKS
급증하고	급증/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
이	이/MMD
상황에	상황/NNG+에/JKB
긴밀한	긴밀하/VA+ㄴ/ETM
모니터링과	모니터링/NNG+과/JC
시정조치가	시정/NNG+조치/NNG+가/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
높은	높/VA+은/ETM
가계부채에	가계/NNG+부채/NNG+에/JKB
감시	감시/NNG
강화도	강화/NNG+도/JX
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


