# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.70
metadata : {}


# id : NWRW1800000033.70.1.1
롬니, 상처 안은 2연승

롬니,	롬니/NNP+,/SP
상처	상처/NNG
안은	안/VV+은/ETM
2연승	2/SN+연승/NNG


# id : NWRW1800000033.70.2.1
고향 미시간서 샌토럼 가까스로 눌러… 모르몬교도 많은 애리조나 압승 위안

고향	고향/NNG
미시간서	미시간/NNP+서/JKB
샌토럼	샌토럼/NNP
가까스로	가까스로/MAG
눌러…	누르/VV+어/EC+…/SE
모르몬교도	모르몬교/NNG+도/JX
많은	많/VA+은/ETM
애리조나	애리조나/NNP
압승	압승/NNG
위안	위안/NNG


# id : NWRW1800000033.70.3.1
“많은 표차로 이기지는 않았지만 충분하게 승리했다.”

“많은	“/SS+많/VA+은/ETM
표차로	표/NNG+차/NNG+로/JKB
이기지는	이기/VV+지/EC+는/JX
않았지만	않/VX+았/EP+지만/EC
충분하게	충분하/VA+게/EC
승리했다.”	승리/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000033.70.4.1
밋 롬니 전 미국 매사추세츠 주지사는 2월 28일 미시간 주 디트로이트 시 외곽에서 지지자들에게 이같이 말했다.

밋	밋/NNP
롬니	롬니/NNP
전	전/MMD
미국	미국/NNP
매사추세츠	매사추세츠/NNP
주지사는	주지사/NNG+는/JX
2월	2/SN+월/NNB
28일	28/SN+일/NNB
미시간	미시간/NNP
주	주/NNG
디트로이트	디트로이트/NNP
시	시/NNG
외곽에서	외곽/NNG+에서/JKB
지지자들에게	지지자/NNG+들/XSN+에게/JKB
이같이	이같이/MAG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.70.4.2
자신의 텃밭인 미시간 프라이머리(예비선거)에서 41%의 지지를 얻어 릭 샌토럼 후보(38%)를 가까스로 제친 뒤였다.

자신의	자신/NNG+의/JKG
텃밭인	텃밭/NNG+이/VCP+ㄴ/ETM
미시간	미시간/NNP
프라이머리(예비선거)에서	프라이머리/NNG+(/SS+예비/NNG+선거/NNG+)/SS+에서/JKB
