# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.120
metadata : {}


# id : NWRW1800000022.120.1.1
"세이브 인터넷(인터넷을 구하자)으로 미래 여는 정론 펼 것";인터넷 신문 '뉴데일리' 인보길 사장

"세이브	"/SS+세이브/NNG
인터넷(인터넷을	인터넷/NNG+(/SS+인터넷/NNG+을/JKO
구하자)으로	구하/VV+자/EF+)/SS+으로/JKB
미래	미래/NNG
여는	열/VV+는/ETM
정론	정론/NNG
펼	펴/VV+ㄹ/ETM
것";인터넷	것/NNB+"/SS+;/SW+인터넷/NNG
신문	신문/NNG
'뉴데일리'	'/SS+뉴데일리/NNP+'/SS
인보길	인보길/NNP
사장	사장/NNG


# id : NWRW1800000022.120.2.1
인터넷 공간에서 잡초처럼 자라며 퍼지고 있는 친북좌파들의 거짓 선전· 선동을 감시하고 비판하는 파수꾼으로 뉴데일리를 키우겠습니다.

인터넷	인터넷/NNG
공간에서	공간/NNG+에서/JKB
잡초처럼	잡초/NNG+처럼/JKB
자라며	자라/VV+며/EC
퍼지고	퍼지/VV+고/EC
있는	있/VX+는/ETM
친북좌파들의	친북/NNG+좌파/NNG+들/XSN+의/JKG
거짓	거짓/NNG
선전·	선전/NNG+·/SP
선동을	선동/NNG+을/JKO
감시하고	감시/NNG+하/XSV+고/EC
비판하는	비판/NNG+하/XSV+는/ETM
파수꾼으로	파수/NNG+꾼/XSN+으로/JKB
뉴데일리를	뉴데일리/NNP+를/JKO
키우겠습니다.	키우/VV+겠/EP+습니다/EF+./SF


# id : NWRW1800000022.120.3.1
인터넷 신문인 '뉴데일리'(www.newdaily.co.kr)의 인보길(印輔吉·69) 사장은 6일 "지난해 광우병 사태와 같은 거짓과 무지에 기반한 선동이 또다시 대한민국을 뒤흔드는 상황이 오지 않도록 팩트(fact·사실)와 논리로 무장해 좌파의 거짓 주장에 맞서 싸우겠다"고 말했다.

인터넷	인터넷/NNG
신문인	신문/NNG+이/VCP+ㄴ/ETM
'뉴데일리'(www.newdaily.co.kr)의	'/SS+뉴데일리/NNP+'/SS+(/SS+www/SL+./SP+newdaily/SL+./SP+co/SL+./SP+kr/SL+)/SS+의/JKG
인보길(印輔吉·69)	인보길/NNP+(/SS+印輔吉/SH+·/SP+69/SN+)/SS
사장은	사장/NNG+은/JX
6일	6/SN+일/NNB
"지난해	"/SS+지난해/NNG
광우병	광우병/NNG
사태와	사태/NNG+와/JKB
같은	같/VA+은/ETM
거짓과	거짓/NNG+과/JC
무지에	무지/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
선동이	선동/NNG+이/JKS
또다시	또다시/MAG
대한민국을	대한민국/NNP+을/JKO
뒤흔드는	뒤흔들/VV+는/ETM
상황이	상황/NNG+이/JKS
오지	오/VV+지/EC
않도록	않/VX+도록/EC
팩트(fact·사실)와	팩트/NNG+(/SS+fact/SL+·/SP+사실/NNG+)/SS+와/JC
논리로	논리/NNG+로/JKB
무장해	무장/NNG+하/XSV+아/EC
좌파의	좌파/NNG+의/JKG
거짓	거짓/NNG
주장에	주장/NNG+에/JKB
맞서	맞서/VV+어/EC
싸우겠다"고	싸우/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.120.4.1
뉴데일리는 2005년 '자유민주주의'와 '시장경제'를 핵심 가치로 내세우며 창간된 우파 성향 온라인전용 매체.

뉴데일리는	뉴데일리/NNP+는/JX
2005년	2005/SN+년/NNB
'자유민주주의'와	'/SS+자유/NNG+민주주의/NNG+'/SS+와/JC
'시장경제'를	'/SS+시장/NNG+경제/NNG+'/SS+를/JKO
핵심	핵심/NNG
가치로	가치/NNG+로/JKB
내세우며	내세우/VV+며/EC
창간된	창간/NNG+되/XSV+ㄴ/ETM
우파	우파/NNG
성향	성향/NNG
온라인전용	온라인/NNG+전용/NNG
매체.	매체/NNG+./SF


# id : NWRW1800000022.120.4.2
지난 2월 사장으로 취임한 인 사장은 '뉴데일리 재창간' 작업을 진행 중이다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
사장으로	사장/NNG+으로/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
인	인/NNP
사장은	사장/NNG+은/JX
'뉴데일리	'/SS+뉴데일리/NNP
재창간'	재/XPN+창간/NNG+'/SS
작업을	작업/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.120.5.1
"대한민국은 정보화 혁명에 성공해 기술적으로는 IT(정보기술)강국입니다.

"대한민국은	"/SS+대한민국/NNP+은/JX
정보화	정보/NNG+화/XSN
혁명에	혁명/NNG+에/JKB
성공해	성공/NNG+하/XSV+아/EC
기술적으로는	기술/NNG+적/XSN+으로/JKB+는/JX
IT(정보기술)강국입니다.	IT/SL+(/SS+정보/NNG+기술/NNG+)/SS+강국/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.120.5.2
하지만 인터넷 콘텐츠 측면에서는 소수의 좌파 세력이 거짓과 허위로 포장한 3류 콘텐츠가 대부분을 차지하면서, 인터넷은 순기능보다 역기능이 더 커지고 있습니다."

하지만	하지만/MAJ
인터넷	인터넷/NNG
콘텐츠	콘텐츠/NNG
측면에서는	측면/NNG+에서/JKB+는/JX
소수의	소수/NNG+의/JKG
좌파	좌파/NNG
세력이	세력/NNG+이/JKS
거짓과	거짓/NNG+과/JC
허위로	허위/NNG+로/JKB
포장한	포장/NNG+하/XSV+ㄴ/ETM
3류	3/SN+류/XSN
콘텐츠가	콘텐츠/NNG+가/JKS
대부분을	대/XPN+부분/NNG+을/JKO
차지하면서,	차지/NNG+하/XSV+면서/EC+,/SP
인터넷은	인터넷/NNG+은/JX
순기능보다	순기능/NNG+보다/JKB
역기능이	역기능/NNG+이/JKS
더	더/MAG
커지고	커지/VV+고/EC
있습니다."	있/VX+습니다/EF+./SF+"/SS


# id : NWRW1800000022.120.6.1
그는 "힘들여 비료를 뿌리고 물을 댔는데 정작 논에는 '잡초'만 무성하게 자라고 있는 꼴"이라며 "왜곡된 인터넷 생태계를 바로잡는 데 뉴데일리가 앞장서겠다"고 말했다.

그는	그/NP+는/JX
"힘들여	"/SS+힘들이/VV+어/EC
비료를	비료/NNG+를/JKO
뿌리고	뿌리/VV+고/EC
물을	물/NNG+을/JKO
댔는데	대/VV+었/EP+는데/EC
정작	정작/MAG
논에는	논/NNG+에/JKB+는/JX
'잡초'만	'/SS+잡초/NNG+'/SS+만/JX
무성하게	무성하/VA+게/EC
자라고	자라/VV+고/EC
있는	있/VX+는/ETM
꼴"이라며	꼴/NNG+"/SS+이/VCP+라며/EC
"왜곡된	"/SS+왜곡/NNG+되/XSV+ㄴ/ETM
인터넷	인터넷/NNG
생태계를	생태/NNG+계/XSN+를/JKO
바로잡는	바로잡/VV+는/ETM
데	데/NNB
뉴데일리가	뉴데일리/NNP+가/JKS
앞장서겠다"고	앞장서/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.120.7.1
조선일보 편집국장 때 정보화 운동을 벌이고 디지틀조선일보 사장을 역임한 인 사장은 오는 16일 '뉴데일리 재창간 선포식'을 열고 본격 활동에 들어간다.

조선일보	조선일보/NNP
편집국장	편집국장/NNG
때	때/NNG
정보화	정보/NNG+화/XSN
운동을	운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
디지틀조선일보	디지틀조선일보/NNP
사장을	사장/NNG+을/JKO
역임한	역임/NNG+하/XSV+ㄴ/ETM
인	인/NNP
사장은	사장/NNG+은/JX
오는	오/VV+는/ETM
16일	16/SN+일/NNB
'뉴데일리	'/SS+뉴데일리/NNP
재창간	재/XPN+창간/NNG
선포식'을	선포식/NNG+'/SS+을/JKO
열고	열/VV+고/EC
본격	본격/NNG
활동에	활동/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.120.7.2
이날을 기점으로 'Save Internet(인터넷을 구하자) 대한민국의 빛, 한반도의 어둠을 물리쳐라'라는 새로운 모토도 내걸 계획이다.

이날을	이날/NNG+을/JKO
기점으로	기점/NNG+으로/JKB
'Save	'/SS+Save/SL
Internet(인터넷을	Internet/SL+(/SS+인터넷/NNG+을/JKO
구하자)	구하/VV+자/EF+)/SS
대한민국의	대한민국/NNP+의/JKG
빛,	빛/NNG+,/SP
한반도의	한반도/NNP+의/JKG
어둠을	어둠/NNG+을/JKO
물리쳐라'라는	물리치/VV+어라/EF+'/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
모토도	모토/NNG+도/JX
내걸	내걸/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.120.8.1
"뉴데일리는 탈(脫)탄소 경제화 등 국가적인 의제(議題) 제시 등을 통해 대한민국의 국격(國格)을 높이는 데 앞장설 것입니다"

"뉴데일리는	"/SS+뉴데일리/NNP+는/JX
탈(脫)탄소	탈/XPN+(/SS+脫/SH+)/SS+탄소/NNG
경제화	경제/NNG+화/XSN
등	등/NNB
국가적인	국가/NNG+적/XSN+이/VCP+ㄴ/ETM
의제(議題)	의제/NNG+(/SS+議題/SH+)/SS
제시	제시/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
대한민국의	대한민국/NNP+의/JKG
국격(國格)을	국격/NNG+(/SS+國格/SH+)/SS+을/JKO
높이는	높이/VV+는/ETM
데	데/NNB
앞장설	앞장서/VV+ㄹ/ETM
것입니다"	것/NNB+이/VCP+ㅂ니다/EF+"/SS


# id : NWRW1800000022.120.9.1
인 사장은 "뉴데일리는 주류 매체들의 비판 칼날이 잘 닿지 않는 좌파 매체들의 무책임한 주장과 싸우는 매체이자 품위 있는 인터넷 문화를 만드는 연대 기구가 될 것"이라고 말했다.

인	인/NNP
사장은	사장/NNG+은/JX
"뉴데일리는	"/SS+뉴데일리/NNP+는/JX
주류	주류/NNG
매체들의	매체/NNG+들/XSN+의/JKG
비판	비판/NNG
칼날이	칼날/NNG+이/JKS
잘	잘/MAG
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
좌파	좌파/NNG
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
주장과	주장/NNG+과/JKB
싸우는	싸우/VV+는/ETM
매체이자	매체/NNG+이/VCP+자/EC
품위	품위/NNG
있는	있/VA+는/ETM
인터넷	인터넷/NNG
문화를	문화/NNG+를/JKO
만드는	만들/VV+는/ETM
연대	연대/NNG
기구가	기구/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.120.9.2
뉴데일리 재창간 선포식은 오는 16일 오후 5시 한국프레스센터에서 열린다.

뉴데일리	뉴데일리/NNP
