# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.17
metadata : {}


# id : NWRW1800000046.17.1.1
[깨알지식] 日외무성, 靑書 발표… 白書와 어떻게 다른가

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
日외무성,	日/SH+외무성/NNG+,/SP
靑書	靑書/SH
발표…	발표/NNG+…/SE
白書와	白書/SH+와/JKB
어떻게	어떻/VA+게/EC
다른가	다르/VA+ㄴ가/EF


# id : NWRW1800000046.17.2.1
일본 외무성이 7일 2015년판 '외교 청서(靑書)'를 공개했다.

일본	일본/NNP
외무성이	외무성/NNG+이/JKS
7일	7/SN+일/NNB
2015년판	2015/SN+년판/NNB
'외교	'/SS+외교/NNG
청서(靑書)'를	청서/NNG+(/SS+靑書/SH+)/SS+'/SS+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.17.2.2
올해에는 "한국과 민주주의·시장경제 등 기본적 가치를 공유한다"는 부분이 삭제되고 "일본 신문사의 과거 기사에서 '위안부를 강제 연행했다'는 증언은 허위라고 판단했다"는 부분이 추가됐다.

올해에는	올해/NNG+에/JKB+는/JX
"한국과	"/SS+한국/NNP+과/JC
민주주의·시장경제	민주주의/NNG+·/SP+시장/NNG+경제/NNG
등	등/NNB
기본적	기본/NNG+적/XSN
가치를	가치/NNG+를/JKO
공유한다"는	공유/NNG+하/XSV+ㄴ다/EF+"/SS+는/ETM
부분이	부분/NNG+이/JKS
삭제되고	삭제/NNG+되/XSV+고/EC
"일본	"/SS+일본/NNP
신문사의	신문사/NNG+의/JKG
과거	과거/NNG
기사에서	기사/NNG+에서/JKB
'위안부를	'/SS+위안부/NNG+를/JKO
강제	강제/NNG
연행했다'는	연행/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
증언은	증언/NNG+은/JX
허위라고	허위/NNG+이/VCP+라고/EC
판단했다"는	판단/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.17.3.1
외교 청서는 일본 외무성이 1957년부터 매년 내는 연례 보고서다.

외교	외교/NNG
청서는	청서/NNG+는/JX
일본	일본/NNP
외무성이	외무성/NNG+이/JKS
1957년부터	1957/SN+년/NNB+부터/JX
매년	매년/MAG
내는	내/VV+는/ETM
연례	연례/NNG
보고서다.	보고서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.17.3.2
한국의 외교 백서(白書) 격이다.
