# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.341
metadata : {}


# id : NWRW1800000046.341.1.1
['성완종 리스트' 파문] "주머니 메모(與핵심 8인과 돈 액수)는 일도 아니다"… 성완종 X파일 있나

['성완종	[/SS+'/SS+성완종/NNP
리스트'	리스트/NNG+'/SS
파문]	파문/NNG+]/SS
"주머니	"/SS+주머니/NNG
메모(與핵심	메모/NNG+(/SS+與/SH+핵심/NNG
8인과	8/SN+인/NNG+과/JC
돈	돈/NNG
액수)는	액수/NNG+)/SS+는/JX
일도	일/NNG+도/JX
아니다"…	아니/VCN+다/EF+"/SS+…/SE
성완종	성완종/NNP
X파일	X/SL+파일/NNG
있나	있/VA+나/EF


# id : NWRW1800000046.341.2.1
정치권 인사, 성완종 자살 닷새前 만나… 成, 정치자금 문제 털어놓은 듯

정치권	정치/NNG+권/XSN
인사,	인사/NNG+,/SP
성완종	성완종/NNP
자살	자살/NNG
닷새前	닷새/NNG+前/SH
만나…	만나/VV+아/EC+…/SE
成,	成/SH+,/SP
정치자금	정치/NNG+자금/NNG
문제	문제/NNG
털어놓은	털어놓/VV+은/ETM
듯	듯/NNB


# id : NWRW1800000046.341.3.1
성완종 전 경남기업 회장이 자살 닷새 전 친지 한 명과 함께 정치권 인사 A씨를 만나 정치권 금품 제공 사실을 일부 털어놓은 것으로 13일 알려졌다.

성완종	성완종/NNP
전	전/MMD
경남기업	경남기업/NNP
회장이	회장/NNG+이/JKS
자살	자살/NNG
닷새	닷새/NNG
친지	친지/NNG
한	한/MMN
명과	명/NNB+과/JKB
함께	함께/MAG
정치권	정치/NNG+권/XSN
인사	인사/NNG
A씨를	A/SL+씨/NNB+를/JKO
만나	만나/VV+아/EC
금품	금품/NNG
제공	제공/NNG
사실을	사실/NNG+을/JKO
일부	일부/NNG
털어놓은	털어놓/VV+은/ETM
것으로	것/NNB+으로/JKB
13일	13/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.341.3.2
성 전 회장을 만난 이 인사는 지난 9일 숨진 성 전 회장의 윗도리에서 여권 핵심 인사들에게 금품을 제공했다고 주장하는 메모가 발견된 데 대해 "이 메모는 일도 아니다"고 주변에 언급한 것으로 알려져 '성완종 리스트' 확대판이 존재할 가능성이 제기되고 있다.

성	성/NNP
전	전/MMD
회장을	회장/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
이	이/MMD
인사는	인사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
숨진	숨지/VV+ㄴ/ETM
회장의	회장/NNG+의/JKG
윗도리에서	윗도리/NNG+에서/JKB
여권	여권/NNG
핵심	핵심/NNG
인사들에게	인사/NNG+들/XSN+에게/JKB
금품을	금품/NNG+을/JKO
제공했다고	제공/NNG+하/XSV+았/EP+다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
메모가	메모/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"이	"/SS+이/MMD
메모는	메모/NNG+는/JX
일도	일/NNG+도/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
주변에	주변/NNG+에/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
'성완종	'/SS+성완종/NNP
리스트'	리스트/NNG+'/SS
확대판이	확대/NNG+판/NNG+이/JKS
존재할	존재/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.341.4.1
여권 관계자에 따르면 성 전 회장은 주말인 지난 4일 서울 모처에서 평소 가깝게 지내던 A씨를 두 시간여 만났다.

여권	여권/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
성	성/NNP
전	전/MMD
회장은	회장/NNG+은/JX
주말인	주말/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
서울	서울/NNP
모처에서	모처/NNG+에서/JKB
평소	평소/NNG
가깝게	가깝/VA+게/EC
지내던	지내/VV+던/ETM
A씨를	A/SL+씨/NNB+를/JKO
두	두/MMN
시간여	시간/NNB+여/XSN
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.341.4.2
