# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.412
metadata : {}


# id : NWRW1800000038.412.1.1
[채동욱 파문] 채동욱 총장, 혼외자 파문 관련 本社 상대 정정보도 청구 소송

[채동욱	[/SS+채동욱/NNP
파문]	파문/NNG+]/SS
채동욱	채동욱/NNP
총장,	총장/NNG+,/SP
혼외자	혼외자/NNG
파문	파문/NNG
관련	관련/NNG
本社	本社/SH
상대	상대/NNG
정정보도	정정/NNG+보도/NNG
청구	청구/NNG
소송	소송/NNG


# id : NWRW1800000038.412.2.1
본사 "유전자 감정 위한 증거보전 신청 등 적극 대응"

본사	본사/NNG
"유전자	"/SS+유전자/NNG
감정	감정/NNG
위한	위하/VV+ㄴ/ETM
증거보전	증거/NNG+보전/NNG
신청	신청/NNG
등	등/NNB
적극	적극/NNG
대응"	대응/NNG+"/SS


# id : NWRW1800000038.412.3.1
채동욱(54) 검찰총장이 24일 '혼외(婚外) 아들' 파문을 처음 보도한 본사를 상대로 정정보도 청구 소송을 냈다.

채동욱(54)	채동욱/NNP+(/SS+54/SN+)/SS
검찰총장이	검찰/NNG+총장/NNG+이/JKS
24일	24/SN+일/NNB
'혼외(婚外)	'/SS+혼외/NNG+(/SS+婚外/SH+)/SS
아들'	아들/NNG+'/SS
파문을	파문/NNG+을/JKO
처음	처음/NNG
보도한	보도/NNG+하/XSV+ㄴ/ETM
본사를	본사/NNG+를/JKO
상대로	상대/NNG+로/JKB
정정보도	정정/NNG+보도/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.412.4.1
채 총장은 소장(訴狀) 접수 직전 입장 발표를 통해 "공직자로서 송구스럽다"고 사과했다.

채	채/NNP
총장은	총장/NNG+은/JX
소장(訴狀)	소장/NNG+(/SS+訴狀/SH+)/SS
접수	접수/NNG
직전	직전/NNG
입장	입장/NNG
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
"공직자로서	"/SS+공직자/NNG+로서/JKB
송구스럽다"고	송구스럽/VA+다/EF+"/SS+고/JKQ
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.412.4.2
그는 "개인 신상에 관한 논란이 더 이상 정치 쟁점화되고, 국정에 부담이 되는 것을 결코 바라지 않는다"고 덧붙였다.

그는	그/NP+는/JX
"개인	"/SS+개인/NNG
신상에	신상/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
더	더/MAG
이상	이상/NNG
정치	정치/NNG
쟁점화되고,	쟁점/NNG+화/XSN+되/XSV+고/EC+,/SP
국정에	국정/NNG+에/JKB
부담이	부담/NNG+이/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
결코	결코/MAG
