# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.328
metadata : {}


# id : NWRW1800000022.328.1.1
"기업형 수퍼와 경쟁" 동네 수퍼도 체인화한다;정부, 시설자금 직접 지원 공동 구매로 가격 낮추고 직원들 유니폼도 갖추기로

"기업형	"/SS+기업/NNG+형/XSN
수퍼와	수퍼/NNG+와/JKB
경쟁"	경쟁/NNG+"/SS
동네	동네/NNG
수퍼도	수퍼/NNG+도/JX
체인화한다;정부,	체인/NNG+화/XSN+하/XSV+ㄴ다/EF+;/SW+정부/NNG+,/SP
시설자금	시설/NNG+자금/NNG
직접	직접/MAG
지원	지원/NNG
공동	공동/NNG
구매로	구매/NNG+로/JKB
가격	가격/NNG
낮추고	낮추/VV+고/EC
직원들	직원/NNG+들/XSN
유니폼도	유니폼/NNG+도/JX
갖추기로	갖추/VV+기/ETN+로/JKB


# id : NWRW1800000022.328.2.1
이르면 내년부터 같은 브랜드를 쓰는 '동네 수퍼마켓 체인'들이 속속 생겨날 것으로 보인다.

이르면	이르/VA+면/EC
내년부터	내년/NNG+부터/JX
같은	같/VA+은/ETM
브랜드를	브랜드/NNG+를/JKO
쓰는	쓰/VV+는/ETM
'동네	'/SS+동네/NNG
수퍼마켓	수퍼마켓/NNG
체인'들이	체인/NNG+'/SS+들/XSN+이/JKS
속속	속속/MAG
생겨날	생겨나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.328.2.2
정부는 영세한 동네 수퍼들이 연합해 체인화를 추진할 경우, 업체들의 투자액에 비례해 시설 자금을 지원하는 이른바 매칭펀드(matching fund) 방식으로 지원할 방침이다.

정부는	정부/NNG+는/JX
영세한	영세/NNG+하/XSA+ㄴ/ETM
동네	동네/NNG
수퍼들이	수퍼/NNG+들/XSN+이/JKS
연합해	연합/NNG+하/XSV+아/EC
체인화를	체인/NNG+화/XSN+를/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
업체들의	업체/NNG+들/XSN+의/JKG
투자액에	투자액/NNG+에/JKB
비례해	비례/NNG+하/XSV+아/EC
시설	시설/NNG
자금을	자금/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
이른바	이른바/MAG
매칭펀드(matching	매칭펀드/NNG+(/SS+matching/SL
fund)	fund/SL+)/SS
방식으로	방식/NNG+으로/JKB
지원할	지원/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.2.3
새로 태어난 골목 수퍼마켓 체인들은 공동 구매를 통해 가격을 낮추고 가게 주인과 직원들이 유니폼을 갖춰 입는 등 서비스의 질(質)도 개선될 전망이다.

새로	새로/MAG
태어난	태어나/VV+ㄴ/ETM
골목	골목/NNG
수퍼마켓	수퍼마켓/NNG
체인들은	체인/NNG+들/XSN+은/JX
공동	공동/NNG
구매를	구매/NNG+를/JKO
통해	통하/VV+아/EC
가격을	가격/NNG+을/JKO
낮추고	낮추/VV+고/EC
가게	가게/NNG
주인과	주인/NNG+과/JC
직원들이	직원/NNG+들/XSN+이/JKS
유니폼을	유니폼/NNG+을/JKO
갖춰	갖추/VV+어/EC
입는	입/VV+는/ETM
등	등/NNB
서비스의	서비스/NNG+의/JKG
질(質)도	질/NNG+(/SS+質/SH+)/SS+도/JX
개선될	개선/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.3.1
중소기업청 고위 관계자는 17일 "영세 수퍼마켓 체인화를 포함한 소상공인 지원대책을 마련해 이달 말 발표할 계획"이라며 "정부가 지원할 매칭펀드의 규모나 지원요건 등 구체적인 내용을 조율하고 있다"고 말했다.

중소기업청	중소기업청/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
17일	17/SN+일/NNB
"영세	"/SS+영세/NNG
수퍼마켓	수퍼마켓/NNG
체인화를	체인/NNG+화/XSN+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
소상공인	소/XPN+상공인/NNG
지원대책을	지원/NNG+대책/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
이달	이달/NNG
말	말/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획"이라며	계획/NNG+"/SS+이/VCP+라며/EC
"정부가	"/SS+정부/NNG+가/JKS
지원할	지원/NNG+하/XSV+ㄹ/ETM
매칭펀드의	매칭펀드/NNG+의/JKG
규모나	규모/NNG+나/JC
지원요건	지원/NNG+요건/NNG
등	등/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
조율하고	조율/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.328.4.1
정부는 그동안 수퍼마켓 단체인 지역수퍼마켓협동조합에 경영진단비나 교육비 일부를 지원하는 방식으로 동네 수퍼를 간접 지원해왔다.

정부는	정부/NNG+는/JX
그동안	그동안/NNG
수퍼마켓	수퍼마켓/NNG
단체인	단체/NNG+이/VCP+ㄴ/ETM
지역수퍼마켓협동조합에	지역/NNG+수퍼마켓/NNG+협동조합/NNG+에/JKB
경영진단비나	경영/NNG+진단비/NNG+나/JC
교육비	교육비/NNG
일부를	일부/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
동네	동네/NNG
수퍼를	수퍼/NNG+를/JKO
간접	간접/NNG
지원해왔다.	지원/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.328.4.2
이번 계획은 정부가 직접 동네수퍼 체인에 투자해 대형화를 촉진하겠다는 게 차이점이다.

이번	이번/NNG
계획은	계획/NNG+은/JX
정부가	정부/NNG+가/JKS
직접	직접/MAG
동네수퍼	동네/NNG+수퍼/NNG
체인에	체인/NNG+에/JKB
투자해	투자/NNG+하/XSV+아/EC
대형화를	대형/NNG+화/XSN+를/JKO
촉진하겠다는	촉진/NNG+하/XSV+겠/EP+다는/ETM
게	거/NNB+이/JKS
차이점이다.	차이점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.5.1
중기청이 수퍼 체인화를 추진하는 이유는 동네수퍼들이 고객과 밀접한 유대 관계를 맺고 있음에도 불구하고, 자본과 규모가 영세해 홈플러스익스프레스·롯데슈퍼 같은 기업형 수퍼마켓에 계속 밀리고 있기 때문이다.

중기청이	중기청/NNG+이/JKS
수퍼	수퍼/NNG
체인화를	체인/NNG+화/XSN+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
이유는	이유/NNG+는/JX
동네수퍼들이	동네/NNG+수퍼/NNG+들/XSN+이/JKS
고객과	고객/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
유대	유대/NNG
관계를	관계/NNG+를/JKO
맺고	맺/VV+고/EC
