# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.262
metadata : {}


# id : NWRW1800000024.262.1.1
① 중장기 고용대책 없이 /단기 일자리만 쏟아내

①	①/SW
중장기	중장기/NNG
고용대책	고용/NNG+대책/NNG
없이	없이/MAG
/단기	//SP+단기/NNG
일자리만	일자리/NNG+만/JX
쏟아내	쏟/VV+아/EC+내/VX+어/EC


# id : NWRW1800000024.262.2.1
인천 부평 ㅈ자동차 공장의 사내하청 직원이었던 박아무개(29)씨는 요즘 그냥 ‘쉬는 중’이다.

인천	인천/NNP
부평	부평/NNP
ㅈ자동차	ㅈ/NNG+자동차/NNG
공장의	공장/NNG+의/JKG
사내하청	사내/NNG+하청/NNG
직원이었던	직원/NNG+이/VCP+었/EP+던/ETM
박아무개(29)씨는	박/NNP+아무개/NP+(/SS+29/SN+)/SS+씨/NNB+는/JX
요즘	요즘/NNG
그냥	그냥/MAG
‘쉬는	‘/SS+쉬/VV+는/ETM
중’이다.	중/NNB+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.2.2
생산물량이 줄어든 지난해 11월 고용유지지원금을 받아 유급휴직을 실시하던 회사는 올해 4월 희망퇴직 신청을 받기 시작했다.

생산물량이	생산/NNG+물량/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
지난해	지난해/NNG
11월	11/SN+월/NNB
고용유지지원금을	고용/NNG+유지/NNG+지원금/NNG+을/JKO
받아	받/VV+아/EC
유급휴직을	유급/NNG+휴직/NNG+을/JKO
실시하던	실시/NNG+하/XSV+던/ETM
회사는	회사/NNG+는/JX
올해	올해/NNG
4월	4/SN+월/NNB
희망퇴직	희망퇴직/NNG
신청을	신청/NNG+을/JKO
받기	받/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.262.2.3
신청하지 않으면 ‘무급휴직’을 하라는 소리에, 박씨는 별수 없이 회사를 그만뒀다.

신청하지	신청/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
‘무급휴직’을	‘/SS+무급/NNG+휴직/NNG+’/SS+을/JKO
하라는	하/VV+라는/ETM
소리에,	소리/NNG+에/JKB+,/SP
박씨는	박/NNP+씨/NNB+는/JX
별수	별수/NNG
없이	없이/MAG
회사를	회사/NNG+를/JKO
그만뒀다.	그만두/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.262.2.4
서울 ㅂ병원에서 비정규직으로 일하던 신아무개(38)씨는 지난달 계약해지된 뒤 아직 새 직장을 구하지 못했다.

서울	서울/NNP
ㅂ병원에서	ㅂ/NNG+병원/NNG+에서/JKB
비정규직으로	비/XPN+정규직/NNG+으로/JKB
일하던	일/NNG+하/XSV+던/ETM
신아무개(38)씨는	신/NNP+아무개/NP+(/SS+38/SN+)/SS+씨/NNB+는/JX
지난달	지난달/NNG
계약해지된	계약/NNG+해지/NNG+되/XSV+ㄴ/ETM
