# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.320
metadata : {}


# id : NWRW1800000041.320.1.1
침몰지점 2.4km 밖에서 시신 1구 발견… 유실 우려 커져

침몰지점	침몰/NNG+지점/NNG
2.4km	2/SN+./SP+4/SN+km/SW
밖에서	밖/NNG+에서/JKB
시신	시신/NNG
1구	1/SN+구/NNB
발견…	발견/NNG+…/SE
유실	유실/NNG
우려	우려/NNG
커져	커지/VV+어/EF


# id : NWRW1800000041.320.2.1
[세월호 참사/애타는 구조 현장] 인근 해역으로 수색 확대

[세월호	[/SS+세월호/NNP
참사/애타는	참사/NNG+//SP+애타/VV+는/ETM
구조	구조/NNG
현장]	현장/NNG+]/SS
인근	인근/NNG
해역으로	해역/NNG+으로/JKB
수색	수색/NNG
확대	확대/NNG


# id : NWRW1800000041.320.3.1
세월호 침몰 사고의 212번째 희생자가 사고 해역에서 약 2.4km 떨어진 지점에서 발견됐다.

세월호	세월호/NNP
침몰	침몰/NNG
사고의	사고/NNG+의/JKG
212번째	212/SN+번/NNB+째/XSN
희생자가	희생자/NNG+가/JKS
사고	사고/NNG
해역에서	해역/NNG+에서/JKB
약	약/MMA
2.4km	2/SN+./SP+4/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
지점에서	지점/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.320.3.2
이 시신은 이번 사건 발생 후 표류한 시신 중에서 가장 멀리서 발견된 것이다.

이	이/MMD
시신은	시신/NNG+은/JX
이번	이번/NNG
사건	사건/NNG
발생	발생/NNG
후	후/NNG
표류한	표류/NNG+하/XSV+ㄴ/ETM
시신	시신/NNG
중에서	중/NNB+에서/JKB
가장	가장/MAG
멀리서	멀리/MAG+서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.320.3.3
강한 조류에 떠내려간 것으로 추정돼 향후 시신 유실이 우려되고 있다.

강한	강하/VA+ㄴ/ETM
조류에	조류/NNG+에/JKB
떠내려간	떠내려가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정돼	추정/NNG+되/XSV+어/EC
향후	향후/NNG
시신	시신/NNG
유실이	유실/NNG+이/JKS
우려되고	우려/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.320.4.1
