# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.350
metadata : {}


# id : NWRW1800000048.350.1.1
[한겨레 프리즘] 어린이집과 수술실 / 김양중

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
어린이집과	어린이집/NNG+과/JC
수술실	수술실/NNG
/	//SP
김양중	김양중/NNP


# id : NWRW1800000048.350.2.1
최근에 나오는 거의 모든 범죄 영화에는 시시티브이(CCTV·폐회로텔레비전)가 빠지지 않는다.

최근에	최근/NNG+에/JKB
나오는	나오/VV+는/ETM
거의	거의/MAG
모든	모든/MMN
범죄	범죄/NNG
영화에는	영화/NNG+에/JKB+는/JX
시시티브이(CCTV·폐회로텔레비전)가	시시/NNG+티브이/NNG+(/SS+CCTV/SL+·/SP+폐회로/NNG+텔레비전/NNG+)/SS+가/JKS
빠지지	빠지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.350.2.2
경찰들이 길이나 건물에 설치돼 있는 시시티브이로 범인을 추적해 잡는다는 내용도 많은 영화에서 나온다.

경찰들이	경찰/NNG+들/XSN+이/JKS
길이나	길/NNG+이나/JC
건물에	건물/NNG+에/JKB
설치돼	설치/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
시시티브이로	시시/NNG+티브이/NNG+로/JKB
범인을	범인/NNG+을/JKO
추적해	추적/NNG+하/XSV+아/EC
잡는다는	잡/VV+는다는/ETM
내용도	내용/NNG+도/JX
많은	많/VA+은/ETM
영화에서	영화/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.350.2.3
길을 걷다가 하루 수십번에서 많게는 수백번쯤 자신도 모르게 시시티브이와 각종 영상장치에 찍히고 있는 시대가 된 것이다.

길을	길/NNG+을/JKO
걷다가	걷/VV+다가/EC
하루	하루/NNG
수십번에서	수십/NR+번/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
수백번쯤	수백/NR+번/NNB+쯤/XSN
자신도	자신/NNG+도/JX
모르게	모르/VV+게/EC
시시티브이와	시시/NNG+티브이/NNG+와/JC
각종	각종/NNG
영상장치에	영상/NNG+장치/NNG+에/JKB
찍히고	찍히/VV+고/EC
있는	있/VX+는/ETM
시대가	시대/NNG+가/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.350.3.1
어린이집에서 한 보육교사가 무자비하게 아동을 때리는 장면이 찍힌 시시티브이 영상으로 온 나라가 분노하고 있다.

어린이집에서	어린이집/NNG+에서/JKB
한	한/MMN
보육교사가	보육/NNG+교사/NNG+가/JKS
무자비하게	무/XPN+자비/NNG+하/XSA+게/EC
아동을	아동/NNG+을/JKO
때리는	때리/VV+는/ETM
장면이	장면/NNG+이/JKS
찍힌	찍히/VV+ㄴ/ETM
시시티브이	시시/NNG+티브이/NNG
영상으로	영상/NNG+으로/JKB
온	온/MMN
나라가	나라/NNG+가/JKS
분노하고	분노/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.350.3.2
상당수 정치인들과 정부는 이 분노에 정답을 내놓았다는 듯 어린이집에 시시티브이를 의무적으로 설치하는 대책을 내놨다.

상당수	상당수/NNG
정치인들과	정치인/NNG+들/XSN+과/JC
정부는	정부/NNG+는/JX
이	이/MMD
분노에	분노/NNG+에/JKB
정답을	정답/NNG+을/JKO
내놓았다는	내놓/VV+았/EP+다는/ETM
듯	듯/NNB
어린이집에	어린이집/NNG+에/JKB
시시티브이를	시시/NNG+티브이/NNG+를/JKO
의무적으로	의무/NNG+적/XSN+으로/JKB
설치하는	설치/NNG+하/XSV+는/ETM
대책을	대책/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.350.3.3
대책만 보면 시시티브이가 마치 살아 움직이는 한 감독관이 돼 보육교사의 아동 학대를 막는 기능을 할 것 같다.

대책만	대책/NNG+만/JX
보면	보/VV+면/EC
시시티브이가	시시/NNG+티브이/NNG+가/JKS
마치	마치/MAG
살아	살/VV+아/EC
움직이는	움직이/VV+는/ETM
한	한/NNG
감독관이	감독관/NNG+이/JKC
돼	되/VV+어/EC
보육교사의	보육/NNG+교사/NNG+의/JKG
아동	아동/NNG
학대를	학대/NNG+를/JKO
막는	막/VV+는/ETM
기능을	기능/NNG+을/JKO
할	하/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000048.350.3.4
아동 학대는 무조건 막아야 할 범죄이고 범죄를 저지른 사람은 적절한 처벌이 뒤따라야겠지만, 시시티브이 설치 의무화가 아동 학대를 막는 기능을 제대로 할 것인지에 대해서는 의문이 간다.

아동	아동/NNG
학대는	학대/NNG+는/JX
무조건	무/XPN+조건/NNG
막아야	막/VV+아야/EC
할	하/VV+ㄹ/ETM
범죄이고	범죄/NNG+이/VCP+고/EC
범죄를	범죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
적절한	적절하/VA+ㄴ/ETM
처벌이	처벌/NNG+이/JKS
뒤따라야겠지만,	뒤따르/VV+아야/EC+하/VX+겠/EP+지만/EC+,/SP
시시티브이	시시/NNG+티브이/NNG
설치	설치/NNG
의무화가	의무/NNG+화/XSN+가/JKS
학대를	학대/NNG+를/JKO
막는	막/VV+는/ETM
기능을	기능/NNG+을/JKO
제대로	제대로/MAG
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
의문이	의문/NNG+이/JKS
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.350.3.5
확실한 것은 아동 학대 등 사건이 생긴 뒤에 잘잘못을 가리는 데에는 쓰일 것이다.

확실한	확실하/VA+ㄴ/ETM
것은	것/NNB+은/JX
아동	아동/NNG
학대	학대/NNG
등	등/NNB
사건이	사건/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
잘잘못을	잘잘못/NNG+을/JKO
가리는	가리/VV+는/ETM
데에는	데/NNB+에/JKB+는/JX
쓰일	쓰이/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.350.3.6
그것도 사각지대가 없이 매우 정교하게 잘 찍혔을 때를 가정해서 말이다.

그것도	그것/NP+도/JX
사각지대가	사각지대/NNG+가/JKS
없이	없이/MAG
매우	매우/MAG
정교하게	정교하/VA+게/EC
잘	잘/MAG
찍혔을	찍히/VV+었/EP+을/ETM
때를	때/NNG+를/JKO
가정해서	가정/NNG+하/XSV+아서/EC
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.350.3.7
시시티브이로는 보육교사의 훈육이 학대인지 아닌지 판별하기도 쉽지 않다는 지적도 많다.

시시티브이로는	시시/NNG+티브이/NNG+로/JKB+는/JX
보육교사의	보육/NNG+교사/NNG+의/JKG
훈육이	훈육/NNG+이/JKS
학대인지	학대/NNG+이/VCP+ㄴ지/EC
아닌지	아니/VCN+ㄴ지/EC
판별하기도	판별/NNG+하/XSV+기/ETN+도/JX
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
지적도	지적/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000048.350.3.8
자신들을 믿지 않아 시시티브이를 달아 감시하는 것 자체가 마치 범죄자가 된 것처럼 주눅들게 한다는 보육교사들의 주장을 ‘아이들을 잘 돌보면 되지 무슨 상관이냐’라는 말로 넘어갈 게 아니다.

자신들을	자신/NNG+들/XSN+을/JKO
믿지	믿/VV+지/EC
않아	않/VX+아/EC
시시티브이를	시시/NNG+티브이/NNG+를/JKO
달아	달/VV+아/EC
감시하는	감시/NNG+하/XSV+는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
마치	마치/MAG
범죄자가	범죄자/NNG+가/JKC
된	되/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
주눅들게	주눅/NNG+들/VV+게/EC
한다는	하/VX+ㄴ다는/ETM
보육교사들의	보육/NNG+교사/NNG+들/XSN+의/JKG
주장을	주장/NNG+을/JKO
‘아이들을	‘/SS+아이/NNG+들/XSN+을/JKO
잘	잘/MAG
돌보면	돌보/VV+면/EC
되지	되/VV+지/EC
무슨	무슨/MMD
상관이냐’라는	상관/NNG+이/VCP+냐/EF+’/SS+이/VCP+라는/ETM
말로	말/NNG+로/JKB
넘어갈	넘어가/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.350.4.1
이보다는 근본적인 대책이 필요하다는 말이 더 설득력 있다.

