# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.269
metadata : {}


# id : NWRW1800000032.269.1.1
‘장흥판 도가니’

‘장흥판	‘/SS+장흥판/NNG
도가니’	도가니/NNP+’/SS


# id : NWRW1800000032.269.2.1
지적장애 여성 수년간 성폭행 혐의

지적장애	지/NNG+적/XSN+장애/NNG
여성	여성/NNG
수년간	수년/NNG+간/XSN
성폭행	성폭행/NNG
혐의	혐의/NNG


# id : NWRW1800000032.269.3.1
시골마을 주민 줄줄이 기소·조사중

시골마을	시골/NNG+마을/NNG
주민	주민/NNG
줄줄이	줄줄이/MAG
기소·조사중	기소/NNG+·/SP+조사/NNG+중/NNB


# id : NWRW1800000032.269.4.1
전남지역 한 시골 마을에 사는 50~70대 주민 네 명이 20대 지적장애 여성을 여러 차례 성폭행한 혐의로 법정에 서게 됐다.

전남지역	전남지역/NNP
한	한/MMN
시골	시골/NNG
마을에	마을/NNG+에/JKB
사는	살/VV+는/ETM
50~70대	50/SN+~/SO+70/SN+대/NNB
주민	주민/NNG
네	네/MMN
명이	명/NNB+이/JKS
20대	20/SN+대/NNB
지적장애	지/NNG+적/XSN+장애/NNG
여성을	여성/NNG+을/JKO
여러	여러/MMN
차례	차례/NNG
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
법정에	법정/NNG+에/JKB
서게	서/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.269.5.1
광주지방검찰청 장흥지청은 21일 지적장애 3급인 여성(21)을 성폭행한 혐의로 이아무개(58)씨를 구속 기소하고, 윤아무개(71)씨와 위아무개(77)씨를 같은 혐의로 불구속 기소했다고 밝혔다.

광주지방검찰청	광주지방검찰청/NNP
장흥지청은	장흥지청/NNP+은/JX
21일	21/SN+일/NNB
지적장애	지/NNG+적/XSN+장애/NNG
3급인	3/SN+급/NNG+이/VCP+ㄴ/ETM
여성(21)을	여성/NNG+(/SS+21/SN+)/SS+을/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
이아무개(58)씨를	이/NNP+아무개/NP+(/SS+58/SN+)/SS+씨/NNB+를/JKO
구속	구속/NNG
기소하고,	기소/NNG+하/XSV+고/EC+,/SP
윤아무개(71)씨와	윤/NNP+아무개/NP+(/SS+71/SN+)/SS+씨/NNB+와/JC
위아무개(77)씨를	위/NNP+아무개/NP+(/SS+77/SN+)/SS+씨/NNB+를/JKO
같은	같/VA+은/ETM
불구속	불/XPN+구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.269.6.1
이씨 등은 2009년께부터 지난해까지 장흥군 관산읍의 가게나 축사, 자신의 집 등지에서 이 여성을 성폭행한 혐의를 받고 있다.

이씨	이/NNP+씨/NNB
등은	등/NNB+은/JX
2009년께부터	2009/SN+년/NNB+께/XSN+부터/JX
지난해까지	지난해/NNG+까지/JX
장흥군	장흥군/NNP
관산읍의	관산읍/NNP+의/JKG
가게나	가게/NNG+나/JC
축사,	축사/NNG+,/SP
자신의	자신/NNG+의/JKG
집	집/NNG
등지에서	등지/NNB+에서/JKB
이	이/MMD
여성을	여성/NNG+을/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.269.6.2
구속된 이씨는 피해 여성의 친척이며, 이들 3명 모두 혐의를 부인한 것으로 전해졌다.

구속된	구속/NNG+되/XSV+ㄴ/ETM
이씨는	이/NNP+씨/NNB+는/JX
피해	피해/NNG
여성의	여성/NNG+의/JKG
친척이며,	친척/NNG+이/VCP+며/EC+,/SP
이들	이/NP+들/XSN
