# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.62
metadata : {}


# id : NWRW1800000024.62.1.1
“채권형펀드 신용등급따라 2~4등급 세분화”

“채권형펀드	“/SS+채권/NNG+형/XSN+펀드/NNG
신용등급따라	신용/NNG+등급/NNG+따라/JX
2~4등급	2/SN+~/SO+4/SN+등급/NNG
세분화”	세분/NNG+화/XSN+”/SS


# id : NWRW1800000024.62.2.1
펀드평가사 제로인은 18일 펀드 위험등급 분류를 위한 새로운 방안을 제시했다.

펀드평가사	펀드/NNG+평가사/NNG
제로인은	제로인/NNP+은/JX
18일	18/SN+일/NNB
펀드	펀드/NNG
위험등급	위험/NNG+등급/NNG
분류를	분류/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
방안을	방안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.62.2.2
자본시장통합법(자통법) 시행과 함께 도입된 펀드 위험등급 분류 방식이 지나치게 기계적이어서, 개별 펀드들의 위험을 제대로 평가하기 어렵다는 판단에서다.

자본시장통합법(자통법)	자본/NNG+시장/NNG+통합/NNG+법/NNG+(/SS+자통법/NNG+)/SS
시행과	시행/NNG+과/JKB
함께	함께/MAG
도입된	도입/NNG+되/XSV+ㄴ/ETM
펀드	펀드/NNG
위험등급	위험/NNG+등급/NNG
분류	분류/NNG
방식이	방식/NNG+이/JKS
지나치게	지나치/VA+게/EC
기계적이어서,	기계/NNG+적/XSN+이/VCP+어서/EC+,/SP
개별	개별/NNG
펀드들의	펀드/NNG+들/XSN+의/JKG
위험을	위험/NNG+을/JKO
제대로	제대로/MAG
평가하기	평가/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
판단에서다.	판단/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000024.62.3.1
제로인은 이날 과거 2년 동안 펀드의 가격변동 위험과 신용 위험 등을 계량화해 산출한 총위험을 기준으로 개별 펀드들의 위험등급을 결정하는 펀드 위험등급 분류 방안을 소개했다.

제로인은	제로인/NNP+은/JX
이날	이날/NNG
과거	과거/NNG
2년	2/SN+년/NNB
동안	동안/NNG
펀드의	펀드/NNG+의/JKG
가격변동	가격/NNG+변동/NNG
위험과	위험/NNG+과/JC
신용	신용/NNG
위험	위험/NNG
등을	등/NNB+을/JKO
계량화해	계량/NNG+화/XSN+하/XSV+아/EC
산출한	산출/NNG+하/XSV+ㄴ/ETM
총위험을	총/MMA+위험/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
개별	개별/NNG
펀드들의	펀드/NNG+들/XSN+의/JKG
위험등급을	위험/NNG+등급/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
펀드	펀드/NNG
위험등급	위험/NNG+등급/NNG
분류	분류/NNG
방안을	방안/NNG+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.62.3.2
이 방안은 펀드를 1등급(초고위험), 2등급(고위험), 3등급(중위험), 4등급(저위험), 5등급(무위험) 등 5개 등급으로 분류해, 분류 형식은 자통법과 함께 도입된 ‘표준투자권유준칙’을 따른다.

이	이/MMD
방안은	방안/NNG+은/JX
펀드를	펀드/NNG+를/JKO
1등급(초고위험),	1/SN+등급/NNG+(/SS+초/XPN+고/XPN+위험/NNG+)/SS+,/SP
