# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.110
metadata : {}


# id : NWRW1800000038.110.1.1
"南北 냉각?

"南北	"/SS+南北/SH
냉각?	냉각/NNG+?/SF


# id : NWRW1800000038.110.1.2
우린 축구하러 왔습네다"

우린	우리/NP+ㄴ/JX
축구하러	축구/NNG+하/XSV+러/EC
왔습네다"	오/VV+았/EP+습네다/EF+"/SS


# id : NWRW1800000038.110.2.1
北 여자축구선수단 기자회견

北	北/SH
여자축구선수단	여자/NNG+축구/NNG+선수단/NNG
기자회견	기자/NNG+회견/NNG


# id : NWRW1800000038.110.3.1
"우린 여기 축구를 하러 왔습니다."

"우린	"/SS+우리/NP+ㄴ/JX
여기	여기/NP
축구를	축구/NNG+를/JKO
하러	하/VV+러/EC
왔습니다."	오/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.110.4.1
2013 동아시안컵 개막을 하루 앞둔 19일 서울월드컵경기장에서 열린 기자회견에서 북한 여자 축구대표팀 김광웅 보조 감독은 "최근 남북관계가 냉각됐었는데 한국에 온 기분이 어떤가"라는 질문에 이같이 답했다.

2013	2013/SN
동아시안컵	동아시안/NNP+컵/NNG
개막을	개막/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
19일	19/SN+일/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
북한	북한/NNP
여자	여자/NNG
축구대표팀	축구/NNG+대표/NNG+팀/NNG
김광웅	김광웅/NNP
보조	보조/NNG
감독은	감독/NNG+은/JX
"최근	"/SS+최근/NNG
남북관계가	남북/NNP+관계/NNG+가/JKS
냉각됐었는데	냉각/NNG+되/XSV+었었/EP+는데/EC
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
기분이	기분/NNG+이/JKS
어떤가"라는	어떻/VA+ㄴ가/EF+"/SS+이/VCP+라는/ETM
질문에	질문/NNG+에/JKB
이같이	이같이/MAG
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.110.4.2
북한 여자 대표팀은 21일 오후 6시 15분 서울월드컵경기장에서 한국과 대회 첫 경기를 벌인다.

북한	북한/NNP
여자	여자/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
21일	21/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
15분	15/SN+분/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
한국과	한국/NNP+과/JC
대회	대회/NNG
첫	첫/MMN
경기를	경기/NNG+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.110.5.1
보조 감독이자 기술분석 책임자인 김 감독은 이날 김광민 총감독을 대신해 기자회견에 나왔다.

보조	보조/NNG
감독이자	감독/NNG+이/VCP+자/EC
기술분석	기술/NNG+분석/NNG
책임자인	책임자/NNG+이/VCP+ㄴ/ETM
김	김/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
김광민	김광민/NNP
총감독을	총감독/NNG+을/JKO
대신해	대신/NNG+하/XSV+아/EC
기자회견에	기자/NNG+회견/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.110.5.2
함께 나온 선수는 김성희(26)였다.

함께	함께/MAG
나온	나오/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
김성희(26)였다.	김성희/NNP+(/SS+26/SN+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.110.5.3
김성희는 2006년 FIFA(국제축구연맹) 여자 U-20(20세 이하) 월드컵에서 5골을 넣어 북한을 우승으로 이끈 선수다.

김성희는	김성희/NNP+는/JX
2006년	2006/SN+년/NNB
FIFA(국제축구연맹)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS
여자	여자/NNG
U-20(20세	U/SL+-/SO+20/SN+(/SS+20/SN+세/NNB
이하)	이하/NNG+)/SS
월드컵에서	월드컵/NNG+에서/JKB
5골을	5/SN+골/NNG+을/JKO
넣어	넣/VV+어/EC
북한을	북한/NNP+을/JKO
우승으로	우승/NNG+으로/JKB
이끈	이끌/VV+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.110.5.4
당시 결승전에서 중국을 상대로 해트트릭을 터뜨렸던 김성희는 북한 당국으로부터 '노력영웅'과 '인민체육인' 칭호를 받기도 했다.

당시	당시/NNG
결승전에서	결승전/NNG+에서/JKB
중국을	중국/NNP+을/JKO
상대로	상대/NNG+로/JKB
해트트릭을	해트트릭/NNG+을/JKO
터뜨렸던	터뜨리/VV+었/EP+던/ETM
김성희는	김성희/NNP+는/JX
북한	북한/NNP
당국으로부터	당국/NNG+으로부터/JKB
'노력영웅'과	'/SS+노력/NNG+영웅/NNG+'/SS+과/JC
'인민체육인'	'/SS+인민체육인/NNG+'/SS
칭호를	칭호/NNG+를/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.110.5.5
김성희는 "우리 팀 분위기는 상당히 높은 수준"이라며 "경기장에 나서는 우리 모습을 보면 각오가 어느 정도인지 알 수 있을 것"이라고 말했다.

김성희는	김성희/NNP+는/JX
"우리	"/SS+우리/NP
팀	팀/NNG
분위기는	분위기/NNG+는/JX
상당히	상당히/MAG
높은	높/VA+은/ETM
수준"이라며	수준/NNG+"/SS+이/VCP+라며/EC
"경기장에	"/SS+경기장/NNG+에/JKB
나서는	나서/VV+는/ETM
우리	우리/NP
모습을	모습/NNG+을/JKO
보면	보/VV+면/EC
각오가	각오/NNG+가/JKS
어느	어느/MMD
정도인지	정도/NNG+이/VCP+ㄴ지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.110.6.1
이날 기자회견에서 앞서 대한축구협회 관계자는 "국정원 측이 '북한' 대신 '북측'이란 말을 써 달라고 요청했다"고 밝혔다.

이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
앞서	앞서/MAG
대한축구협회	대한축구협회/NNP
관계자는	관계자/NNG+는/JX
"국정원	"/SS+국정원/NNG
측이	측/NNB+이/JKS
'북한'	'/SS+북한/NNP+'/SS
대신	대신/NNG
'북측'이란	'/SS+북측/NNG+'/SS+이/VCP+란/ETM
말을	말/NNG+을/JKO
써	쓰/VV+어/EC
달라고	달/VX+라고/EC
요청했다"고	요청/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.110.6.2
한 취재진이 질문을 하다 실수로 "북한"이라고 말하자 북한 출신 통역관은 단호한 표정으로 말을 자르며 "북한 대표팀이라고 말하는 것은 삼가달라"고 말했다.

한	한/MMN
취재진이	취재진/NNG+이/JKS
질문을	질문/NNG+을/JKO
하다	하/VV+다/EC
실수로	실수/NNG+로/JKB
"북한"이라고	"/SS+북한/NNP+"/SS+이라고/JKQ
말하자	말/NNG+하/XSV+자/EC
북한	북한/NNP
출신	출신/NNG
통역관은	통역관/NNG+은/JX
단호한	단호하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
말을	말/NNG+을/JKO
자르며	자르/VV+며/EC
"북한	"/SS+북한/NNP
대표팀이라고	대표/NNG+팀/NNG+이/VCP+라고/EC
말하는	말/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
삼가달라"고	삼가/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.110.7.1
북한 대표팀은 현재 서울 마포구 상암동의 한 호텔에서 생활하고 있다.

북한	북한/NNP
대표팀은	대표/NNG+팀/NNG+은/JX
현재	현재/MAG
서울	서울/NNP
마포구	마포구/NNP
상암동의	상암동/NNP+의/JKG
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
생활하고	생활/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.110.7.2
호텔 관계자는 "편의점에서 라면을 사먹거나 사우나 등을 이용하는 일·중 선수들과는 달리 북한 선수들은 방에서 잘 나오지 않는다"고 말했다.

호텔	호텔/NNG
관계자는	관계자/NNG+는/JX
"편의점에서	"/SS+편의점/NNG+에서/JKB
라면을	라면/NNG+을/JKO
사먹거나	사/VV+아/EC+먹/VV+거나/EC
사우나	사우나/NNG
등을	등/NNB+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
일·중	일/NNP+·/SP+중/NNP
선수들과는	선수/NNG+들/XSN+과/JKB+는/JX
달리	달리/MAG
북한	북한/NNP
선수들은	선수/NNG+들/XSN+은/JX
방에서	방/NNG+에서/JKB
잘	잘/MAG
나오지	나오/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.110.7.3
또 식사 때 중국 선수들은 차(茶)와 소시지를, 일본 선수들은 일본 쌀로 요리해 달라고 요구한 것과 달리 북한 선수들은 호텔 측에서 기본 메뉴로 제공한 음식만을 이용했다고 한다.

또	또/MAG
식사	식사/NNG
때	때/NNG
중국	중국/NNP
선수들은	선수/NNG+들/XSN+은/JX
차(茶)와	차/NNG+(/SS+茶/SH+)/SS+와/JC
소시지를,	소시지/NNG+를/JKO+,/SP
일본	일본/NNP
쌀로	쌀/NNG+로/JKB
요리해	요리/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요구한	요구/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
북한	북한/NNP
호텔	호텔/NNG
측에서	측/NNB+에서/JKB
기본	기본/NNG
메뉴로	메뉴/NNG+로/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
음식만을	음식/NNG+만/JX+을/JKO
이용했다고	이용/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


