# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.272
metadata : {}


# id : NWRW1800000026.272.1.1
[호남] "기업유치 유공 도민에 최고 2억원 포상";전남도 지원조례 개정 지급 상한액 2배 올려

[호남]	[/SS+호남/NNP+]/SS
"기업유치	"/SS+기업/NNG+유치/NNG
유공	유공/NNG
도민에	도민/NNG+에/JKB
최고	최고/NNG
2억원	2/SN+억/NR+원/NNB
포상";전남도	포상/NNG+"/SS+;/SW+전남도/NNP
지원조례	지원/NNG+조례/NNG
개정	개정/NNG
지급	지급/NNG
상한액	상한액/NNG
2배	2/SN+배/NNG
올려	올리/VV+어/EF


# id : NWRW1800000026.272.2.1
전남도는 11일 전남지역으로 기업을 유치하는 데 기여한 도민에게 지급하는 포상금 지급액을 최고 2억원까지 늘리기로 했다고 밝혔다.

전남도는	전남도/NNP+는/JX
11일	11/SN+일/NNB
전남지역으로	전남지역/NNP+으로/JKB
기업을	기업/NNG+을/JKO
유치하는	유치/NNG+하/XSV+는/ETM
데	데/NNB
기여한	기여/NNG+하/XSV+ㄴ/ETM
도민에게	도민/NNG+에게/JKB
지급하는	지급/NNG+하/XSV+는/ETM
포상금	포상금/NNG
지급액을	지급액/NNG+을/JKO
최고	최고/NNG
2억원까지	2/SN+억/NR+원/NNB+까지/JX
늘리기로	늘리/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.272.3.1
기업유치 실적을 한 단계 높이려면 행정기관 뿐 아니라 도민들의 적극적인 참여와 관련 기관·단체, 경제계, 학계, 금융계 등의 유기적인 협조가 필요하다는 분석에 따른 것이라고 도는 덧붙였다.

기업유치	기업/NNG+유치/NNG
실적을	실적/NNG+을/JKO
한	한/MMN
단계	단계/NNG
높이려면	높이/VV+려면/EC
행정기관	행정/NNG+기관/NNG
뿐	뿐/JX
아니라	아니/VCN+라/EC
도민들의	도민/NNG+들/XSN+의/JKG
