# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.344
metadata : {}


# id : NWRW1800000029.344.1.1
[국정원, 印尼특사단 숙소 침입]우선협상자 선정 코앞에 두고… T-50 수출 또 꺾이나

[국정원,	[/SS+국정원/NNG+,/SP
印尼특사단	印尼/SH+특사단/NNG
숙소	숙소/NNG
침입]우선협상자	침입/NNG+]/SS+우선/NNG+협상자/NNG
선정	선정/NNG
코앞에	코앞/NNG+에/JKB
두고…	두/VV+고/EC+…/SE
T-50	T/SL+-/SO+50/SN
수출	수출/NNG
또	또/MAG
꺾이나	꺾이/VV+나/EF


# id : NWRW1800000029.344.2.1
■ UAE-싱가포르 실패 이어 악재

■	■/SW
UAE-싱가포르	UAE/SL+-/SO+싱가포르/NNP
실패	실패/NNG
이어	잇/VV+어/EC
악재	악재/NNG


# id : NWRW1800000029.344.3.1
인도네시아 대통령 특사단의 숙소 침입사건에 국가정보원 직원들이 개입한 의혹이 제기되자 국방부와 방위사업청이 T-50 고등훈련기(사진)의 수출 전선에 미칠 파장을 예의주시하고 있다.

인도네시아	인도네시아/NNP
대통령	대통령/NNG
특사단의	특사단/NNG+의/JKG
숙소	숙소/NNG
침입사건에	침입/NNG+사건/NNG+에/JKB
국가정보원	국가/NNG+정보원/NNG
직원들이	직원/NNG+들/XSN+이/JKS
개입한	개입/NNG+하/XSV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
제기되자	제기/NNG+되/XSV+자/EC
국방부와	국방부/NNG+와/JC
방위사업청이	방위/NNG+사업청/NNG+이/JKS
T-50	T/SL+-/SO+50/SN
고등훈련기(사진)의	고등/NNG+훈련기/NNG+(/SS+사진/NNG+)/SS+의/JKG
수출	수출/NNG
전선에	전선/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
파장을	파장/NNG+을/JKO
예의주시하고	예의/NNG+주시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.344.4.1
인도네시아는 지난해 8월 T-50과 러시아의 Yak-130, 체코의 L-159B 등 3개 기종을 고등훈련기 사업후보로 선정해 가격과 성능평가를 해왔다.

인도네시아는	인도네시아/NNP+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
T-50과	T/SL+-/SO+50/SN+과/JC
러시아의	러시아/NNP+의/JKG
Yak-130,	Yak/SL+-/SO+130/SN+,/SP
체코의	체코/NNP+의/JKG
L-159B	L/SL+-/SO+159/SN+B/SL
등	등/NNB
3개	3/SN+개/NNB
기종을	기종/NNG+을/JKO
고등훈련기	고등/NNG+훈련기/NNG
사업후보로	사업/NNG+후보/NNG+로/JKB
선정해	선정/NNG+하/XSV+아/EC
가격과	가격/NNG+과/JC
성능평가를	성능/NNG+평가/NNG+를/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.344.4.2
군 안팎에선 T-50과 Yak-130이 1, 2위를 다투고 있다는 얘기가 흘러나왔다.

군	군/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
T-50과	T/SL+-/SO+50/SN+과/JC
Yak-130이	Yak/SL+-/SO+130/SN+이/JKS
1,	1/SN+,/SP
2위를	2/SN+위/NNB+를/JKO
다투고	다투/VV+고/EC
있다는	있/VX+다는/ETM
얘기가	얘기/NNG+가/JKS
흘러나왔다.	흘러나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.344.5.1
방위사업청 관계자는 21일 “인도네시아 측이 조만간 1, 2개 기종을 우선협상대상자로 선정하려던 차에 사건이 터져 T-50 수출에 어떤 영향을 미칠지 알 수 없는 상황이 됐다”고 말했다.

방위사업청	방위/NNG+사업청/NNG
관계자는	관계자/NNG+는/JX
21일	21/SN+일/NNB
“인도네시아	“/SS+인도네시아/NNP
측이	측/NNB+이/JKS
조만간	조만간/MAG
1,	1/SN+,/SP
2개	2/SN+개/NNB
기종을	기종/NNG+을/JKO
우선협상대상자로	우선/NNG+협상/NNG+대상자/NNG+로/JKB
선정하려던	선정/NNG+하/XSV+려던/ETM
차에	차/NNB+에/JKB
사건이	사건/NNG+이/JKS
터져	터지/VV+어/EC
T-50	T/SL+-/SO+50/SN
수출에	수출/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
미칠지	미치/VV+ㄹ지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이	상황/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.344.6.1
최근 인도네시아 정부가 고등훈련기 사업의 평가방법을 점검할 계획인 것으로 알려져 이번 사건이 악재로 작용할 수도 있다는 우려가 나온다.

최근	최근/MAG
인도네시아	인도네시아/NNP
정부가	정부/NNG+가/JKS
고등훈련기	고등/NNG+훈련기/NNG
사업의	사업/NNG+의/JKG
평가방법을	평가/NNG+방법/NNG+을/JKO
점검할	점검/NNG+하/XSV+ㄹ/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
이번	이번/NNG
사건이	사건/NNG+이/JKS
악재로	악재/NNG+로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.344.6.2
13년간 2조 원을 들여 2001년에 개발된 T-50은 범정부 차원에서 수출을 추진했지만 2009년 2월 아랍에미리트(UAE)에 이어 지난해 7월 싱가포르의 고등훈련기 사업 수주전에서도 가격 조건이 맞지 않아 잇달아 탈락했다.

13년간	13/SN+년/NNB+간/XSN
2조	2/SN+조/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
2001년에	2001/SN+년/NNB+에/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
T-50은	T/SL+-/SO+50/SN+은/JX
범정부	범/XPN+정부/NNG
차원에서	차원/NNG+에서/JKB
수출을	수출/NNG+을/JKO
추진했지만	추진/NNG+하/XSV+았/EP+지만/EC
2009년	2009/SN+년/NNB
2월	2/SN+월/NNB
아랍에미리트(UAE)에	아랍에미리트/NNP+(/SS+UAE/SL+)/SS+에/JKB
이어	잇/VV+어/EC
지난해	지난해/NNG
7월	7/SN+월/NNB
싱가포르의	싱가포르/NNP+의/JKG
고등훈련기	고등/NNG+훈련기/NNG
사업	사업/NNG
수주전에서도	수주전/NNG+에서/JKB+도/JX
가격	가격/NNG
조건이	조건/NNG+이/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
잇달아	잇달/VV+아/EC
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.344.7.1
이번 사건으로 이명박 대통령과 T-50의 각별한 인연이 주목받고 있다.

이번	이번/NNG
사건으로	사건/NNG+으로/JKB
이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
T-50의	T/SL+-/SO+50/SN+의/JKG
각별한	각별/NNG+하/XSA+ㄴ/ETM
인연이	인연/NNG+이/JKS
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.344.7.2
이 대통령은 2007년 1월 경남 사천시의 한국항공우주산업(KAI)을 방문해 T-50의 조종석에 앉아 보는 등 깊은 관심을 나타냈다.

이	이/NNP
대통령은	대통령/NNG+은/JX
2007년	2007/SN+년/NNB
1월	1/SN+월/NNB
경남	경남/NNP
사천시의	사천시/NNP+의/JKG
한국항공우주산업(KAI)을	한국항공우주산업/NNP+(/SS+KAI/SL+)/SS+을/JKO
방문해	방문/NNG+하/XSV+아/EC
T-50의	T/SL+-/SO+50/SN+의/JKG
조종석에	조종석/NNG+에/JKB
앉아	앉/VV+아/EC
보는	보/VV+는/ETM
등	등/NNB
깊은	깊/VA+은/ETM
관심을	관심/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.344.7.3
2008년 초엔 대통령 당선인으로 UAE 왕세자에게 T-50을 선정해달라고 서한을 보냈고 2009년엔 최종 기종 선정을 앞두고 관련 부처에 T-50 수출 대책을 지시했다.

2008년	2008/SN+년/NNB
초엔	초/NNB+에/JKB+ㄴ/JX
대통령	대통령/NNG
당선인으로	당선인/NNG+으로/JKB
UAE	UAE/SL
왕세자에게	왕세자/NNG+에게/JKB
T-50을	T/SL+-/SO+50/SN+을/JKO
선정해달라고	선정/NNG+하/XSV+아/EC+달/VX+라고/EC
서한을	서한/NNG+을/JKO
보냈고	보내/VV+었/EP+고/EC
2009년엔	2009/SN+년/NNB+에/JKB+ㄴ/JX
최종	최종/NNG
기종	기종/NNG
선정을	선정/NNG+을/JKO
앞두고	앞두/VV+고/EC
관련	관련/NNG
부처에	부처/NNG+에/JKB
T-50	T/SL+-/SO+50/SN
수출	수출/NNG
대책을	대책/NNG+을/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.344.7.4
이 때문에 이번 사건이 정보기관의 과잉 충성에서 비롯된 게 아니냐는 관측도 나온다.

이	이/NP
때문에	때문/NNB+에/JKB
이번	이번/NNG
사건이	사건/NNG+이/JKS
정보기관의	정보기관/NNG+의/JKG
과잉	과잉/NNG
충성에서	충성/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


