# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.9
metadata : {}


# id : NWRW1800000038.9.1.1
톈안먼 사태 촉발한 후야오방 前총서기, 26년만에 복권 움직임

톈안먼	톈안먼/NNP
사태	사태/NNG
촉발한	촉발/NNG+하/XSV+ㄴ/ETM
후야오방	후야오방/NNP
前총서기,	前/SH+총서기/NNG+,/SP
26년만에	26/SN+년/NNB+만/NNB+에/JKB
복권	복권/NNG
움직임	움직임/NNG


# id : NWRW1800000038.9.2.1
中 저장성에 동상 건립… 학생 시위에 우호적 태도

中	中/SH
저장성에	저장성/NNP+에/JKB
동상	동상/NNG
건립…	건립/NNG+…/SE
학생	학생/NNG
시위에	시위/NNG+에/JKB
우호적	우호/NNG+적/XSN
태도	태도/NNG


# id : NWRW1800000038.9.3.1
1980년대 중국의 정치 개혁을 추진하다 실각한 후야오방(胡耀邦·1915~1989) 전 총서기의 동상이 중국 내에 건립돼 시진핑(習近平) 총서기 체제하에서 그가 복권될 가능성이 제기되고 있다.

1980년대	1980/SN+년대/NNB
중국의	중국/NNP+의/JKG
정치	정치/NNG
개혁을	개혁/NNG+을/JKO
추진하다	추진/NNG+하/XSV+다/EC
실각한	실각/NNG+하/XSV+ㄴ/ETM
후야오방(胡耀邦·1915~1989)	후야오방/NNP+(/SS+胡耀邦/SH+·/SP+1915/SN+~/SO+1989/SN+)/SS
전	전/MMD
총서기의	총서기/NNG+의/JKG
동상이	동상/NNG+이/JKS
중국	중국/NNP
내에	내/NNB+에/JKB
건립돼	건립/NNG+되/XSV+어/EC
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
총서기	총서기/NNG
체제하에서	체제/NNG+하/XSN+에서/JKB
그가	그/NP+가/JKS
복권될	복권/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.9.4.1
중국청년보는 "지난 6일 중국 저장(浙江)성 동부 타이저우(臺州)시 해안에 있는 섬 다천다오(大陳島)에서 후 전 총서기의 동상 제막식이 열렸다"고 7일 보도했다.

중국청년보는	중국청년보/NNP+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
중국	중국/NNP
저장(浙江)성	저장/NNP+(/SS+浙江/SH+)/SS+성/NNG
동부	동부/NNG
타이저우(臺州)시	타이저우/NNP+(/SS+臺州/SH+)/SS+시/NNG
