# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.84
metadata : {}


# id : NWRW1800000053.84.1.1
[대학교육의 혁신, 사이버대]사이버대학 최초 ‘학생맞춤 1년 4학기제’ 운영

[대학교육의	[/SS+대학/NNG+교육/NNG+의/JKG
혁신,	혁신/NNG+,/SP
사이버대]사이버대학	사이버대/NNG+]/SS+사이버/NNG+대학/NNG
최초	최초/NNG
‘학생맞춤	‘/SS+학생/NNG+맞춤/NNG
1년	1/SN+년/NNB
4학기제’	4/SN+학기/NNG+제/XSN+’/SS
운영	운영/NNG


# id : NWRW1800000053.84.2.1
서울사이버대학교(총장 이은주)는 온라인 대학 중 최초로 모바일 강의 서비스를 도입했다.

서울사이버대학교(총장	서울사이버대학교/NNP+(/SS+총장/NNG
이은주)는	이은주/NNP+)/SS+는/JX
온라인	온라인/NNG
대학	대학/NNG
중	중/NNB
최초로	최초/NNG+로/JKB
모바일	모바일/NNG
강의	강의/NNG
서비스를	서비스/NNG+를/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.84.2.2
현재 서울사이버대학에서 시행 중인 ‘SCU SMART WAVE 이러닝 시스템’은 온라인 대학들 중에서도 우수하기로 손꼽히는 모바일 강의 서비스를 자랑한다.

현재	현재/MAG
서울사이버대학에서	서울사이버대학/NNP+에서/JKB
시행	시행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘SCU	‘/SS+SCU/SL
SMART	SMART/SL
WAVE	WAVE/SL
이러닝	이/NNG+러닝/NNG
시스템’은	시스템/NNG+’/SS+은/JX
온라인	온라인/NNG
대학들	대학/NNG+들/XSN
중에서도	중/NNB+에서/JKB+도/JX
우수하기로	우수/NNG+하/XSA+기/ETN+로/JKB
손꼽히는	손꼽히/VV+는/ETM
모바일	모바일/NNG
강의	강의/NNG
서비스를	서비스/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.84.2.3
2010년부터 시작한 모바일 강의 서비스는 스마트폰으로 수강하더라도 출석이 인정될 뿐 아니라 PC와 거의 동일한 수강환경을 제공한다.

2010년부터	2010/SN+년/NNB+부터/JX
시작한	시작/NNG+하/XSV+ㄴ/ETM
모바일	모바일/NNG
강의	강의/NNG
서비스는	서비스/NNG+는/JX
스마트폰으로	스마트폰/NNG+으로/JKB
수강하더라도	수강/NNG+하/XSV+더라도/EC
출석이	출석/NNG+이/JKS
인정될	인정/NNG+되/XSV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
PC와	PC/SL+와/JKB
거의	거의/MAG
동일한	동일/NNG+하/XSA+ㄴ/ETM
수강환경을	수강/NNG+환경/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.84.2.4
모바일로 서비스 되는 강의 비율도 전체 강의의 98.5%를 달성해 사이버대학 중 가장 높은 수준이다.

모바일로	모바일/NNG+로/JKB
서비스	서비스/NNG
되는	되/VV+는/ETM
강의	강의/NNG
비율도	비율/NNG+도/JX
전체	전체/NNG
강의의	강의/NNG+의/JKG
98.5%를	98/SN+./SP+5/SN+%/SW+를/JKO
달성해	달성/NNG+하/XSV+아/EC
사이버대학	사이버/NNG+대학/NNG
중	중/NNB
가장	가장/MAG
높은	높/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.84.2.5
수강 이어하기 기능과 재생 속도 조절 기능이 있어 자신의 여건에 맞게 학습이 가능하다.

수강	수강/NNG
이어하기	잇/VV+어/EC+하/VX+기/ETN
기능과	기능/NNG+과/JC
재생	재생/NNG
속도	속도/NNG
조절	조절/NNG
기능이	기능/NNG+이/JKS
있어	있/VA+어/EC
자신의	자신/NNG+의/JKG
여건에	여건/NNG+에/JKB
맞게	맞/VV+게/EC
학습이	학습/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.84.3.1
서울사이버대의 우수한 이러닝 시스템은 이미 여러 곳에서 인정받았다.

서울사이버대의	서울사이버대/NNP+의/JKG
우수한	우수/NNG+하/XSA+ㄴ/ETM
이러닝	이/NNG+러닝/NNG
시스템은	시스템/NNG+은/JX
이미	이미/MAG
여러	여러/MMN
곳에서	곳/NNG+에서/JKB
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.84.3.2
2007년 교육부 사이버대학 종합평가에서 최우수 사이버대학에 선정됐고, 2011년에는 이러닝 국제대회 상용화 분야 은상, 2013년 교육부 사이버대 역량평가에서는 전체영역에서 최고 성적을 획득, 2015년에는 교육부 주최 교수-학습 우수사례 최다 수상, 2017년에는 아시아 태평양 스티비 어워즈 교육 웹사이트 혁신상 은상을 수상했다.

2007년	2007/SN+년/NNB
교육부	교육부/NNG
사이버대학	사이버/NNG+대학/NNG
종합평가에서	종합/NNG+평가/NNG+에서/JKB
최우수	최/XPN+우수/NNG
사이버대학에	사이버/NNG+대학/NNG+에/JKB
선정됐고,	선정/NNG+되/XSV+었/EP+고/EC+,/SP
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
이러닝	이/NNG+러닝/NNG
국제대회	국제/NNG+대회/NNG
상용화	상용/NNG+화/XSN
분야	분야/NNG
은상,	은상/NNG+,/SP
2013년	2013/SN+년/NNB
사이버대	사이버대/NNG
역량평가에서는	역량/NNG+평가/NNG+에서/JKB+는/JX
전체영역에서	전체/NNG+영역/NNG+에서/JKB
최고	최고/NNG
성적을	성적/NNG+을/JKO
획득,	획득/NNG+,/SP
2015년에는	2015/SN+년/NNB+에/JKB+는/JX
주최	주최/NNG
교수-학습	교수/NNG+-/SO+학습/NNG
우수사례	우수/NNG+사례/NNG
최다	최다/NNG
수상,	수상/NNG+,/SP
2017년에는	2017/SN+년/NNB+에/JKB+는/JX
아시아	아시아/NNP
태평양	태평양/NNP
스티비	스티비/NNP
어워즈	어워즈/NNG
교육	교육/NNG
웹사이트	웹/NNG+사이트/NNG
혁신상	혁신/NNG+상/NNG
은상을	은상/NNG+을/JKO
