# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.88
metadata : {}


# id : NWRW1800000046.88.1.1
선배·가족·시민까지 동참한 '기술인 한마당'

선배·가족·시민까지	선배/NNG+·/SP+가족/NNG+·/SP+시민/NNG+까지/JX
동참한	동참/NNG+하/XSV+ㄴ/ETM
'기술인	'/SS+기술인/NNG
한마당'	한/XPN+마당/NNG+'/SS


# id : NWRW1800000046.88.2.1
50년 맞은 전국기능경기대회… 대구서 온 농업인은 분갈이 시범, 가구 부문선 첫 父子 심사위원

50년	50/SN+년/NNB
맞은	맞/VV+은/ETM
전국기능경기대회…	전국/NNG+기능/NNG+경기/NNG+대회/NNG+…/SE
대구서	대구/NNP+서/JKB
온	오/VV+ㄴ/ETM
농업인은	농업인/NNG+은/JX
분갈이	분갈이/NNG
시범,	시범/NNG+,/SP
가구	가구/NNG
부문선	부문/NNG+서/JKB+ㄴ/JX
첫	첫/MMN
父子	父子/SH
심사위원	심사/NNG+위원/NNG


# id : NWRW1800000046.88.3.1
1966년 숙련 기술인 양성을 통한 국가 근대화를 목표로 시작한 전국기능경기대회가 올해로 50회를 맞았다.

1966년	1966/SN+년/NNB
숙련	숙련/NNG
기술인	기술인/NNG
양성을	양성/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
국가	국가/NNG
근대화를	근대/NNG+화/XSN+를/JKO
목표로	목표/NNG+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
전국기능경기대회가	전국/NNG+기능/NNG+경기/NNG+대회/NNG+가/JKS
올해로	올해/NNG+로/JKB
50회를	50/SN+회/NNB+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.3.2
여기서 배출된 젊은 기술인들이 국제기능올림픽에 나가 최다(18회) 우승국이라는 금자탑을 쌓으며 오늘 기술 한국의 밑거름이 됐다.

여기서	여기/NP+서/JKB
배출된	배출/NNG+되/XSV+ㄴ/ETM
젊은	젊/VA+은/ETM
기술인들이	기술인/NNG+들/XSN+이/JKS
국제기능올림픽에	국제/NNG+기능/NNG+올림픽/NNG+에/JKB
나가	나가/VV+아/EC
최다(18회)	최다/NNG+(/SS+18/SN+회/NNB+)/SS
우승국이라는	우승국/NNG+이/VCP+라는/ETM
금자탑을	금자탑/NNG+을/JKO
쌓으며	쌓/VV+으며/EC
오늘	오늘/NNG
기술	기술/NNG
한국의	한국/NNP+의/JKG
밑거름이	밑거름/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.88.3.3
그럼에도 기술인을 경시해온 문화는 그리 개선되지 않았고, 기능경기대회는 여전히 '그들만의 겨룸의 장'으로 소외된 느낌이다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
기술인을	기술인/NNG+을/JKO
