# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.311
metadata : {}


# id : NWRW1800000049.311.1.1
北 경제활동 대부분 봉쇄… 中-러 빈틈없는 제재이행이 관건

北	北/SH
경제활동	경제/NNG+활동/NNG
대부분	대/XPN+부분/NNG
봉쇄…	봉쇄/NNG+…/SE
中-러	中/SH+-/SO+러/NNP
빈틈없는	빈틈없/VA+는/ETM
제재이행이	제재/NNG+이행/NNG+이/JKS
관건	관건/NNG


# id : NWRW1800000049.311.2.1
[유엔 대북제재 결의안 채택] 제재 대상 개인-기관 60건으로 확대… 中-러 공조 이끌어낼 외교력 급선무 美 금융제재 부차관보 3월 첫째주중 방한

[유엔	[/SS+유엔/NNP
대북제재	대북/NNG+제재/NNG
결의안	결의안/NNG
채택]	채택/NNG+]/SS
제재	제재/NNG
대상	대상/NNG
개인-기관	개인/NNG+-/SO+기관/NNG
60건으로	60/SN+건/NNB+으로/JKB
확대…	확대/NNG+…/SE
中-러	中/SH+-/SO+러/NNP
공조	공조/NNG
이끌어낼	이끌/VV+어/EC+내/VX+ㄹ/ETM
외교력	외교력/NNG
급선무	급선무/NNG
美	美/SH
금융제재	금융/NNG+제재/NNG
부차관보	부차관보/NNG
3월	3/SN+월/NNB
첫째주중	첫째/NR+주/NNG+중/NNB
방한	방한/NNG


# id : NWRW1800000049.311.3.1
유엔 안전보장이사회의 2일(현지 시간) 대북제재 결의안 채택은 북한의 4차 핵실험 도발 57일 만이다.

유엔	유엔/NNP
안전보장이사회의	안전/NNG+보장/NNG+이사회/NNG+의/JKG
2일(현지	2/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
대북제재	대북/NNG+제재/NNG
결의안	결의안/NNG
채택은	채택/NNG+은/JX
북한의	북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
도발	도발/NNG
57일	57/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.311.3.2
역대 가장 긴 시간이 걸려 북핵 제재 결의가 채택된 것이다.

역대	역대/NNG
가장	가장/MAG
긴	길/VA+ㄴ/ETM
시간이	시간/NNG+이/JKS
걸려	걸리/VV+어/EC
북핵	북핵/NNG
제재	제재/NNG
결의가	결의/NNG+가/JKS
채택된	채택/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.311.3.3
안보리는 1차 핵실험(2006년) 때 5일 만에 결의안을 채택한 것을 비롯해 2차(2009년), 3차 핵실험(2013년) 때는 각각 18일, 23일 만에 결의 절차를 마무리했다.

안보리는	안보리/NNG+는/JX
1차	1/SN+차/NNB
핵실험(2006년)	핵/NNG+실험/NNG+(/SS+2006/SN+년/NNB+)/SS
때	때/NNG
5일	5/SN+일/NNB
만에	만/NNB+에/JKB
결의안을	결의안/NNG+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
2차(2009년),	2/SN+차/NNB+(/SS+2009/SN+년/NNB+)/SS+,/SP
3차	3/SN+차/NNB
핵실험(2013년)	핵/NNG+실험/NNG+(/SS+2013/SN+년/NNB+)/SS
때는	때/NNG+는/JX
각각	각각/MAG
18일,	18/SN+일/NNB+,/SP
23일	23/SN+일/NNB
결의	결의/NNG
절차를	절차/NNG+를/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.311.4.1
산통은 컸지만 그만큼 강력한 제재 내용이 담겼다.

산통은	산통/NNG+은/JX
컸지만	크/VA+었/EP+지만/EC
그만큼	그만큼/NNG
강력한	강력/NNG+하/XSA+ㄴ/ETM
제재	제재/NNG
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.4.2
로이터통신, NHK방송 등에 따르면 안보리 결의는 최춘식 제2자연과학원장을 비롯해 개인 16명, 국가우주개발국(NADA) 등 기관 12곳을 제재 대상에 올렸다.

로이터통신,	로이터통신/NNP+,/SP
NHK방송	NHK/SL+방송/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
안보리	안보리/NNG
결의는	결의/NNG+는/JX
최춘식	최춘식/NNP
