# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.60
metadata : {}


# id : NWRW1800000049.60.1.1
‘5초 조문’만 허용… 경직된 사회주의체제 머물러

‘5초	‘/SS+5/SN+초/NNB
조문’만	조문/NNG+’/SS+만/JX
허용…	허용/NNG+…/SE
경직된	경직/NNG+되/XSV+ㄴ/ETM
사회주의체제	사회주의/NNG+체제/NNG
머물러	머무르/VV+어/EF


# id : NWRW1800000049.60.2.1
[충격-안도 공존하는 쿠바/부형권 특파원 현장 르포 3信]“멈추지말고 계속 걸어라” 통제 카스트로, 우상화 반대… 바로 화장… 분향소엔 시신 대신 영정 안치

[충격-안도	[/SS+충격/NNG+-/SO+안도/NNG
공존하는	공존/NNG+하/XSV+는/ETM
쿠바/부형권	쿠바/NNP+//SP+부형권/NNP
특파원	특파원/NNG
현장	현장/NNG
르포	르포/NNG
3信]“멈추지말고	3/SN+信/SH+]/SS+“/SS+멈추/VV+지/EC+말/VX+고/EC
계속	계속/MAG
걸어라”	걷/VV+어라/EF+”/SS
통제	통제/NNG
카스트로,	카스트로/NNP+,/SP
우상화	우상/NNG+화/XSN
반대…	반대/NNG+…/SE
바로	바로/MAG
화장…	화장/NNG+…/SE
분향소엔	분향소/NNG+에/JKB+ㄴ/JX
시신	시신/NNG
대신	대신/NNG
영정	영정/NNG
안치	안치/NNG


# id : NWRW1800000049.60.3.1
28일 오전 9시경 피델 카스트로 전 국가평의회 의장의 공식 분향소가 마련된 수도 아바나의 호세마르티혁명광장 인근에 도착했을 때 거대한 군중의 물결에 깜짝 놀랐다.

28일	28/SN+일/NNB
오전	오전/NNG
9시경	9/SN+시/NNB+경/XSN
피델	피델/NNP
카스트로	카스트로/NNP
전	전/MMD
국가평의회	국가평의회/NNP
의장의	의장/NNG+의/JKG
공식	공식/NNG
분향소가	분향소/NNG+가/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
수도	수도/NNG
아바나의	아바나/NNP+의/JKG
호세마르티혁명광장	호세마르티혁명광장/NNP
인근에	인근/NNG+에/JKB
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
거대한	거대/NNG+하/XSA+ㄴ/ETM
군중의	군중/NNG+의/JKG
물결에	물결/NNG+에/JKB
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.60.3.2
25일 타계한 카스트로에게 마지막 인사를 전하려는 조문 행렬의 끝이 보이지 않았다.

25일	25/SN+일/NNB
타계한	타계/NNG+하/XSV+ㄴ/ETM
카스트로에게	카스트로/NNP+에게/JKB
마지막	마지막/NNG
인사를	인사/NNG+를/JKO
전하려는	전하/VV+려는/ETM
조문	조문/NNG
행렬의	행렬/NNG+의/JKG
끝이	끝/NNG+이/JKS
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.60.3.3
여기저기서 “새벽 3시부터 줄을 섰다” “어젯밤부터 와 있었던 사람들도 있다” “28, 29일 이틀간 조문 기간에 아바나 시민의 절반인 100만 명은 올 것”이란 얘기가 들렸다.

여기저기서	여기저기/NNG+서/JKB
“새벽	“/SS+새벽/NNG
3시부터	3/SN+시/NNB+부터/JX
줄을	줄/NNG+을/JKO
섰다”	서/VV+었/EP+다/EF+”/SS
“어젯밤부터	“/SS+어젯밤/NNG+부터/JX
와	오/VV+아/EC
있었던	있/VX+었/EP+던/ETM
사람들도	사람/NNG+들/XSN+도/JX
있다”	있/VA+다/EF+”/SS
“28,	“/SS+28/SN+,/SP
29일	29/SN+일/NNB
이틀간	이틀/NNG+간/XSN
조문	조문/NNG
기간에	기간/NNG+에/JKB
아바나	아바나/NNP
시민의	시민/NNG+의/JKG
절반인	절반/NNG+이/VCP+ㄴ/ETM
100만	100/SN+만/NR
명은	명/NNB+은/JX
올	오/VV+ㄹ/ETM
것”이란	것/NNB+”/SS+이란/ETM
얘기가	얘기/NNG+가/JKS
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.60.4.1
쿠바 국민들의 자유로운 조문 분위기와 외국인 관광객들에게까지 카스트로의 분향소를 공개하는 ‘열린 모습’은 쿠바가 강조해온 개혁·개방 분위기를 느끼게 했다.

쿠바	쿠바/NNP
국민들의	국민/NNG+들/XSN+의/JKG
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
조문	조문/NNG
분위기와	분위기/NNG+와/JC
외국인	외국인/NNG
관광객들에게까지	관광객/NNG+들/XSN+에게/JKB+까지/JX
카스트로의	카스트로/NNP+의/JKG
분향소를	분향소/NNG+를/JKO
공개하는	공개/NNG+하/XSV+는/ETM
‘열린	‘/SS+열리/VV+ㄴ/ETM
모습’은	모습/NNG+’/SS+은/JX
쿠바가	쿠바/NNP+가/JKS
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
개혁·개방	개혁/NNG+·/SP+개방/NNG
분위기를	분위기/NNG+를/JKO
느끼게	느끼/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.60.4.2
하지만 카스트로 분향소 현장을 관리하는 쿠바 정부 관계자들의 경직된 모습과 조문객 관리에서는 뿌리 깊은 사회주의 분위기를 적잖이 느낄 수 있었다.

하지만	하지만/MAJ
카스트로	카스트로/NNP
분향소	분향소/NNG
현장을	현장/NNG+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
쿠바	쿠바/NNP
정부	정부/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
경직된	경직/NNG+되/XSV+ㄴ/ETM
모습과	모습/NNG+과/JC
조문객	조문객/NNG
관리에서는	관리/NNG+에서/JKB+는/JX
뿌리	뿌리/NNG
깊은	깊/VA+은/ETM
사회주의	사회주의/NNG
분위기를	분위기/NNG+를/JKO
적잖이	적잖이/MAG
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.60.5.1
개혁·개방을 강조하지만 쿠바는 여전히 정치적 자유가 심각하게 제한돼 있다.

개혁·개방을	개혁/NNG+·/SP+개방/NNG+을/JKO
강조하지만	강조/NNG+하/XSV+지만/EC
쿠바는	쿠바/NNP+는/JX
여전히	여전히/MAG
정치적	정치/NNG+적/XSN
자유가	자유/NNG+가/JKS
심각하게	심각하/VA+게/EC
제한돼	제한/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.60.5.2
비정부기구인 쿠바인권·국가화해위원회에 따르면 올해만 총 9125명의 정치범이 구금됐다.

비정부기구인	비/XPN+정부/NNG+기구/NNG+이/VCP+ㄴ/ETM
쿠바인권·국가화해위원회에	쿠바/NNP+인권/NNG+·/SP+국가/NNG+화해/NNG+위원회/NNG+에/JKB
따르면	따르/VV+면/EC
올해만	올해/NNG+만/JX
총	총/MMA
9125명의	9125/SN+명/NNB+의/JKG
정치범이	정치범/NNG+이/JKS
구금됐다.	구금/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.60.5.3
2010년과 비교했을 때 4배 이상 늘어났다.

2010년과	2010/SN+년/NNB+과/JKB
비교했을	비교/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
4배	4/SN+배/NNG
이상	이상/NNG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.60.5.4
뉴욕타임스(NYT)는 “쿠바 정치범들이 예전처럼 장기 수감되지는 않지만 수 시간에서 수일까지 구금되는 경우는 많다”며 “인권단체들은 쿠바 정부가 단순히 정치범에 대한 전략만 바꿨을 뿐이라고 비판한다”고 보도했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
“쿠바	“/SS+쿠바/NNP
정치범들이	정치범/NNG+들/XSN+이/JKS
예전처럼	예전/NNG+처럼/JKB
장기	장기/NNG
수감되지는	수감/NNG+되/XSV+지/EC+는/JX
않지만	않/VX+지만/EC
수	수/MMN
시간에서	시간/NNG+에서/JKB
수일까지	수일/NNG+까지/JX
구금되는	구금/NNG+되/XSV+는/ETM
경우는	경우/NNG+는/JX
많다”며	많/VA+다/EF+”/SS+며/EC
“인권단체들은	“/SS+인권/NNG+단체/NNG+들/XSN+은/JX
쿠바	쿠바/NNP
정부가	정부/NNG+가/JKS
단순히	단순히/MAG
정치범에	정치범/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전략만	전략/NNG+만/JX
바꿨을	바꾸/VV+었/EP+을/ETM
뿐이라고	뿐/NNB+이/VCP+라고/EC
비판한다”고	비판/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.60.5.5
외견상으론 개방의 물결을 타고 있지만 오랜 사회주의 전통은 사회 곳곳에 짙게 배어 있었다.

외견상으론	외견/NNG+상/XSN+으로/JKB+ㄴ/JX
개방의	개방/NNG+의/JKG
물결을	물결/NNG+을/JKO
타고	타/VV+고/EC
있지만	있/VX+지만/EC
오랜	오랜/MMA
사회주의	사회주의/NNG
전통은	전통/NNG+은/JX
사회	사회/NNG
곳곳에	곳곳/NNG+에/JKB
짙게	짙/VA+게/EC
배어	배/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.60.6.1
긴 조문 행렬에 쿠바 국민들만 있는 게 아니었다.

긴	길/VA+ㄴ/ETM
조문	조문/NNG
행렬에	행렬/NNG+에/JKB
쿠바	쿠바/NNP
국민들만	국민/NNG+들/XSN+만/JX
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000049.60.6.2
기자 바로 앞에 서 있던 50대 남자는 “멕시코에서 왔다.

기자	기자/NNG
바로	바로/MAG
앞에	앞/NNG+에/JKB
서	서/VV+어/EC
있던	있/VX+던/ETM
50대	50/SN+대/NNB
남자는	남자/NNG+는/JX
“멕시코에서	“/SS+멕시코/NNP+에서/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.60.6.3
카스트로에 대해 좋은 평가도 많고, 그만큼 비판도 많은 걸 안다.

카스트로에	카스트로/NNP+에/JKB
대해	대하/VV+아/EC
좋은	좋/VA+은/ETM
평가도	평가/NNG+도/JX
많고,	많/VA+고/EC+,/SP
그만큼	그만큼/MAG
비판도	비판/NNG+도/JX
많은	많/VA+은/ETM
걸	거/NNB+ㄹ/JKO
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.60.6.4
그러나 어쨌든 그는 역사적 인물이고, (그를 애도하는) 이곳도 역사의 현장 아니냐”고 말했다.

그러나	그러나/MAJ
어쨌든	어쨌든/MAG
그는	그/NP+는/JX
역사적	역사/NNG+적/XSN
인물이고,	인물/NNG+이/VCP+고/EC+,/SP
(그를	(/SS+그/NP+를/JKO
애도하는)	애도/NNG+하/XSV+는/ETM+)/SS
이곳도	이곳/NP+도/JX
역사의	역사/NNG+의/JKG
현장	현장/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.60.6.5
현지 여행사 관계자는 일부 미국과 유럽 관광객들이 ‘카스트로 조문’을 쿠바 여행 일정에 포함해 달라고 요청해 급하게 변경하기도 했다고 전했다.

현지	현지/NNG
여행사	여행사/NNG
관계자는	관계자/NNG+는/JX
일부	일부/NNG
미국과	미국/NNP+과/JC
유럽	유럽/NNP
관광객들이	관광객/NNG+들/XSN+이/JKS
‘카스트로	‘/SS+카스트로/NNP
조문’을	조문/NNG+’/SS+을/JKO
쿠바	쿠바/NNP
여행	여행/NNG
일정에	일정/NNG+에/JKB
포함해	포함/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청해	요청/NNG+하/XSV+아/EC
급하게	급하/VA+게/EC
변경하기도	변경/NNG+하/XSV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.60.7.1
조문객들은 5시간 이상 기다리며 카스트로 분향소에 도달했지만 행사장 관계자들은 잠시 멈춰 서서 추모의 뜻을 표시할 몇 초의 시간조차 허락하지 않았다.

조문객들은	조문객/NNG+들/XSN+은/JX
5시간	5/SN+시간/NNB
이상	이상/NNG
기다리며	기다리/VV+며/EC
카스트로	카스트로/NNP
분향소에	분향소/NNG+에/JKB
도달했지만	도달/NNG+하/XSV+았/EP+지만/EC
행사장	행사장/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
잠시	잠시/MAG
멈춰	멈추/VV+어/EC
서서	서/VV+어서/EC
추모의	추모/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
표시할	표시/NNG+하/XSV+ㄹ/ETM
몇	몇/NR
초의	초/NNB+의/JKG
시간조차	시간/NNG+조차/JX
허락하지	허락/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.60.7.2
앞사람과의 간격이 조금만 벌어져도 경직된 표정으로 주의를 주며 “멈추지 말고 계속 걸어가라”고 지시했다.

앞사람과의	앞사람/NNG+과/JKB+의/JKG
간격이	간격/NNG+이/JKS
조금만	조금/NNG+만/JX
벌어져도	벌어지/VV+어도/EC
경직된	경직/NNG+되/XSV+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
