# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.39
metadata : {}


# id : NWRW1800000044.39.1.1
획 뒤집어 기능 전환하는 엘지 ‘G3 A’…핵심기술 ‘T액션’ 알고보니 SKT꺼네

획	획/MAG
뒤집어	뒤집/VV+어/EC
기능	기능/NNG
전환하는	전환/NNG+하/XSV+는/ETM
엘지	엘지/NNP
‘G3	‘/SS+G/SL+3/SN
A’…핵심기술	A/SL+’/SS+…/SE+핵심/NNG+기술/NNG
‘T액션’	‘/SS+T/SL+액션/NNG+’/SS
알고보니	알/VV+고/EC+보/VX+니/EC
SKT꺼네	SKT/SL+꺼/NNB+이/VCP+네/EF


# id : NWRW1800000044.39.2.1
[한겨레] 제조사 아닌 통신사 이례적 개발

[한겨레]	[/SS+한겨레/NNP+]/SS
제조사	제조사/NNG
아닌	아니/VCN+ㄴ/ETM
통신사	통신사/NNG
이례적	이례/NNG+적/XSN
개발	개발/NNG


# id : NWRW1800000044.39.3.1
SKT “단말기만 파는 회사 안될 터”

SKT	SKT/SL
“단말기만	“/SS+단말기/NNG+만/JX
파는	팔/VV+는/ETM
회사	회사/NNG
안될	안/MAG+되/XSV+ㄹ/ETM
터”	터/NNB+”/SS


# id : NWRW1800000044.39.4.1
아이폰 등장하며 시장 주도권 역전

아이폰	아이폰/NNP
등장하며	등장/NNG+하/XSV+며/EC
시장	시장/NNG
주도권	주도/NNG+권/XSN
역전	역전/NNG


# id : NWRW1800000044.39.5.1
통신사들이 다시 빼앗아올지 주목

통신사들이	통신사/NNG+들/XSN+이/JKS
다시	다시/MAG
빼앗아올지	빼앗/VV+아/EC+올/VX+지/EC
주목	주목/NNG


# id : NWRW1800000044.39.6.1
엘지(LG)전자의 에스케이텔레콤(SKT) 전용 스마트폰 ‘지3에이(G3 A)’가 요새 방송광고에 한참 열을 올리고 있다.

엘지(LG)전자의	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+의/JKG
에스케이텔레콤(SKT)	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS
전용	전용/NNG
스마트폰	스마트폰/NNG
‘지3에이(G3	‘/SS+지3에이/NNP+(/SS+G/SL+3/SN
A)’가	A/SL+)/SS+’/SS+가/JKS
요새	요새/NNG
방송광고에	방송/NNG+광고/NNG+에/JKB
한참	한참/NNG
열을	열/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.39.6.2
스마트폰을 뒤집었다 다시 원위치시키는 동작으로 전화를 받거나, 알람을 끄거나, 다음 노래를 듣거나 할 수 있는 기능인 ‘티(T)액션’이 핵심적인 특징이다.

스마트폰을	스마트폰/NNG+을/JKO
뒤집었다	뒤집/VV+었/EP+다/EC
다시	다시/MAG
원위치시키는	원위치/NNG+시키/XSV+는/ETM
동작으로	동작/NNG+으로/JKB
전화를	전화/NNG+를/JKO
받거나,	받/VV+거나/EC+,/SP
알람을	알람/NNG+을/JKO
끄거나,	끄/VV+거나/EC+,/SP
다음	다음/NNG
노래를	노래/NNG+를/JKO
듣거나	듣/VV+거나/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기능인	기능/NNG+이/VCP+ㄴ/ETM
‘티(T)액션’이	‘/SS+티/NNG+(/SS+T/SL+)/SS+액션/NNG+’/SS+이/JKS
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.39.6.3
그런데 이 기능 자체보다 더 흥미로운 사실은 이 기능을 개발한 게 엘지전자가 아니라 에스케이텔레콤이라는 사실이다.

그런데	그런데/MAJ
이	이/MMD
기능	기능/NNG
자체보다	자체/NNG+보다/JKB
더	더/MAG
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
사실은	사실/NNG+은/JX
기능을	기능/NNG+을/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
엘지전자가	엘지전자/NNP+가/JKC
아니라	아니/VCN+라/EC
에스케이텔레콤이라는	에스케이텔레콤/NNP+이/VCP+라는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.39.7.1
통신사가 제조사의 영역으로 여겨지는 유엑스(UX·사용자경험) 개발에 나선 이유는 뭘까?

통신사가	통신사/NNG+가/JKS
제조사의	제조사/NNG+의/JKG
영역으로	영역/NNG+으로/JKB
여겨지는	여기/VV+어/EC+지/VX+는/ETM
유엑스(UX·사용자경험)	유엑스/NNG+(/SS+UX/SL+·/SP+사용자/NNG+경험/NNG+)/SS
개발에	개발/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
뭘까?	뭐/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000044.39.7.2
티액션 개발을 담당한 에스케이텔레콤 스마트디바이스실 조승현 매니저는 그 이유로 “사람들이 아이폰이나 갤럭시를 사용한다고만 생각할 뿐 에스케이텔레콤 고객이라는 걸 인식하지 못하는 상황”을 들었다.

티액션	티액션/NNG
개발을	개발/NNG+을/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
에스케이텔레콤	에스케이텔레콤/NNP
스마트디바이스실	스마트디바이스실/NNG
조승현	조승현/NNP
매니저는	매니저/NNG+는/JX
그	그/MMD
이유로	이유/NNG+로/JKB
“사람들이	“/SS+사람/NNG+들/XSN+이/JKS
아이폰이나	아이폰/NNP+이나/JC
갤럭시를	갤럭시/NNP+를/JKO
사용한다고만	사용/NNG+하/XSV+ㄴ다고/EC+만/JX
생각할	생각/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
고객이라는	고객/NNG+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
인식하지	인식/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
상황”을	상황/NNG+”/SS+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.8.1
피처폰의 시대에는 통신사가 시장을 주도했다.

피처폰의	피처폰/NNG+의/JKG
시대에는	시대/NNG+에/JKB+는/JX
통신사가	통신사/NNG+가/JKS
시장을	시장/NNG+을/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.39.8.2
통신사의 요구에 따라 제조사들은 전용 단말기를 만들었다.

통신사의	통신사/NNG+의/JKG
요구에	요구/NNG+에/JKB
따라	따르/VV+아/EC
제조사들은	제조사/NNG+들/XSN+은/JX
전용	전용/NNG
단말기를	단말기/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.8.3
제조사 내부적으로는 같은 모델이라도 통신사별로 디자인을 조금씩 달리했다.

제조사	제조사/NNG
내부적으로는	내부/NNG+적/XSN+으로/JKB+는/JX
같은	같/VA+은/ETM
모델이라도	모델/NNG+이/VCP+라도/EC
통신사별로	통신사/NNG+별/XSN+로/JKB
디자인을	디자인/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
달리했다.	달리/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.39.8.4
조 매니저는 “에스케이텔레콤 전용 피처폰에 찍힌 ‘스피드 011’이라는 문구가 의미가 컸다”고 회상했다.

조	조/NNP
매니저는	매니저/NNG+는/JX
“에스케이텔레콤	“/SS+에스케이텔레콤/NNP
전용	전용/NNG
피처폰에	피처폰/NNG+에/JKB
찍힌	찍히/VV+ㄴ/ETM
‘스피드	‘/SS+스피드/NNG
011’이라는	011/SN+’/SS+이/VCP+라는/ETM
문구가	문구/NNG+가/JKS
의미가	의미/NNG+가/JKS
컸다”고	크/VA+었/EP+다/EF+”/SS+고/JKQ
회상했다.	회상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.39.8.5
하지만 2010년 아이폰이 등장할 무렵부터 상황이 바뀌었다.

하지만	하지만/MAJ
2010년	2010/SN+년/NNB
아이폰이	아이폰/NNP+이/JKS
등장할	등장/NNG+하/XSV+ㄹ/ETM
