# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.103
metadata : {}


# id : NWRW1800000030.103.1.1
"미래식량 수산업 키울 국가적 전략 시급"

"미래식량	"/SS+미래/NNG+식량/NNG
수산업	수산업/NNG
키울	키우/VV+ㄹ/ETM
국가적	국가/NNG+적/XSN
전략	전략/NNG
시급"	시급/XR+"/SS


# id : NWRW1800000030.103.2.1
•첫 세계 수협인대회 연 이종구 수협중앙회장

•첫	•/SW+첫/MMN
세계	세계/NNG
수협인대회	수협인/NNG+대회/NNG
연	열/VV+ㄴ/ETM
이종구	이종구/NNP
수협중앙회장	수협/NNP+중앙회장/NNG


# id : NWRW1800000030.103.3.1
16일 제1회 '세계 수협의 날' 기념식이 서울 잠실 수협중앙회 강당에서 열렸다.

16일	16/SN+일/NNB
제1회	제/XPN+1/SN+회/NNB
'세계	'/SS+세계/NNG
수협의	수협/NNP+의/JKG
날'	날/NNG+'/SS
기념식이	기념식/NNG+이/JKS
서울	서울/NNP
잠실	잠실/NNP
수협중앙회	수협중앙회/NNP
강당에서	강당/NNG+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.103.3.2
찰스 굴드 ICA(국제협동조합연맹) 사무총장과 쇼지 우에무라 전 일본 어업협동조합연합회장을 비롯한 각국 수협 관계자와 수산 전문가 200여명이 참석했다.

찰스	찰스/NNP
굴드	굴드/NNP
ICA(국제협동조합연맹)	ICA/SL+(/SS+국제/NNG+협동조합/NNG+연맹/NNG+)/SS
사무총장과	사무총장/NNG+과/JC
쇼지	쇼지/NNP
우에무라	우에무라/NNP
전	전/MMD
일본	일본/NNP
어업협동조합연합회장을	어업/NNG+협동조합/NNG+연합회장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
각국	각국/NNG
수협	수협/NNP
관계자와	관계자/NNG+와/JC
수산	수산/NNG
전문가	전문가/NNG
200여명이	200/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.103.4.1
