# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.12
metadata : {}


# id : NWRW1800000044.12.1.1
금융사, 이번엔 거짓 상품 정보에 허위 계약서까지

금융사,	금융사/NNG+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
거짓	거짓/NNG
상품	상품/NNG
정보에	정보/NNG+에/JKB
허위	허위/NNG
계약서까지	계약서/NNG+까지/JX


# id : NWRW1800000044.12.2.1
[한겨레] 금감원, 카드·보험사 징계

[한겨레]	[/SS+한겨레/NNP+]/SS
금감원,	금감원/NNG+,/SP
카드·보험사	카드/NNG+·/SP+보험사/NNG
징계	징계/NNG


# id : NWRW1800000044.12.3.1
1억건을 웃도는 신용카드 고객정보 유출 사태에 이어 금융회사의 신뢰를 또다시 의심하게 하는 행위들이 잇달아 금융 당국에 적발됐다.

1억건을	1/SN+억/NR+건/NNB+을/JKO
웃도는	웃돌/VV+는/ETM
신용카드	신용/NNG+카드/NNG
고객정보	고객/NNG+정보/NNG
유출	유출/NNG
사태에	사태/NNG+에/JKB
이어	잇/VV+어/EC
금융회사의	금융/NNG+회사/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
또다시	또다시/MAG
의심하게	의심/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
행위들이	행위/NNG+들/XSN+이/JKS
잇달아	잇달/VV+아/EC
금융	금융/NNG
당국에	당국/NNG+에/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.3.2
주요 금융회사들이 금융상품을 파는 데 급급해 고객에게 허위정보를 알리는가 하면, 기본 계약 서류도 부당하게 꾸민 것으로 드러났다.

주요	주요/NNG
금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
금융상품을	금융/NNG+상품/NNG+을/JKO
파는	팔/VV+는/ETM
데	데/NNB
급급해	급급하/VA+아/EC
고객에게	고객/NNG+에게/JKB
허위정보를	허위/NNG+정보/NNG+를/JKO
알리는가	알리/VV+는가/EF
하면,	하/VV+면/EC+,/SP
기본	기본/NNG
계약	계약/NNG
서류도	서류/NNG+도/JX
부당하게	부당/NNG+하/XSA+게/EC
꾸민	꾸미/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.12.4.1
금융위원회와 금융감독원은 19일 다수의 금융회사에 대한 무더기 징계를 내렸다.

금융위원회와	금융/NNG+위원회/NNG+와/JC
금융감독원은	금융/NNG+감독원/NNG+은/JX
19일	19/SN+일/NNB
다수의	다수/NNG+의/JKG
금융회사에	금융/NNG+회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무더기	무더기/NNG
징계를	징계/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.4.2
먼저 비씨카드와 신한카드, 국민카드에 중징계에 해당하는 기관경고와 과태료 1000만원 처분을 내렸다.

먼저	먼저/MAG
비씨카드와	비씨카드/NNP+와/JC
신한카드,	신한카드/NNP+,/SP
국민카드에	국민카드/NNP+에/JKB
중징계에	중징계/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
기관경고와	기관/NNG+경고/NNG+와/JC
과태료	과태료/NNG
1000만원	1000/SN+만/NR+원/NNB
처분을	처분/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.4.3
이들 카드사는 전화로 보험모집을 하는 과정에서 상품 내용을 사실과 다르게 안내하다가 금융 당국에 덜미를 잡혔다.

이들	이/NP+들/XSN
카드사는	카드사/NNG+는/JX
전화로	전화/NNG+로/JKB
보험모집을	보험/NNG+모집/NNG+을/JKO
하는	하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
상품	상품/NNG
내용을	내용/NNG+을/JKO
사실과	사실/NNG+과/JKB
다르게	다르/VA+게/EC
안내하다가	안내/NNG+하/XSV+다가/EC
금융	금융/NNG
당국에	당국/NNG+에/JKB
덜미를	덜미/NNG+를/JKO
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.5.1
금감원 자료를 보면, 이들 카드사의 전화 보험모집인들은 “카드 우수고객을 위해 저축성 보험을 별도로 개발했다”며 허위사실을 고객에게 알리는 한편, 비과세 복리 부분만 강조한 채 중도 해지에 따른 손실 가능성은 숨겼다.

금감원	금감원/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
이들	이/NP+들/XSN
카드사의	카드사/NNG+의/JKG
전화	전화/NNG
보험모집인들은	보험/NNG+모집인/NNG+들/XSN+은/JX
“카드	“/SS+카드/NNG
우수고객을	우수/NNG+고객/NNG+을/JKO
위해	위하/VV+아/EC
저축성	저축/NNG+성/XSN
보험을	보험/NNG+을/JKO
별도로	별도/NNG+로/JKB
개발했다”며	개발/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
허위사실을	허위/NNG+사실/NNG+을/JKO
고객에게	고객/NNG+에게/JKB
알리는	알리/VV+는/ETM
한편,	한편/NNG+,/SP
비과세	비/XPN+과세/NNG
복리	복리/NNG
부분만	부분/NNG+만/JX
강조한	강조/NNG+하/XSV+ㄴ/ETM
채	채/NNB
중도	중도/NNG
해지에	해지/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
손실	손실/NNG
가능성은	가능/NNG+성/XSN+은/JX
숨겼다.	숨기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.5.2
또 만기 환급금에 영향을 주는 공시이율이 변한다는 중요 사실은 빼놓은 채 “은행 금리보다 월등히 높은 이자를 받을 수 있다”며 고객을 꾀었다.

또	또/MAG
만기	만기/NNG
환급금에	환급금/NNG+에/JKB
영향을	영향/NNG+을/JKO
주는	주/VV+는/ETM
공시이율이	공시/NNG+이율/NNG+이/JKS
변한다는	변하/VV+ㄴ다는/ETM
중요	중요/NNG
사실은	사실/NNG+은/JX
빼놓은	빼놓/VV+은/ETM
채	채/NNB
“은행	“/SS+은행/NNG
금리보다	금리/NNG+보다/JKB
월등히	월등히/MAG
높은	높/VA+은/ETM
이자를	이자/NNG+를/JKO
