# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.330
metadata : {}


# id : NWRW1800000030.330.1.1
홍준표 4, 원희룡 3, 나경원 1(복수응답 포함)

홍준표	홍준표/NNP
4,	4/SN+,/SP
원희룡	원희룡/NNP
3,	3/SN+,/SP
나경원	나경원/NNP
1(복수응답	1/SN+(/SS+복수/NNG+응답/NNG
포함)	포함/NNG+)/SS


# id : NWRW1800000030.330.2.1
?全大 1위 누구냐?

?全大	?/SF+全大/SH
1위	1/SN+위/NNB
누구냐?	누구/NP+이/VCP+냐/EF+?/SF


# id : NWRW1800000030.330.2.2
한나라 당권 주자들에게 물어보니

한나라	한나라/NNP
당권	당권/NNG
주자들에게	주자/NNG+들/XSN+에게/JKB
물어보니	물어보/VV+니/EC


# id : NWRW1800000030.330.3.1
7·4 한나라당 전당대회를 사흘 앞둔 1일 각 진영의 판세 분석과 여론조사 등을 종합할 때 홍준표·원희룡·나경원 후보가 선두 다툼을 벌이는 가운데 유승민·남경필 후보가 추격하는 양상이다.

7·4	7/SN+·/SP+4/SN
한나라당	한나라당/NNP
전당대회를	전당/NNG+대회/NNG+를/JKO
사흘	사흘/NNG
앞둔	앞두/VV+ㄴ/ETM
1일	1/SN+일/NNB
각	각/MMD
진영의	진영/NNG+의/JKG
판세	판세/NNG
분석과	분석/NNG+과/JC
여론조사	여론/NNG+조사/NNG
등을	등/NNB+을/JKO
종합할	종합/NNG+하/XSV+ㄹ/ETM
때	때/NNG
홍준표·원희룡·나경원	홍준표/NNP+·/SP+원희룡/NNP+·/SP+나경원/NNP
후보가	후보/NNG+가/JKS
선두	선두/NNG
다툼을	다툼/NNG+을/JKO
벌이는	벌이/VV+는/ETM
가운데	가운데/NNG
유승민·남경필	유승민/NNP+·/SP+남경필/NNP
추격하는	추격/NNG+하/XSV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.330.3.2
권영세·박진 후보는 5위권 진입을 위해 총력을 기울이고 있다.

권영세·박진	권영세/NNP+·/SP+박진/NNP
후보는	후보/NNG+는/JX
5위권	5/SN+위/NNB+권/XSN
진입을	진입/NNG+을/JKO
위해	위하/VV+아/EC
총력을	총력/NNG+을/JKO
기울이고	기울이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.330.4.1
◆홍준표·원희룡·나경원 3파전

◆홍준표·원희룡·나경원	◆/SW+홍준표/NNP+·/SP+원희룡/NNP+·/SP+나경원/NNP
3파전	3파전/NNG


# id : NWRW1800000030.330.5.1
조선일보가 당대표 후보 7명에게 전당대회 예상 순위를 물어본 결과 홍 후보가 1위를 차지할 것이란 응답은 3명, 원 후보는 2명, 나 후보는 1명, 홍·원 후보 경합은 1명씩이었다.

조선일보가	조선일보/NNP+가/JKS
당대표	당/NNG+대표/NNG
후보	후보/NNG
7명에게	7/SN+명/NNB+에게/JKB
전당대회	전당/NNG+대회/NNG
예상	예상/NNG
순위를	순위/NNG+를/JKO
물어본	물어보/VV+ㄴ/ETM
결과	결과/NNG
홍	홍/NNP
후보가	후보/NNG+가/JKS
1위를	1/SN+위/NNB+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
응답은	응답/NNG+은/JX
3명,	3/SN+명/NNB+,/SP
원	원/NNP
후보는	후보/NNG+는/JX
2명,	2/SN+명/NNB+,/SP
나	나/NNP
1명,	1/SN+명/NNB+,/SP
홍·원	홍/NNP+·/SP+원/NNP
경합은	경합/NNG+은/JX
