# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.9
metadata : {}


# id : NWRW1800000041.9.1.1
에코, 솔라, 그리고 强小車

에코,	에코/NNG+,/SP
솔라,	솔라/NNG+,/SP
그리고	그리고/MAJ
强小車	强小車/SH


# id : NWRW1800000041.9.2.1
[강유현 기자의 제네바 모터쇼 현장] 250여 업체 참가 ‘유럽 자동차 시장 풍향계’… 16일까지 새 트렌드 선봬 프레스데이 막 올라

[강유현	[/SS+강유현/NNP
기자의	기자/NNG+의/JKG
제네바	제네바/NNP
모터쇼	모터쇼/NNG
현장]	현장/NNG+]/SS
250여	250/SN+여/XSN
업체	업체/NNG
참가	참가/NNG
‘유럽	‘/SS+유럽/NNP
자동차	자동차/NNG
시장	시장/NNG
풍향계’…	풍향계/NNG+’/SS+…/SE
16일까지	16/SN+일/NNB+까지/JX
새	새/MMA
트렌드	트렌드/NNG
선봬	선뵈/VV+어/EC
프레스데이	프레스데이/NNG
막	막/NNG
올라	오르/VV+아/EC


# id : NWRW1800000041.9.3.1
‘친환경차와 소형차.’

‘친환경차와	‘/SS+친/XPN+환경/NNG+차/NNG+와/JC
소형차.’	소형차/NNG+./SF+’/SS


# id : NWRW1800000041.9.4.1
6∼16일(현지 시간) 스위스 제네바에서 열리는 ‘2014 제84회 제네바 모터쇼’에 나오는 자동차의 특징을 요약한 말이다.

6∼16일(현지	6/SN+∼/SO+16/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
스위스	스위스/NNP
제네바에서	제네바/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘2014	‘/SS+2014/SN
제84회	제/XPN+84/SN+회/NNB
제네바	제네바/NNP
모터쇼’에	모터쇼/NNG+’/SS+에/JKB
나오는	나오/VV+는/ETM
자동차의	자동차/NNG+의/JKG
특징을	특징/NNG+을/JKO
요약한	요약/NNG+하/XSV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.9.4.2
모터쇼 개막에 앞서 4, 5일 모터쇼 행사장인 ‘팔렉스포’에서 열린 ‘프레스데이’(모터쇼 참가 업체들이 언론에 미리 출품 차량과 기술을 공개하는 행사)에서는 환경을 중시하는 유럽자동차 시장 트렌드에 맞춘 자동차가 대거 공개됐다.

