# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.124
metadata : {}


# id : NWRW1800000048.124.1.1
일본산 스텔스기 다음달 공개

일본산	일본/NNP+산/XSN
스텔스기	스텔스기/NNG
다음달	다음/NNG+달/NNG
공개	공개/NNG


# id : NWRW1800000048.124.2.1
방위성 393억엔 들여 자체개발

방위성	방위성/NNG
393억엔	393/SN+억/NR+엔/NNB
들여	들이/VV+어/EC
자체개발	자체/NNG+개발/NNG


# id : NWRW1800000048.124.3.1
9월 초엔 성능평가 시범비행도

9월	9/SN+월/NNB
초엔	초/NNB+에/JKB+ㄴ/JX
성능평가	성능/NNG+평가/NNG
시범비행도	시범/NNG+비행/NNG+도/JX


# id : NWRW1800000048.124.4.1
일본이 오랜 시간을 들여 개발해 온 자국산 스텔스기를 공개한다.

일본이	일본/NNP+이/JKS
오랜	오랜/MMA
시간을	시간/NNG+을/JKO
들여	들이/VV+어/EC
개발해	개발/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
자국산	자국/NNG+산/XSN
스텔스기를	스텔스기/NNG+를/JKO
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.124.5.1
일본 방위성이 8월 하순께 자국 기술로 만든 스텔스 전투기의 시범 제작기인 ‘선진기술실증기’(사진·애칭 신신·心神) 기체를 아이치현 도요야마초에 있는 미쓰비시중공업 고마키 남 공장에서 공개할 예정이라고 <니혼게이자이신문>이 20일 보도했다.

일본	일본/NNP
방위성이	방위성/NNG+이/JKS
8월	8/SN+월/NNB
하순께	하순/NNG+께/XSN
자국	자국/NNG
기술로	기술/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
스텔스	스텔스/NNG
전투기의	전투기/NNG+의/JKG
시범	시범/NNG
제작기인	제작기/NNG+이/VCP+ㄴ/ETM
‘선진기술실증기’(사진·애칭	‘/SS+선진/NNG+기술/NNG+실증기/NNG+’/SS+(/SS+사진/NNG+·/SP+애칭/NNG
