# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.226
metadata : {}


# id : NWRW1800000044.226.1.1
올해 ‘최악 산재기업’ 현대제철·대우건설

올해	올해/NNG
‘최악	‘/SS+최악/NNG
산재기업’	산재/NNG+기업/NNG+’/SS
현대제철·대우건설	현대제철/NNP+·/SP+대우건설/NNP


# id : NWRW1800000044.226.2.1
[한겨레] 양대 노총 대책 캠페인단서 선정

[한겨레]	[/SS+한겨레/NNP+]/SS
양대	양대/MMA
노총	노총/NNG
대책	대책/NNG
캠페인단서	캠페인단/NNG+서/JKB
선정	선정/NNG


# id : NWRW1800000044.226.3.1
지난해 두 기업에서 10명씩 사망

지난해	지난해/NNG
두	두/MMN
기업에서	기업/NNG+에서/JKB
10명씩	10/SN+명/NNB+씩/XSN
사망	사망/NNG


# id : NWRW1800000044.226.4.1
현대제철과 대우건설이 지난해 각각 10명의 산업재해 사망자를 내 ‘산재 발생 대표기업’의 불명예를 떠안았다.

현대제철과	현대제철/NNP+과/JKB
대우건설이	대우건설/NNP+이/JKS
지난해	지난해/NNG
각각	각각/MAG
10명의	10/SN+명/NNB+의/JKG
산업재해	산업/NNG+재해/NNG
사망자를	사망자/NNG+를/JKO
내	내/VV+어/EC
‘산재	‘/SS+산재/NNG
발생	발생/NNG
대표기업’의	대표/NNG+기업/NNG+’/SS+의/JKG
불명예를	불/XPN+명예/NNG+를/JKO
떠안았다.	떠안/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.226.5.1
민주노총과 한국노총 등으로 이뤄진 ‘산재사망 대책 마련을 위한 공동캠페인단’은 9일 서울 청계광장에서 기자회견을 열어 현대제철과 대우건설을 ‘2014 최악의 살인기업’으로 뽑았다고 밝혔다.

민주노총과	민주노총/NNP+과/JC
한국노총	한국노총/NNP
등으로	등/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
‘산재사망	‘/SS+산재/NNG+사망/NNG
대책	대책/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동캠페인단’은	공동/NNG+캠페인단/NNG+’/SS+은/JX
9일	9/SN+일/NNB
서울	서울/NNP
청계광장에서	청계광장/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
현대제철과	현대제철/NNP+과/JC
대우건설을	대우건설/NNP+을/JKO
‘2014	‘/SS+2014/SN
최악의	최악/NNG+의/JKG
살인기업’으로	살인/NNG+기업/NNG+’/SS+으로/JKB
뽑았다고	뽑/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.226.6.1
현대제철은 지난해 5월 하청 노동자 5명이 작업 도중 새어나온 아르곤 가스에 질식해 숨지는 등 산재 사고가 잇따라 노동자들 사이에서 ‘죽음의 공장’으로 불린다.

