# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.11
metadata : {}


# id : NWRW1800000030.11.1.1
[이집트 시위 사태] 튀니지에서 이집트까지… 'SNS(소셜네트워크)혁명' 터지나

[이집트	[/SS+이집트/NNP
시위	시위/NNG
사태]	사태/NNG+]/SS
튀니지에서	튀니지/NNP+에서/JKB
이집트까지…	이집트/NNP+까지/JX+…/SE
'SNS(소셜네트워크)혁명'	'/SS+SNS/SL+(/SS+소셜/NNG+네트워크/NNG+)/SS+혁명/NNG+'/SS
터지나	터지/VV+나/EF


# id : NWRW1800000030.11.2.1
?시위 조직·확산에 큰 기여… "SNS 만능아니다" 한계론도

?시위	?/SF+시위/NNG
조직·확산에	조직/NNG+·/SP+확산/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기여…	기여/NNG+…/SE
"SNS	"/SS+SNS/SL
만능아니다"	만능/NNG+아니/VCN+다/EF+"/SS
한계론도	한계/NNG+론/XSN+도/JX


# id : NWRW1800000030.11.3.1
튀니지에 이어 이집트까지…, 북아프리카의 민주화 열풍은 과연 소셜네트워크(SNS) 혁명일까.

튀니지에	튀니지/NNP+에/JKB
이어	잇/VV+어/EC
이집트까지…,	이집트/NNP+까지/JX+…/SE+,/SP
북아프리카의	북아프리카/NNP+의/JKG
민주화	민주/NNG+화/XSN
열풍은	열풍/NNG+은/JX
과연	과연/MAG
소셜네트워크(SNS)	소셜/NNG+네트워크/NNG+(/SS+SNS/SL+)/SS
혁명일까.	혁명/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000030.11.4.1
이집트 시위는 당초 페이스북을 통해 조직됐으며, 이를 간파한 호스니 무바라크 정부는 트위터 접속을 차단하고 나섰다.

이집트	이집트/NNP
시위는	시위/NNG+는/JX
당초	당초/NNG
페이스북을	페이스북/NNP+을/JKO
통해	통하/VV+아/EC
조직됐으며,	조직/NNG+되/XSV+었/EP+으며/EC+,/SP
이를	이/NP+를/JKO
간파한	간파/NNG+하/XSV+ㄴ/ETM
호스니	호스니/NNP
무바라크	무바라크/NNP
정부는	정부/NNG+는/JX
트위터	트위터/NNP
접속을	접속/NNG+을/JKO
차단하고	차단/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.11.4.2
뒤늦게 페이스북도 차단하려 했지만 그땐 이미 26페이지 분량의 시위 일정과 지침이 이메일로 빠르게 전파되고 있었다고 영국 가디언은 전했다.

뒤늦게	뒤늦/VA+게/EC
페이스북도	페이스북/NNP+도/JX
차단하려	차단/NNG+하/XSV+려/EC
했지만	하/VX+았/EP+지만/EC
그땐	그때/NNG+ㄴ/JX
이미	이미/MAG
26페이지	26/SN+페이지/NNG
분량의	분량/NNG+의/JKG
시위	시위/NNG
일정과	일정/NNG+과/JC
지침이	지침/NNG+이/JKS
이메일로	이메일/NNG+로/JKB
빠르게	빠르/VA+게/EC
전파되고	전파/NNG+되/XSV+고/EC
있었다고	있/VX+었/EP+다고/EC
영국	영국/NNP
가디언은	가디언/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.11.4.3
이에 무바라크 정부는 27일 아예 인터넷을 끊어버렸다.

이에	이/NP+에/JKB
무바라크	무바라크/NNP
정부는	정부/NNG+는/JX
27일	27/SN+일/NNB
아예	아예/MAG
인터넷을	인터넷/NNG+을/JKO
