# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.398
metadata : {}


# id : NWRW1800000038.398.1.1
非理 체육단체장 곧 검찰 고발, 교체 추진

非理	非理/SH
체육단체장	체육/NNG+단체장/NNG
곧	곧/MAG
검찰	검찰/NNG
고발,	고발/NNG+,/SP
교체	교체/NNG
추진	추진/NNG


# id : NWRW1800000038.398.2.1
정부, 운영현황 등 전수조사… '스포츠 공정 TF' 구성해 개선

정부,	정부/NNG+,/SP
운영현황	운영/NNG+현황/NNG
등	등/NNB
전수조사…	전수/NNG+조사/NNG+…/SE
'스포츠	'/SS+스포츠/NNG
공정	공정/NNG
TF'	TF/SL+'/SS
구성해	구성/NNG+하/XSV+아/EC
개선	개선/NNG


# id : NWRW1800000038.398.3.1
정부가 최근 각종 체육 단체의 운영 현황과 단체장 임기 등에 대한 전수조사를 진행해 왔으며, 비리가 적발된 단체장에 대한 검찰 고발 및 단체장 교체를 검토하고 있는 것으로 28일 확인됐다.

정부가	정부/NNG+가/JKS
최근	최근/MAG
각종	각종/NNG
체육	체육/NNG
단체의	단체/NNG+의/JKG
운영	운영/NNG
현황과	현황/NNG+과/JC
단체장	단체장/NNG
임기	임기/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
전수조사를	전수/NNG+조사/NNG+를/JKO
진행해	진행/NNG+하/XSV+아/EC
왔으며,	오/VX+았/EP+으며/EC+,/SP
비리가	비리/NNG+가/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
단체장에	단체장/NNG+에/JKB
검찰	검찰/NNG
고발	고발/NNG
및	및/MAG
교체를	교체/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
28일	28/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.398.4.1
정부 핵심 관계자는 이날 "문화체육관광부가 체육단체 비리에 대한 조사를 통해 '스포츠 공정 태스크포스' 구성을 포함한 개선 방안을 마련했다"며 "전수조사를 마친 후 결과를 검토해 검찰에 고발할 것은 고발하고 교체해야 할 단체장은 교체할 것"이라고 말했다.

정부	정부/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
"문화체육관광부가	"/SS+문화/NNG+체육/NNG+관광부/NNG+가/JKS
체육단체	체육/NNG+단체/NNG
비리에	비리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사를	조사/NNG+를/JKO
통해	통하/VV+아/EC
'스포츠	'/SS+스포츠/NNG
공정	공정/NNG
태스크포스'	태스크포스/NNG+'/SS
구성을	구성/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
개선	개선/NNG
방안을	방안/NNG+을/JKO
마련했다"며	마련/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"전수조사를	"/SS+전수/NNG+조사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
후	후/NNG
결과를	결과/NNG+를/JKO
검토해	검토/NNG+하/XSV+아/EC
검찰에	검찰/NNG+에/JKB
고발할	고발/NNG+하/XSV+ㄹ/ETM
것은	것/NNB+은/JX
고발하고	고발/NNG+하/XSV+고/EC
교체해야	교체/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
단체장은	단체장/NNG+은/JX
교체할	교체/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.398.5.1
박근혜 대통령은 지난 23일 국무회의를 주재하며 유진룡 문화체육관광부 장관으로부터 '체육단체 운영비리 및 개선보고'를 받고, "내년에 우리나라에서 아시안게임이 열리게 되는데 그전에 여러 가지 문제를 바로잡을 수 있었으면 한다"고 말했다고 한다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
국무회의를	국무/NNG+회의/NNG+를/JKO
주재하며	주재/NNG+하/XSV+며/EC
유진룡	유진룡/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관으로부터	장관/NNG+으로부터/JKB
'체육단체	'/SS+체육/NNG+단체/NNG
운영비리	운영/NNG+비리/NNG
및	및/MAG
개선보고'를	개선/NNG+보고/NNG+'/SS+를/JKO
받고,	받/VV+고/EC+,/SP
"내년에	"/SS+내년/NNG+에/JKB
우리나라에서	우리나라/NNG+에서/JKB
아시안게임이	아시안/NNP+게임/NNG+이/JKS
열리게	열리/VV+게/EC
되는데	되/VV+는데/EC
그전에	그전/NNG+에/JKB
여러	여러/MMN
가지	가지/NNB
문제를	문제/NNG+를/JKO
바로잡을	바로잡/VV+을/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.398.6.1
