# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.80
metadata : {}


# id : NWRW1800000044.80.1.1
한풀 꺾인 힐러리 열풍

한풀	한풀/MAG
꺾인	꺾이/VV+ㄴ/ETM
힐러리	힐러리/NNP
열풍	열풍/NNG


# id : NWRW1800000044.80.2.1
[한겨레] ‘생계형 억대 강연’ 논란 이어

[한겨레]	[/SS+한겨레/NNP+]/SS
‘생계형	‘/SS+생계/NNG+형/XSN
억대	억/NR+대/XSN
강연’	강연/NNG+’/SS
논란	논란/NNG
이어	이어/MAG


# id : NWRW1800000044.80.3.1
딸 취업 특혜의혹 등 잇단 악재

딸	딸/NNG
취업	취업/NNG
특혜의혹	특혜/NNG+의혹/NNG
등	등/NNB
잇단	잇달/VV+ㄴ/ETM
악재	악재/NNG


# id : NWRW1800000044.80.4.1
회고록 판매마저 기대 못미쳐

회고록	회고록/NNG
판매마저	판매/NNG+마저/JX
기대	기대/NNG
못미쳐	못/MAG+미치/VV+어/EF


# id : NWRW1800000044.80.5.1
차기 미국 대통령 선거 출마가 유력한 힐러리 클린턴(67·사진) 전 미국 국무장관이 안팎의 악재에 시달리고 있다.

차기	차기/NNG
미국	미국/NNP
대통령	대통령/NNG
선거	선거/NNG
출마가	출마/NNG+가/JKS
유력한	유력/NNG+하/XSA+ㄴ/ETM
힐러리	힐러리/NNP
클린턴(67·사진)	클린턴/NNP+(/SS+67/SN+·/SP+사진/NNG+)/SS
전	전/MMD
국무장관이	국무/NNG+장관/NNG+이/JKS
안팎의	안팎/NNG+의/JKG
악재에	악재/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.80.5.2
‘생계형 억대 강연’ 발언으로 논란을 자초하더니, 최근엔 딸 첼시 클린턴(34)의 방송사 취업 특혜 의혹이 불거졌다.

‘생계형	‘/SS+생계/NNG+형/XSN
억대	억/NR+대/XSN
강연’	강연/NNG+’/SS
발언으로	발언/NNG+으로/JKB
논란을	논란/NNG+을/JKO
자초하더니,	자초/NNG+하/XSV+더니/EC+,/SP
최근엔	최근/NNG+에/JKB+ㄴ/JX
딸	딸/NNG
첼시	첼시/NNP
클린턴(34)의	클린턴/NNP+(/SS+34/SN+)/SS+의/JKG
방송사	방송사/NNG
취업	취업/NNG
특혜	특혜/NNG
의혹이	의혹/NNG+이/JKS
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.80.5.3
최근 발간한 회고록 판매도 ‘기대 이하’로 나타났다.

최근	최근/MAG
발간한	발간/NNG+하/XSV+ㄴ/ETM
회고록	회고록/NNG
판매도	판매/NNG+도/JX
‘기대	‘/SS+기대/NNG
이하’로	이하/NNG+’/SS+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.80.6.1
보수 성향의 시사 주간지 <위클리 스탠더드>는 17일 출판계 소식통을 인용해 “지난 10일 발간된 클린턴 전 장관의 두번째 회고록 <힘든 선택들>이 일주일 동안 서점에서 6만권 팔리는데 그쳤다”고 보도했다.

보수	보수/NNG
성향의	성향/NNG+의/JKG
시사	시사/NNG
주간지	주간지/NNG
<위클리	</SS+위클리/NNP
스탠더드>는	스탠더드/NNP+>/SS+는/JX
17일	17/SN+일/NNB
출판계	출판/NNG+계/XSN
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“지난	“/SS+지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
발간된	발간/NNG+되/XSV+ㄴ/ETM
클린턴	클린턴/NNP
전	전/MMD
장관의	장관/NNG+의/JKG
두번째	두/MMN+번/NNB+째/XSN
회고록	회고록/NNG
<힘든	</SS+힘들/VA+ㄴ/ETM
선택들>이	선택/NNG+들/XSN+>/SS+이/JKS
일주일	일주일/NNG
동안	동안/NNG
서점에서	서점/NNG+에서/JKB
6만권	6/SN+만/NR+권/NNB
팔리는데	팔리/VV+는데/EC
그쳤다”고	그치/VV+었/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.80.6.2
전자책(e book) 판매분 2만4000권을 합쳐도 9만권에 못미친다.

전자책(e	전자책/NNG+(/SS+e/SL
book)	book/SL+)/SS
판매분	판매/NNG+분/XSN
2만4000권을	2/SN+만/NR+4000/SN+권/NNB+을/JKO
합쳐도	합치/VV+어도/EC
9만권에	9/SN+만/NR+권/NNB+에/JKB
못미친다.	못/MAG+미치/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.80.6.3
첫주에 15만권 정도가 팔릴 것으로 기대했던 출판사 ‘사이먼 앤드 슈스터’의 걱정이 이만저만 아니라고 잡지는 전했다.

첫주에	첫/MMN+주/NNG+에/JKB
15만권	15/SN+만/NR+권/NNB
정도가	정도/NNG+가/JKS
팔릴	팔리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했던	기대/NNG+하/XSV+았/EP+던/ETM
출판사	출판사/NNG
‘사이먼	‘/SS+사이먼/NNP
앤드	앤드/NNG
슈스터’의	슈스터/NNP+’/SS+의/JKG
걱정이	걱정/NNG+이/JKS
이만저만	이만저만/NNG
아니라고	아니/VCN+라고/EC
잡지는	잡지/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.80.7.1
애초 이 책은 출간 전 서점 쪽의 선주문량이 100만권에 이르는 등 인기몰이가 예견됐다.

애초	애초/NNG
이	이/MMD
책은	책/NNG+은/JX
출간	출간/NNG
전	전/NNG
서점	서점/NNG
쪽의	쪽/NNB+의/JKG
선주문량이	선주문량/NNG+이/JKS
100만권에	100/SN+만/NR+권/NNB+에/JKB
이르는	이르/VV+는/ETM
등	등/NNB
인기몰이가	인기몰이/NNG+가/JKS
예견됐다.	예견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.80.7.2
출판사가 클린턴 전 장관에게 지불한 선인세만 1400만달러(약 140여억원)다.

출판사가	출판사/NNG+가/JKS
클린턴	클린턴/NNP
전	전/MMD
장관에게	장관/NNG+에게/JKB
지불한	지불/NNG+하/XSV+ㄴ/ETM
선인세만	선인세/NNG+만/JX
1400만달러(약	1400/SN+만/NR+달러/NNB+(/SS+약/MMA
140여억원)다.	140/SN+여/XSN+억/NR+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000044.80.7.3
150만권 정도를 팔아야 출판사가 수익을 낼 수 있는 거액이다.

150만권	150/SN+만/NR+권/NNB
정도를	정도/NNG+를/JKO
팔아야	팔/VV+아야/EC
출판사가	출판사/NNG+가/JKS
수익을	수익/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
거액이다.	거액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.80.7.4
하지만 지금의 판매 속도로는 수십만권이 창고에서 먼지를 뒤집어쓰게 될 것이라는 전망이 나온다.

하지만	하지만/MAJ
지금의	지금/NNG+의/JKG
판매	판매/NNG
속도로는	속도/NNG+로/JKB+는/JX
수십만권이	수십만/NR+권/NNB+이/JKS
창고에서	창고/NNG+에서/JKB
먼지를	먼지/NNG+를/JKO
뒤집어쓰게	뒤집어쓰/VV+게/EC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.80.7.5
클린턴 전 장관의 첫 회고록인 <살아있는 역사>가 첫날 6만권 넘게 나가며 144만여권이 팔린 것과 대조된다.

클린턴	클린턴/NNP
전	전/MMD
장관의	장관/NNG+의/JKG
첫	첫/MMN
회고록인	회고록/NNG+이/VCP+ㄴ/ETM
<살아있는	</SS+살/VV+아/EC+있/VX+는/ETM
역사>가	역사/NNG+>/SS+가/JKS
첫날	첫날/NNG
6만권	6/SN+만/NR+권/NNB
넘게	넘/VV+게/EC
나가며	나가/VV+며/EC
144만여권이	144/SN+만/NR+여/XSN+권/NNB+이/JKS
팔린	팔리/VV+ㄴ/ETM
것과	것/NNB+과/JKB
대조된다.	대조/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.80.8.1
이 보도에 대해 사이먼 앤드 슈스터의 한 관계자는 “1주일간 팔린 책은 10만권에 이르며, 이 사실에 출판사가 매우 고무된 상태”라며 반박했다고 미 정치전문지 <폴리티코>가 전했다.

이	이/MMD
보도에	보도/NNG+에/JKB
대해	대하/VV+아/EC
사이먼	사이먼/NNP
앤드	앤드/NNG
슈스터의	슈스터/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“1주일간	“/SS+1/SN+주일/NNB+간/XSN
팔린	팔리/VV+ㄴ/ETM
책은	책/NNG+은/JX
10만권에	10/SN+만/NR+권/NNB+에/JKB
이르며,	이르/VV+며/EC+,/SP
사실에	사실/NNG+에/JKB
출판사가	출판사/NNG+가/JKS
매우	매우/MAG
고무된	고무/NNG+되/XSV+ㄴ/ETM
상태”라며	상태/NNG+”/SS+이/VCP+라며/EC
반박했다고	반박/NNG+하/XSV+았/EP+다고/EC
미	미/NNP
정치전문지	정치/NNG+전문지/NNG
<폴리티코>가	</SS+폴리티코/NNP+>/SS+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.80.8.2
하지만 출판사 쪽의 이런 해명을 ‘사실 비틀기’로 보는 시각이 많다.

하지만	하지만/MAJ
출판사	출판사/NNG
쪽의	쪽/NNB+의/JKG
이런	이런/MMD
해명을	해명/NNG+을/JKO
‘사실	‘/SS+사실/NNG
비틀기’로	비틀/VV+기/ETN+’/SS+로/JKB
보는	보/VV+는/ETM
시각이	시각/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000044.80.9.1
클린턴 전 장관이 전국을 돌며 회고록 서명 행사를 벌이고 있는 데도 책의 인기가 시들한 데는 ‘르윈스키 스캔들’ 등을 담았던 전작에 비해 대중의 관심이 적다는 점과 아울러, 클린턴 일가의 잇단 ‘특권’ 논란에 대한 미국민들의 실망감도 한몫 했을 것이라는 분석이 나온다.

클린턴	클린턴/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
