# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.132
metadata : {}


# id : NWRW1800000022.132.1.1
식약청, 석면 함유 탈크 사용 의약품 1122개 판매금지;"최종제품 석면검출 확인 않고 명단 발표"… 제약업계 반발

식약청,	식약청/NNG+,/SP
석면	석면/NNG
함유	함유/NNG
탈크	탈크/NNG
사용	사용/NNG
의약품	의약품/NNG
1122개	1122/SN+개/NNB
판매금지;"최종제품	판매/NNG+금지/NNG+;/SW+"/SS+최종/NNG+제품/NNG
석면검출	석면/NNG+검출/NNG
확인	확인/NNG
않고	않/VV+고/EC
명단	명단/NNG
발표"…	발표/NNG+"/SS+…/SE
제약업계	제약업/NNG+계/XSN
반발	반발/NNG


# id : NWRW1800000022.132.2.1
식품의약품안전청이 석면 함유 탈크를 사용한 120개 제약사 1122개 의약품을 판매금지한 데 대해 제약업계가 반발하고 있다.

식품의약품안전청이	식품/NNG+의약품/NNG+안전청/NNG+이/JKS
석면	석면/NNG
함유	함유/NNG
탈크를	탈크/NNG+를/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
120개	120/SN+개/NNB
제약사	제약사/NNG
1122개	1122/SN+개/NNB
의약품을	의약품/NNG+을/JKO
판매금지한	판매/NNG+금지/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
제약업계가	제약업/NNG+계/XSN+가/JKS
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.132.3.1
최종제품에서 석면이 검출됐는지 확인하지도 않고 가능성만으로 제약사와 의약품 명단을 발표하는 바람에 직접 손실은 물론 기업 이미지에 큰 타격을 입었다는 이유에서다.

최종제품에서	최종/NNG+제품/NNG+에서/JKB
석면이	석면/NNG+이/JKS
검출됐는지	검출/NNG+되/XSV+었/EP+는지/EC
확인하지도	확인/NNG+하/XSV+지/EC+도/JX
않고	않/VX+고/EC
가능성만으로	가능/NNG+성/XSN+만/JX+으로/JKB
