# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.373
metadata : {}


# id : NWRW1800000038.373.1.1
[지방부채 100兆 시대, 나라 살림까지 흔든다] (2) 묻지마식 대형 개발 사업

[지방부채	[/SS+지방/NNG+부채/NNG
100兆	100/SN+兆/SH
시대,	시대/NNG+,/SP
나라	나라/NNG
살림까지	살림/NNG+까지/JX
흔든다]	흔들/VV+ㄴ다/EF+]/SS
(2)	(/SS+2/SN+)/SS
묻지마식	묻/VV+지/EC+말/VX+아/EF+식/NNB
대형	대형/NNG
개발	개발/NNG
사업	사업/NNG


# id : NWRW1800000038.373.2.1
지자체 개발公社들 부채율 300%대… 분양률 1.5% 사업도

지자체	지자체/NNG
개발公社들	개발/NNG+公社/SH+들/XSN
부채율	부채/NNG+율/XSN
300%대…	300/SN+%/SW+대/XSN+…/SE
분양률	분양/NNG+률/XSN
1.5%	1/SN+./SP+5/SN+%/SW
사업도	사업/NNG+도/JX


# id : NWRW1800000038.373.3.1
지방자치단체 산하의 도시공사 등 공기업들이 산업단지와 주택단지 등 대형 개발 사업으로 골병이 들고 있다.

지방자치단체	지방/NNG+자치/NNG+단체/NNG
산하의	산하/NNG+의/JKG
도시공사	도시/NNG+공사/NNG
등	등/NNB
공기업들이	공기업/NNG+들/XSN+이/JKS
산업단지와	산업/NNG+단지/NNG+와/JC
주택단지	주택/NNG+단지/NNG
대형	대형/NNG
개발	개발/NNG
사업으로	사업/NNG+으로/JKB
골병이	골병/NNG+이/JKS
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.3.2
막대한 빚을 내 사업을 추진했지만 이자도 못 갚아 만성 적자와 부채에 허덕이는 곳이 수두룩하다.

막대한	막대하/VA+ㄴ/ETM
빚을	빚/NNG+을/JKO
내	내/VV+어/EC
사업을	사업/NNG+을/JKO
추진했지만	추진/NNG+하/XSV+았/EP+지만/EC
이자도	이자/NNG+도/JX
못	못/MAG
갚아	갚/VV+아/EC
만성	만성/NNG
적자와	적자/NNG+와/JC
부채에	부채/NNG+에/JKB
허덕이는	허덕이/VV+는/ETM
곳이	곳/NNG+이/JKS
수두룩하다.	수두룩하/VA+다/EF+./SF


# id : NWRW1800000038.373.3.3
세종시를 제외한 16개 광역자치단체 산하 개발공사의 총부채 규모는 2007년 20조2044억원에서 작년 5년 만에 43조5254억원으로 배나 늘었다.

세종시를	세종시/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
16개	16/SN+개/NNB
광역자치단체	광역/NNG+자치/NNG+단체/NNG
산하	산하/NNG
개발공사의	개발/NNG+공사/NNG+의/JKG
총부채	총부채/NNG
규모는	규모/NNG+는/JX
2007년	2007/SN+년/NNB
20조2044억원에서	20/SN+조/NR+2044/SN+억/NR+원/NNB+에서/JKB
작년	작년/NNG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
43조5254억원으로	43/SN+조/NR+5254/SN+억/NR+원/NNB+으로/JKB
배나	배/NNG+나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.373.3.4
부채비율이 300%를 넘는 곳도 SH공사와 경기도시공사, 인천도시공사, 강원도개발공사, 전북개발공사 등 5곳이었다.

부채비율이	부채/NNG+비율/NNG+이/JKS
300%를	300/SN+%/SW+를/JKO
넘는	넘/VV+는/ETM
곳도	곳/NNG+도/JX
SH공사와	SH공사/NNP+와/JC
경기도시공사,	경기도시공사/NNP+,/SP
인천도시공사,	인천도시공사/NNP+,/SP
강원도개발공사,	강원도개발공사/NNP+,/SP
전북개발공사	전북개발공사/NNP
등	등/NNB
5곳이었다.	5/SN+곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.373.4.1
◇'묻지마' 개발 사업에 빚더미

◇'묻지마'	◇/SW+'/SS+묻/VV+지/EC+말/VX+아/EF+'/SS
개발	개발/NNG
사업에	사업/NNG+에/JKB
빚더미	빚더미/NNG


# id : NWRW1800000038.373.5.1
경기 화성시가 지난 2008년 설립한 화성도시공사는 전곡해양산업단지와 조암 공동주택사업 등이 잇따라 부진에 빠지면서 빚더미에 올랐다.

경기	경기/NNP
화성시가	화성시/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
설립한	설립/NNG+하/XSV+ㄴ/ETM
화성도시공사는	화성도시공사/NNP+는/JX
전곡해양산업단지와	전곡해양산업단지/NNP+와/JC
조암	조암/NNP
