# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.116
metadata : {}


# id : NWRW1800000029.116.1.1
코피환자, 6세 남자어린이 가장 많다

코피환자,	코피/NNG+환자/NNG+,/SP
6세	6/SN+세/NNB
남자어린이	남자/NNG+어린이/NNG
가장	가장/MAG
많다	많/VA+다/EF


# id : NWRW1800000029.116.2.1
후비거나 세게 푸는 탓… 피날땐 찬수건-얼음찜질 도움

후비거나	후비/VV+거나/EC
세게	세/VA+게/EC
푸는	풀/VV+는/ETM
탓…	탓/NNG+…/SE
피날땐	피/NNG+나/VV+ㄹ/ETM+때/NNG+ㄴ/JX
찬수건-얼음찜질	차/VA+ㄴ/ETM+수건/NNG+-/SO+얼음찜질/NNG
도움	돕/VV+ㅁ/ETN


# id : NWRW1800000029.116.3.1
코피는 여자보다 남자가 많이 흘리고, 특히 6세 남자 어린이가 코피 때문에 가장 많이 병원을 찾는 것으로 나타났다.

코피는	코피/NNG+는/JX
여자보다	여자/NNG+보다/JKB
남자가	남자/NNG+가/JKS
많이	많이/MAG
흘리고,	흘리/VV+고/EC+,/SP
특히	특히/MAG
6세	6/SN+세/NNB
남자	남자/NNG
어린이가	어린이/NNG+가/JKS
코피	코피/NNG
때문에	때문/NNB+에/JKB
가장	가장/MAG
병원을	병원/NNG+을/JKO
찾는	찾/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.116.4.1
국민건강보험공단이 2006년부터 2010년까지 코피로 진료를 받은 환자를 분석한 결과 2006년 26만2000명이던 환자가 해마다 늘어 2009년에 30만5809명, 지난해에 29만2272명을 기록했다.

국민건강보험공단이	국민건강보험공단/NNP+이/JKS
2006년부터	2006/SN+년/NNB+부터/JX
2010년까지	2010/SN+년/NNB+까지/JX
코피로	코피/NNG+로/JKB
진료를	진료/NNG+를/JKO
받은	받/VV+은/ETM
환자를	환자/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
2006년	2006/SN+년/NNB
26만2000명이던	26/SN+만/NR+2000/SN+명/NNB+이/VCP+던/ETM
환자가	환자/NNG+가/JKS
해마다	해마다/MAG
늘어	늘/VV+어/EC
2009년에	2009/SN+년/NNB+에/JKB
30만5809명,	30/SN+만/NR+5809/SN+명/NNB+,/SP
지난해에	지난해/NNG+에/JKB
29만2272명을	29/SN+만/NR+2272/SN+명/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.116.5.1
성별로 보면 지난해의 경우 남자가 17만1437명이고 여자는 12만835명이다.

성별로	성별/NNG+로/JKB
보면	보/VV+면/EC
지난해의	지난해/NNG+의/JKG
경우	경우/NNG
남자가	남자/NNG+가/JKS
17만1437명이고	17/SN+만/NR+1437/SN+명/NNB+이/VCP+고/EC
여자는	여자/NNG+는/JX
12만835명이다.	12/SN+만/NR+835/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.116.5.2
6 대 4로 남자 환자 비율이 높은데 다른 해도 비슷한 수준이었다.

6	6/SN
대	대/NNB
4로	4/SN+로/JKB
남자	남자/NNG
환자	환자/NNG
비율이	비율/NNG+이/JKS
높은데	높/VA+은데/EC
다른	다른/MMD
해도	해/NNG+도/JX
비슷한	비슷하/VA+ㄴ/ETM
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.116.6.1
남녀 모두 코피 환자가 가장 많은 연령대는 9세 이하였다.

남녀	남녀/NNG
모두	모두/MAG
코피	코피/NNG
환자가	환자/NNG+가/JKS
가장	가장/MAG
많은	많/VA+은/ETM
연령대는	연령대/NNG+는/JX
9세	9/SN+세/NNB
이하였다.	이하/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.116.6.2
인구 10만 명당 코피 환자는 남자의 경우 9세 이하가 1610명이었고 10대가 1214명으로 뒤를 이었다.

인구	인구/NNG
10만	10/SN+만/NR
명당	명/NNB+당/XSN
코피	코피/NNG
환자는	환자/NNG+는/JX
남자의	남자/NNG+의/JKG
경우	경우/NNG
9세	9/SN+세/NNB
이하가	이하/NNG+가/JKS
1610명이었고	1610/SN+명/NNB+이/VCP+었/EP+고/EC
10대가	10/SN+대/NNB+가/JKS
1214명으로	1214/SN+명/NNB+으로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.116.6.3
여자도 9세 이하(1114명), 10대(825명), 60대(581명)의 순이었다.

여자도	여자/NNG+도/JX
9세	9/SN+세/NNB
이하(1114명),	이하/NNG+(/SS+1114/SN+명/NNB+)/SS+,/SP
10대(825명),	10/SN+대/NNB+(/SS+825/SN+명/NNB+)/SS+,/SP
60대(581명)의	60/SN+대/NNB+(/SS+581/SN+명/NNB+)/SS+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.116.6.4
9세 이하를 연령별로 나누면 0세 70명, 1세 514명, 2세 937명으로 계속 늘어나 6세는 2013명이나 됐다.

9세	9/SN+세/NNB
이하를	이하/NNG+를/JKO
연령별로	연령/NNG+별/XSN+로/JKB
나누면	나누/VV+면/EC
0세	0/SN+세/NNB
70명,	70/SN+명/NNB+,/SP
1세	1/SN+세/NNB
514명,	514/SN+명/NNB+,/SP
2세	2/SN+세/NNB
937명으로	937/SN+명/NNB+으로/JKB
계속	계속/MAG
늘어나	늘어나/VV+아/EC
6세는	6/SN+세/NNB+는/JX
2013명이나	2013/SN+명/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.116.7.1
6세 어린이가 코피를 가장 많이 흘리는 이유는 코를 후비거나 코를 세게 푸는 습관 때문으로 보인다.

6세	6/SN+세/NNB
어린이가	어린이/NNG+가/JKS
코피를	코피/NNG+를/JKO
가장	가장/MAG
많이	많이/MAG
흘리는	흘리/VV+는/ETM
이유는	이유/NNG+는/JX
코를	코/NNG+를/JKO
후비거나	후비/VV+거나/EC
세게	세/VA+게/EC
푸는	풀/VV+는/ETM
습관	습관/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.116.7.2
4∼6세 때는 집 밖에서 보내는 시간이 크게 늘어나기 때문.

4∼6세	4/SN+∼/SO+6/SN+세/NNB
때는	때/NNG+는/JX
집	집/NNG
밖에서	밖/NNG+에서/JKB
