# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.392
metadata : {}


# id : NWRW1800000037.392.1.1
[수도권]제주도 골프장들 “정상 영업해요”

[수도권]제주도	[/SS+수도/NNG+권/XSN+]/SS+제주도/NNP
골프장들	골프장/NNG+들/XSN
“정상	“/SS+정상/NNG
영업해요”	영업/NNG+하/XSV+아요/EF+”/SS


# id : NWRW1800000037.392.2.1
‘설원’ 오해에 겨울 특수 실종 “저지대 그린은 봄날씨인데 수도권 고객들 해외로 나가”

‘설원’	‘/SS+설원/NNG+’/SS
오해에	오해/NNG+에/JKB
겨울	겨울/NNG
특수	특수/NNG
실종	실종/NNG
“저지대	“/SS+저/XPN+지대/NNG
그린은	그린/NNG+은/JX
봄날씨인데	봄/NNG+날씨/NNG+이/VCP+ㄴ데/EC
수도권	수도/NNG+권/XSN
고객들	고객/NNG+들/XSN
해외로	해외/NNG+로/JKB
나가”	나가/VV+아/EF+”/SS


# id : NWRW1800000037.392.3.1
제주지역 골프장 경기가 꽁꽁 얼어붙었다.

제주지역	제주지역/NNP
골프장	골프장/NNG
경기가	경기/NNG+가/JKS
꽁꽁	꽁꽁/MAG
얼어붙었다.	얼어붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.392.3.2
매년 겨울이면 한파를 피해 오는 골퍼로 특수를 누렸지만 올해는 발길이 뜸해지면서 울상을 짓고 있다.

매년	매년/MAG
겨울이면	겨울/NNG+이/VCP+면/EC
한파를	한파/NNG+를/JKO
피해	피하/VV+아/EC
오는	오/VX+는/ETM
골퍼로	골퍼/NNG+로/JKB
특수를	특수/NNG+를/JKO
누렸지만	누리/VV+었/EP+지만/EC
올해는	올해/NNG+는/JX
발길이	발길/NNG+이/JKS
뜸해지면서	뜸하/VA+아/EC+지/VX+면서/EC
울상을	울상/NNG+을/JKO
짓고	짓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.392.4.1
16일 제주시 한라산골프장.

16일	16/SN+일/NNB
제주시	제주시/NNP
한라산골프장.	한라산골프장/NNP+./SF


# id : NWRW1800000037.392.4.2
예전 같으면 육지에서 찾아온 단체 골퍼들로 붐빌 상황인데도 예약은 20여 팀에 불과했다.

예전	예전/NNG
같으면	같/VA+으면/EC
육지에서	육지/NNG+에서/JKB
찾아온	찾아오/VV+ㄴ/ETM
단체	단체/NNG
골퍼들로	골퍼/NNG+들/XSN+로/JKB
붐빌	붐비/VV+ㄹ/ETM
상황인데도	상황/NNG+이/VCP+ㄴ데/EC+도/JX
예약은	예약/NNG+은/JX
20여	20/SN+여/XSN
팀에	팀/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000037.392.4.3
주말에도 사정은 마찬가지였다.

주말에도	주말/NNG+에/JKB+도/JX
사정은	사정/NNG+은/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.392.4.4
지난해 말 쌓인 눈으로 20여 일 동안 휴장한 뒤 가까스로 문을 열어서인지 썰렁한 분위기였다.

지난해	지난해/NNG
말	말/NNB
쌓인	쌓이/VV+ㄴ/ETM
눈으로	눈/NNG+으로/JKB
20여	20/SN+여/XSN
일	일/NNB
동안	동안/NNG
휴장한	휴장/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
가까스로	가까스로/MAG
문을	문/NNG+을/JKO
열어서인지	열/VV+어서/EC+이/VCP+ㄴ지/EC
썰렁한	썰렁하/VA+ㄴ/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.392.4.5
골퍼들은 시간에 쫓기지 않고 편안하게 라운딩을 즐길 수 있었지만 골프장 관계자들의 속은 시커멓게 타들어 갔다.

골퍼들은	골퍼/NNG+들/XSN+은/JX
시간에	시간/NNG+에/JKB
쫓기지	쫓기/VV+지/EC
않고	않/VX+고/EC
편안하게	편안/NNG+하/XSA+게/EC
라운딩을	라운딩/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있었지만	있/VA+었/EP+지만/EC
골프장	골프장/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
속은	속/NNG+은/JX
시커멓게	시커멓/VA+게/EC
타들어	타들/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.392.4.6
이 골프장은 고심 끝에 16일부터 제주도민에게 그린피를 30%가량 깎아주는 상품을 내놨다.

이	이/MMD
골프장은	골프장/NNG+은/JX
고심	고심/NNG
끝에	끝/NNG+에/JKB
16일부터	16/SN+일/NNB+부터/JX
제주도민에게	제주/NNP+도민/NNG+에게/JKB
그린피를	그린피/NNG+를/JKO
30%가량	30/SN+%/SW+가량/XSN
깎아주는	깎/VV+아/EC+주/VX+는/ETM
상품을	상품/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.392.4.7
도민이라도 끌어들여 영업 손실을 줄여보겠다는 것이다.

도민이라도	도민/NNG+이/VCP+라도/EC
끌어들여	끌어들이/VV+어/EC
영업	영업/NNG
손실을	손실/NNG+을/JKO
줄여보겠다는	줄이/VV+어/EC+보/VX+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.392.5.1
한라산 해발 600m가량의 다소 고지대에 위치한 제주골프장은 쌓인 눈이 녹지 않아 2개월 동안 휴장하고 골프코스에 유료 눈썰매장을 만들어 18일부터 운영한다.

한라산	한라산/NNP
해발	해발/NNG
600m가량의	600/SN+m/SW+가량/XSN+의/JKG
다소	다소/MAG
고지대에	고/XPN+지대/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
제주골프장은	제주골프장/NNP+은/JX
쌓인	쌓이/VV+ㄴ/ETM
눈이	눈/NNG+이/JKS
녹지	녹/VV+지/EC
않아	않/VX+아/EC
2개월	2/SN+개월/NNB
동안	동안/NNG
휴장하고	휴장/NNG+하/XSV+고/EC
골프코스에	골프/NNG+코스/NNG+에/JKB
유료	유료/NNG
눈썰매장을	눈썰매장/NNG+을/JKO
만들어	만들/VV+어/EC
18일부터	18/SN+일/NNB+부터/JX
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.392.5.2
제주시 블랙스톤골프장은 그린피 할인 이벤트를 할까 고민했지만 고급 골프장 이미지를 훼손할 수 있다는 판단 때문에 이러지도 저러지도 못하는 상황이다.

제주시	제주시/NNP
블랙스톤골프장은	블랙스톤골프장/NNP+은/JX
그린피	그린피/NNG
할인	할인/NNG
이벤트를	이벤트/NNG+를/JKO
할까	하/VV+ㄹ까/EF
고민했지만	고민/NNG+하/XSV+았/EP+지만/EC
고급	고급/NNG
골프장	골프장/NNG
이미지를	이미지/NNG+를/JKO
훼손할	훼손/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단	판단/NNG
때문에	때문/NNB+에/JKB
이러지도	이러/VV+지/EC+도/JX
저러지도	저러/VV+지/EC+도/JX
못하는	못하/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.392.5.3
이 골프장 관계자는 “저지대 골프장은 봄 같은 날씨여서 라운딩이 가능한데도 한라산 설경이 자주 언론에 나오면서 마치 제주 전체가 눈 세상이 된 것처럼 잘못 알려져 골퍼들의 발길이 동남아, 중국 등으로 빠져나가고 있다”고 말했다.

이	이/MMD
골프장	골프장/NNG
관계자는	관계자/NNG+는/JX
“저지대	“/SS+저/XPN+지대/NNG
골프장은	골프장/NNG+은/JX
봄	봄/NNG
같은	같/VA+은/ETM
날씨여서	날씨/NNG+이/VCP+어서/EC
라운딩이	라운딩/NNG+이/JKS
가능한데도	가능/NNG+하/XSA+ㄴ데/EC+도/JX
한라산	한라산/NNP
설경이	설경/NNG+이/JKS
자주	자주/MAG
언론에	언론/NNG+에/JKB
나오면서	나오/VV+면서/EC
마치	마치/MAG
제주	제주/NNP
전체가	전체/NNG+가/JKS
눈	눈/NNG
세상이	세상/NNG+이/JKC
된	되/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
잘못	잘못/MAG
알려져	알려지/VV+어/EC
골퍼들의	골퍼/NNG+들/XSN+의/JKG
발길이	발길/NNG+이/JKS
동남아,	동남아/NNP+,/SP
중국	중국/NNP
등으로	등/NNB+으로/JKB
빠져나가고	빠져나가/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.392.6.1
지난해 제주지역 29개 골프장을 찾은 이용객은 도민 69만1642명, 도외인 110만3718명 등 모두 179만5000여 명이었다.

지난해	지난해/NNG
제주지역	제주지역/NNP
29개	29/SN+개/NNB
골프장을	골프장/NNG+을/JKO
찾은	찾/VV+은/ETM
이용객은	이용객/NNG+은/JX
도민	도민/NNG
69만1642명,	69/SN+만/NR+1642/SN+명/NNB+,/SP
도외인	도외인/NNG
110만3718명	110/SN+만/NR+3718/SN+명/NNB
등	등/NNB
모두	모두/MAG
179만5000여	179/SN+만/NR+5000/SN+여/XSN
명이었다.	명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.392.6.2
2011년 181만8000여 명에 비해 1.3% 감소했다.

2011년	2011/SN+년/NNB
181만8000여	181/SN+만/NR+8000/SN+여/XSN
명에	명/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
1.3%	1/SN+./SP+3/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.392.6.3
골프장 이용객은 2009년 160만5000여 명에서 2010년 155만7000여 명으로 사상 처음 줄었다가 2011년 다시 증가세로 돌아섰다.

골프장	골프장/NNG
이용객은	이용객/NNG+은/JX
2009년	2009/SN+년/NNB
160만5000여	160/SN+만/NR+5000/SN+여/XSN
명에서	명/NNB+에서/JKB
2010년	2010/SN+년/NNB
155만7000여	155/SN+만/NR+7000/SN+여/XSN
명으로	명/NNB+으로/JKB
사상	사상/NNG
처음	처음/NNG
줄었다가	줄/VV+었/EP+다가/EC
2011년	2011/SN+년/NNB
다시	다시/MAG
증가세로	증가세/NNG+로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.392.6.4
당시 이용객 감소에 충격을 받은 제주도와 골프장업계가 ‘골프 페스티벌’로 다양한 이벤트와 할인혜택을 주면서 이용객을 끌어모았지만 약발이 오래가지 않고 ‘반짝 특수’로 그친 것이다.

당시	당시/NNG
이용객	이용객/NNG
감소에	감소/NNG+에/JKB
충격을	충격/NNG+을/JKO
받은	받/VV+은/ETM
제주도와	제주도/NNP+와/JC
골프장업계가	골프장/NNG+업계/NNG+가/JKS
‘골프	‘/SS+골프/NNG
페스티벌’로	페스티벌/NNG+’/SS+로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
이벤트와	이벤트/NNG+와/JC
할인혜택을	할인/NNG+혜택/NNG+을/JKO
주면서	주/VV+면서/EC
이용객을	이용객/NNG+을/JKO
끌어모았지만	끌어모으/VV+았/EP+지만/EC
약발이	약발/NNG+이/JKS
오래가지	오래가/VV+지/EC
않고	않/VX+고/EC
‘반짝	‘/SS+반짝/MAG
특수’로	특수/NNG+’/SS+로/JKB
그친	그치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.392.6.5
제주도 관계자는 “현재로서는 골프 관광객을 유치하는 대형 이벤트를 계획하지 않고 있지만 골프장들이 합심해서 자구 노력을 한다면 적극 지원하겠다”고 말했다.

제주도	제주도/NNP
관계자는	관계자/NNG+는/JX
“현재로서는	“/SS+현재/NNG+로서/JKB+는/JX
골프	골프/NNG
관광객을	관광객/NNG+을/JKO
유치하는	유치/NNG+하/XSV+는/ETM
대형	대형/NNG
이벤트를	이벤트/NNG+를/JKO
계획하지	계획/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있지만	있/VX+지만/EC
골프장들이	골프장/NNG+들/XSN+이/JKS
합심해서	합심/NNG+하/XSV+아서/EC
자구	자구/NNG
노력을	노력/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
적극	적극/NNG
지원하겠다”고	지원/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


