# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.174
metadata : {}


# id : NWRW1800000030.174.1.1
郭교육감, 사립학교 관선 이사에 좌파 인사 대거 추천

郭교육감,	郭/SH+교육감/NNG+,/SP
사립학교	사립/NNG+학교/NNG
관선	관선/NNG
이사에	이사/NNG+에/JKB
좌파	좌파/NNG
인사	인사/NNG
대거	대거/MAG
추천	추천/NNG


# id : NWRW1800000030.174.2.1
•특정 단체에만 추천 요청

•특정	•/SW+특정/NNG
단체에만	단체/NNG+에/JKB+만/JX
추천	추천/NNG
요청	요청/NNG


# id : NWRW1800000030.174.3.1
지난해 선거 과정에서 경쟁 후보의 사퇴 대가로 2억원을 준 혐의 등으로 검찰에 구속 기소된 곽노현 서울시교육감이 사립학교의 관선(官選) 이사에 측근과 진보·좌파 인사를 대거 배치하려 했던 것으로 드러났다.

지난해	지난해/NNG
선거	선거/NNG
과정에서	과정/NNG+에서/JKB
경쟁	경쟁/NNG
후보의	후보/NNG+의/JKG
사퇴	사퇴/NNG
대가로	대가/NNG+로/JKB
2억원을	2/SN+억/NR+원/NNB+을/JKO
준	주/VV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
검찰에	검찰/NNG+에/JKB
구속	구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
곽노현	곽노현/NNP
서울시교육감이	서울시/NNP+교육감/NNG+이/JKS
사립학교의	사립/NNG+학교/NNG+의/JKG
관선(官選)	관선/NNG+(/SS+官選/SH+)/SS
이사에	이사/NNG+에/JKB
측근과	측근/NNG+과/JC
진보·좌파	진보/NNG+·/SP+좌파/NNG
인사를	인사/NNG+를/JKO
대거	대거/MAG
배치하려	배치/NNG+하/XSV+려/EC
했던	하/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.174.4.1
22일 국회 교육과학기술위원회 소속인 권영진 한나라당 의원이 서울시교육청으로부터 제출받은 자료에 따르면 서울시교육청이 진명학원(진명여고), 숭실학원(숭실중·고), 청숙학원(서울외고), 상록학원(양천고) 등 4개 학교법인에 추천한 임시이사 후보 50명 중 44%에 해당하는 22명이 곽 교육감의 측근이거나 진보·좌파 단체 소속 인사였다.

22일	22/SN+일/NNB
국회	국회/NNG
교육과학기술위원회	교육/NNG+과학/NNG+기술/NNG+위원회/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
권영진	권영진/NNP
한나라당	한나라당/NNP
의원이	의원/NNG+이/JKS
서울시교육청으로부터	서울시교육청/NNP+으로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
서울시교육청이	서울시교육청/NNP+이/JKS
진명학원(진명여고),	진명학원/NNP+(/SS+진명여고/NNP+)/SS+,/SP
숭실학원(숭실중·고),	숭실학원/NNP+(/SS+숭실중/NNP+·/SP+고/NNG+)/SS+,/SP
청숙학원(서울외고),	청숙학원/NNP+(/SS+서울외고/NNP+)/SS+,/SP
상록학원(양천고)	상록학원/NNP+(/SS+양천고/NNP+)/SS
등	등/NNB
4개	4/SN+개/NNB
학교법인에	학교/NNG+법인/NNG+에/JKB
추천한	추천/NNG+하/XSV+ㄴ/ETM
임시이사	임시/NNG+이사/NNG
후보	후보/NNG
50명	50/SN+명/NNB
중	중/NNB
44%에	44/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
22명이	22/SN+명/NNB+이/JKS
곽	곽/NNP
교육감의	교육감/NNG+의/JKG
측근이거나	측근/NNG+이/VCP+거나/EC
진보·좌파	진보/NNG+·/SP+좌파/NNG
단체	단체/NNG
소속	소속/NNG
인사였다.	인사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.174.5.1
이들은 지난해 곽 교육감의 선거 운동을 도왔던 인사 9명과 민주화를위한전국교수협의회, 참교육을위한전국학부모회, 민변, 학술단체협의회 등 진보·좌파 단체 소속 인사 13명이다.

이들은	이/NP+들/XSN+은/JX
지난해	지난해/NNG
곽	곽/NNP
교육감의	교육감/NNG+의/JKG
선거	선거/NNG
운동을	운동/NNG+을/JKO
도왔던	돕/VV+았/EP+던/ETM
인사	인사/NNG
9명과	9/SN+명/NNB+과/JC
