# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.298
metadata : {}


# id : NWRW1800000048.298.1.1
인천시, 급식 예산은 깎고 골프대회엔 ‘16억’

인천시,	인천시/NNP+,/SP
급식	급식/NNG
예산은	예산/NNG+은/JX
깎고	깎/VV+고/EC
골프대회엔	골프/NNG+대회/NNG+에/JKB+ㄴ/JX
‘16억’	‘/SS+16/SN+억/NR+’/SS


# id : NWRW1800000048.298.2.1
재정난 이유 1억여원 학교 예산 줄여

재정난	재정난/NNG
이유	이유/NNG
1억여원	1/SN+억/NR+여/XSN+원/NNB
학교	학교/NNG
예산	예산/NNG
줄여	줄이/VV+어/EF


# id : NWRW1800000048.298.3.1
‘중학 무상급식률 꼴찌’ 학부모 반발

‘중학	‘/SS+중학/NNG
무상급식률	무상/NNG+급식/NNG+률/XSN
꼴찌’	꼴찌/NNG+’/SS
학부모	학부모/NNG
반발	반발/NNG


# id : NWRW1800000048.298.4.1
인천시가 최근 재정난을 이유로 학교 친환경 급식 예산을 삭감하기로 한데다 인천 지역 중학교 무상급식 비율이 전국 최저 수준인 것으로 나타나면서 학부모들의 반발이 커지고 있다.

인천시가	인천시/NNP+가/JKS
최근	최근/MAG
재정난을	재정난/NNG+을/JKO
이유로	이유/NNG+로/JKB
학교	학교/NNG
친환경	친/XPN+환경/NNG
급식	급식/NNG
예산을	예산/NNG+을/JKO
삭감하기로	삭감/NNG+하/XSV+기/ETN+로/JKB
한데다	하/VV+ㄴ/ETM+데/NNB+다/JX
인천	인천/NNP
지역	지역/NNG
중학교	중학교/NNG
무상급식	무상/NNG+급식/NNG
비율이	비율/NNG+이/JKS
전국	전국/NNG
최저	최저/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타나면서	나타나/VV+면서/EC
학부모들의	학부모/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.298.5.1
인천 지역 학부모단체와 시민단체들로 구성된 ‘인천학교급식시민모임’은 7일 인천시청에서 기자회견을 열고 “인천시의 중학교 무상급식 비율이 전국 꼴찌”라며 내년도 예산 반영을 요구했다.

인천	인천/NNP
지역	지역/NNG
학부모단체와	학부모/NNG+단체/NNG+와/JC
시민단체들로	시민/NNG+단체/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
