# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.210
metadata : {}


# id : NWRW1800000021.210.1.1
[대구/경북]달라도 다함께/영천 결혼 이민 여성 교육

[대구/경북]달라도	[/SS+대구/NNP+//SP+경북/NNP+]/SS+다르/VA+아도/EC
다함께/영천	다/MAG+함께/MAG+//SP+영천/NNP
결혼	결혼/NNG
이민	이민/NNG
여성	여성/NNG
교육	교육/NNG


# id : NWRW1800000021.210.2.1
“결혼이민여성들이 빨리 한국 생활에 적응해야 바람직한 것처럼 조급해하는 분위기가 있어요.”

“결혼이민여성들이	“/SS+결혼/NNG+이민/NNG+여성/NNG+들/XSN+이/JKS
빨리	빨리/MAG
한국	한국/NNP
생활에	생활/NNG+에/JKB
적응해야	적응/NNG+하/XSV+아야/EC
바람직한	바람직하/VA+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
조급해하는	조급하/VA+아/EC+하/VX+는/ETM
분위기가	분위기/NNG+가/JKS
있어요.”	있/VA+어요/EF+./SF+”/SS


# id : NWRW1800000021.210.3.1
지난달 30일 경북 영천시 영천여성복지회관에서는 ‘외국인 며느리들의 한국생활 이야기’라는 연극이 공연됐다.

지난달	지난달/NNG
30일	30/SN+일/NNB
경북	경북/NNP
영천시	영천시/NNP
영천여성복지회관에서는	영천여성복지회관/NNP+에서/JKB+는/JX
‘외국인	‘/SS+외국인/NNG
며느리들의	며느리/NNG+들/XSN+의/JKG
한국생활	한국/NNP+생활/NNG
이야기’라는	이야기/NNG+’/SS+이/VCP+라는/ETM
연극이	연극/NNG+이/JKS
공연됐다.	공연/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.210.3.2
영천시가 올해 2월부터 시작한 ‘결혼이민여성 한국문화교육 수료식’의 한 가지 행사였다.

영천시가	영천시/NNP+가/JKS
올해	올해/NNG
2월부터	2/SN+월/NNB+부터/JX
시작한	시작/NNG+하/XSV+ㄴ/ETM
‘결혼이민여성	‘/SS+결혼/NNG+이민/NNG+여성/NNG
한국문화교육	한국/NNP+문화/NNG+교육/NNG
수료식’의	수료식/NNG+’/SS+의/JKG
한	한/MMN
가지	가지/NNB
행사였다.	행사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.210.3.3
연극에 참여한 필리핀 출신의 헨마스 씨(34·영천시 북안면)는 “이민여성들이 차근차근 한국을 알아갈 수 있도록 좀 더 관심을 가져달라”며 이같이 말했다.

연극에	연극/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
필리핀	필리핀/NNP
출신의	출신/NNG+의/JKG
헨마스	헨마스/NNP
씨(34·영천시	씨/NNB+(/SS+34/SN+·/SP+영천시/NNP
북안면)는	북안면/NNP+)/SS+는/JX
“이민여성들이	“/SS+이민/NNG+여성/NNG+들/XSN+이/JKS
차근차근	차근차근/MAG
한국을	한국/NNP+을/JKO
알아갈	알/VV+아/EC+가/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
좀	좀/MAG
더	더/MAG
관심을	관심/NNG+을/JKO
가져달라”며	가지/VV+어/EC+달/VX+라/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.210.3.4
2002년 한국에 온 그는 1남 2녀를 두고 있다.

2002년	2002/SN+년/NNB
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
그는	그/NP+는/JX
1남	1/SN+남/NNG
2녀를	2/SN+녀/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.210.4.1
영천에 사는 결혼이민여성 300여 명 가운데 70명은 6개월 동안 매주 두 차례 한국어 공부를 비롯해 가족 여행 등 다양한 프로그램에 참여했다.

영천에	영천/NNP+에/JKB
사는	살/VV+는/ETM
결혼이민여성	결혼/NNG+이민/NNG+여성/NNG
300여	300/SN+여/XSN
명	명/NNB
가운데	가운데/NNG
70명은	70/SN+명/NNB+은/JX
6개월	6/SN+개월/NNB
동안	동안/NNG
매주	매주/MAG
두	두/MMN
차례	차례/NNG
한국어	한국어/NNP
공부를	공부/NNG+를/JKO
비롯해	비롯하/VV+아/EC
가족	가족/NNG
여행	여행/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램에	프로그램/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.210.4.2
수료식에서 베트남과 중국, 필리핀 출신의 이민여성들은 한국을 포함한 4개국의 국수를 직접 만들어 먹으며 정을 나눴다.

