# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.24
metadata : {}


# id : NWRW1800000022.24.1.1
"방송법 개정이 언론장악이란 주장은 잘못" ● 언론학회 토론회

"방송법	"/SS+방송법/NNG
개정이	개정/NNG+이/JKS
언론장악이란	언론/NNG+장악/NNG+이/VCP+란/ETM
주장은	주장/NNG+은/JX
잘못"	잘못/NNG+"/SS
●	●/SW
언론학회	언론/NNG+학회/NNG
토론회	토론회/NNG


# id : NWRW1800000022.24.2.1
19일 서울 프레스센터에서 한국언론학회 주최로 열린 '방송법 개정안의 영향과 과제' 토론회에서 "방송법에 대한 객관적이고 합리적인 논의가 절실하다"는 학자들의 주장이 이어졌다.

19일	19/SN+일/NNB
서울	서울/NNP
프레스센터에서	프레스센터/NNP+에서/JKB
한국언론학회	한국언론학회/NNP
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
'방송법	'/SS+방송법/NNG
개정안의	개정안/NNG+의/JKG
영향과	영향/NNG+과/JC
과제'	과제/NNG+'/SS
토론회에서	토론회/NNG+에서/JKB
"방송법에	"/SS+방송법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
객관적이고	객관/NNG+적/XSN+이/VCP+고/EC
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
논의가	논의/NNG+가/JKS
절실하다"는	절실하/VA+다/EF+"/SS+는/ETM
학자들의	학자/NNG+들/XSN+의/JKG
주장이	주장/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.24.3.1
신문사나 대기업이 방송에 진출하면 여론 독점이 된다고 단정할 게 아니라 정말로 여론 독점이 가능한지 그리고 현행 제도를 유지하는 것만이 능사인지 등을 따져봐야 한다는 것이다.

신문사나	신문사/NNG+나/JC
대기업이	대/XPN+기업/NNG+이/JKS
방송에	방송/NNG+에/JKB
진출하면	진출/NNG+하/XSV+면/EC
여론	여론/NNG
독점이	독점/NNG+이/JKS
된다고	되/VV+ㄴ다고/EC
단정할	단정/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
정말로	정말로/MAG
가능한지	가능/NNG+하/XSA+ㄴ지/EF
그리고	그리고/MAJ
현행	현행/NNG
제도를	제도/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
것만이	것/NNB+만/JX+이/JKS
능사인지	능사/NNG+이/VCP+ㄴ지/EC
등을	등/NNB+을/JKO
따져봐야	따지/VV+어/EC+보/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.24.4.1
이재교 인하대 법대 교수는 '방송법 개정은 언론 장악용'이라는 야당 등의 주장에 대해 "마음만 먹으면 KBS 이사회와 방송문화진흥회를 통해 방송의 5분의 4를 장악할 수 있는 현재의 체제야말로 정권이 방송을 장악하기 쉬운 체제"라며 "(정권이 바뀔 때마다) 방송을 두고 내전(內戰)을 벌이는 상황은 바뀌어야 한다"고 말했다.

이재교	이재교/NNP
인하대	인하대/NNP
법대	법대/NNG
교수는	교수/NNG+는/JX
'방송법	'/SS+방송법/NNG
개정은	개정/NNG+은/JX
언론	언론/NNG
장악용'이라는	장악/NNG+용/XSN+'/SS+이/VCP+라는/ETM
야당	야당/NNG
등의	등/NNB+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
"마음만	"/SS+마음/NNG+만/JX
먹으면	먹/VV+으면/EC
KBS	KBS/SL
이사회와	이사회/NNG+와/JC
방송문화진흥회를	방송/NNG+문화/NNG+진흥회/NNG+를/JKO
통해	통하/VV+아/EC
방송의	방송/NNG+의/JKG
5분의	5/SN+분/XSN+의/JKG
4를	4/SN+를/JKO
장악할	장악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
현재의	현재/NNG+의/JKG
체제야말로	체제/NNG+야말로/JX
정권이	정권/NNG+이/JKS
방송을	방송/NNG+을/JKO
장악하기	장악/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
체제"라며	체제/NNG+"/SS+이/VCP+라며/EC
"(정권이	"/SS+(/SS+정권/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
때마다)	때/NNG+마다/JX+)/SS
두고	두/VV+고/EC
내전(內戰)을	내전/NNG+(/SS+內戰/SH+)/SS+을/JKO
벌이는	벌이/VV+는/ETM
상황은	상황/NNG+은/JX
바뀌어야	바뀌/VV+어야/EC
