# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.343
metadata : {}


# id : NWRW1800000022.343.1.1
"北核, 돈줘서 손떼라는 식으론 해결 안돼";조엘 위트 前 美국무부 북한담당관 주장

"北核,	"/SS+北核/SH+,/SP
돈줘서	돈/NNG+주/VV+어서/EC
손떼라는	손/NNG+떼/VV+라는/ETM
식으론	식/NNB+으로/JKB+ㄴ/JX
해결	해결/NNG
안돼";조엘	안/MAG+되/XSV+어/EF+"/SS+;/SW+조엘/NNP
위트	위트/NNP
前	前/SH
美국무부	美/SH+국무부/NNG
북한담당관	북한/NNP+담당관/NNG
주장	주장/NNG


# id : NWRW1800000022.343.2.1
미국 내 북한 문제 전문가인 조엘 위트(Wit) 미 컬럼비아대 동아시아재단 선임연구원은 북한 핵 문제는 돈을 줘서 손을 떼게 하는 '월가(街)식' 그랜드바겐(일괄타결) 방식으로는 해결할 수 없다고 주장했다.

미국	미국/NNP
내	내/NNB
북한	북한/NNP
문제	문제/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
조엘	조엘/NNP
위트(Wit)	위트/NNP+(/SS+Wit/SL+)/SS
미	미/NNP
컬럼비아대	컬럼비아대/NNP
동아시아재단	동아시아/NNP+재단/NNG
선임연구원은	선임/NNG+연구원/NNG+은/JX
핵	핵/NNG
문제는	문제/NNG+는/JX
돈을	돈/NNG+을/JKO
줘서	주/VV+어서/EC
손을	손/NNG+을/JKO
떼게	떼/VV+게/EC
하는	하/VX+는/ETM
'월가(街)식'	'/SS+월가/NNP+(/SS+街/SH+)/SS+식/NNB+'/SS
그랜드바겐(일괄타결)	그랜드바겐/NNG+(/SS+일괄/NNG+타결/NNG+)/SS
방식으로는	방식/NNG+으로/JKB+는/JX
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.343.3.1
클린턴 행정부에서 국무부 북한담당관으로 일했던 위트 연구원은 7일 컬럼비아대에서 열린 '미국의 대북 전략' 토론회에서 "북핵 문제는 마치 월가에서 테이블 위에 돈을 쌓아놓고 이 돈을 받고 손을 떼라(buy-out)는 식의 거래적 방법으로는 해결할 수 없다"며 "그랜드바겐은 도착하는 순간 이미 사망했다"고 말했다.

클린턴	클린턴/NNP
행정부에서	행정부/NNG+에서/JKB
국무부	국무부/NNG
북한담당관으로	북한/NNP+담당관/NNG+으로/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
위트	위트/NNP
연구원은	연구원/NNG+은/JX
7일	7/SN+일/NNB
컬럼비아대에서	컬럼비아대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
'미국의	'/SS+미국/NNP+의/JKG
대북	대북/NNG
전략'	전략/NNG+'/SS
토론회에서	토론회/NNG+에서/JKB
"북핵	"/SS+북핵/NNG
문제는	문제/NNG+는/JX
마치	마치/MAG
월가에서	월가/NNP+에서/JKB
테이블	테이블/NNG
위에	위/NNG+에/JKB
돈을	돈/NNG+을/JKO
쌓아놓고	쌓/VV+아/EC+놓/VX+고/EC
이	이/MMD
받고	받/VV+고/EC
손을	손/NNG+을/JKO
떼라(buy-out)는	떼/VV+어라/EF+(/SS+buy/SL+-/SO+out/SL+)/SS+는/JX
식의	식/NNB+의/JKG
거래적	거래/NNG+적/XSN
방법으로는	방법/NNG+으로/JKB+는/JX
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"그랜드바겐은	"/SS+그랜드바겐/NNG+은/JX
도착하는	도착/NNG+하/XSV+는/ETM
순간	순간/NNG
이미	이미/MAG
사망했다"고	사망/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.343.4.1
그는 "북한 비핵화는 단순히 경제적 대가를 주고받는 식이 아니라 근본적으로 관계의 변화를 가져오는 방법을 통해서 달성할 수 있다"고 주장했다.

그는	그/NP+는/JX
"북한	"/SS+북한/NNP
비핵화는	비핵/NNG+화/XSN+는/JX
단순히	단순히/MAG
경제적	경제/NNG+적/XSN
대가를	대가/NNG+를/JKO
주고받는	주고받/VV+는/ETM
식이	식/NNB+이/JKC
아니라	아니/VCN+라/EC
근본적으로	근본/NNG+적/XSN+으로/JKB
관계의	관계/NNG+의/JKG
변화를	변화/NNG+를/JKO
가져오는	가져오/VV+는/ETM
방법을	방법/NNG+을/JKO
통해서	통하/VV+아서/EC
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.343.4.2
근본적인 관계 변화를 상징적으로 보여주는 예로 그는 북미 간 연락사무소 설치와 남북 간 평화선언 등을 꼽았다.

근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
관계	관계/NNG
변화를	변화/NNG+를/JKO
상징적으로	상징/NNG+적/XSN+으로/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
예로	예/NNG+로/JKB
그는	그/NP+는/JX
북미	북미/NNP
간	간/NNB
연락사무소	연락/NNG+사무소/NNG
설치와	설치/NNG+와/JC
남북	남북/NNP
평화선언	평화/NNG+선언/NNG
등을	등/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.343.5.1
위트 연구원은 김정일 위원장의 6자회담 복귀 발언에 대해 "6자회담이든 7자회담이든 형식이 중요한 게 아니다"며 "미북 관계는 물론 한국과 일본 등과의 양자 관계 개선도 함께 이뤄져야 한다"고 말했다.

위트	위트/NNP
연구원은	연구원/NNG+은/JX
김정일	김정일/NNP
위원장의	위원장/NNG+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
복귀	복귀/NNG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
"6자회담이든	"/SS+6/SN+자/NNB+회담/NNG+이든/JX
7자회담이든	7/SN+자/NNB+회담/NNG+이든/JX
형식이	형식/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"미북	"/SS+미/NNP+북/NNP
관계는	관계/NNG+는/JX
물론	물론/MAG
한국과	한국/NNP+과/JC
일본	일본/NNP
등과의	등/NNB+과/JKB+의/JKG
양자	양자/NNG
관계	관계/NNG
개선도	개선/NNG+도/JX
함께	함께/MAG
이뤄져야	이뤄지/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.343.6.1
그는 "북한에 대한 제재는 그동안 통하지 않았고 앞으로도 그럴 것"이라며 "이번이 북핵 문제 해결의 마지막 기회일 수 있다는 인식 아래 지속적인 대화를 통해 문제를 풀어야 한다"고 강조했다.

그는	그/NP+는/JX
"북한에	"/SS+북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
제재는	제재/NNG+는/JX
그동안	그동안/NNG
통하지	통하/VV+지/EC
않았고	않/VX+았/EP+고/EC
앞으로도	앞/NNG+으로/JKB+도/JX
그럴	그렇/VA+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"이번이	"/SS+이번/NNG+이/JKS
북핵	북핵/NNG
문제	문제/NNG
해결의	해결/NNG+의/JKG
마지막	마지막/NNG
기회일	기회/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
인식	인식/NNG
아래	아래/NNG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
대화를	대화/NNG+를/JKO
통해	통하/VV+아/EC
문제를	문제/NNG+를/JKO
풀어야	풀/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.343.7.1
그는 "김정일 국방위원장의 후계자는 정치적 권한이 약할 것이므로 미국 정부는 김 위원장이 여전히 많은 권한을 행사하고 있고 북한이 핵무기를 더 확대하기 전인 지금의 기회를 활용해야 한다"고 덧붙였다.

그는	그/NP+는/JX
"김정일	"/SS+김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
후계자는	후계자/NNG+는/JX
정치적	정치/NNG+적/XSN
권한이	권한/NNG+이/JKS
약할	약하/VA+ㄹ/ETM
것이므로	것/NNB+이/VCP+므로/EC
미국	미국/NNP
정부는	정부/NNG+는/JX
김	김/NNP
위원장이	위원장/NNG+이/JKS
여전히	여전히/MAG
많은	많/VA+은/ETM
권한을	권한/NNG+을/JKO
행사하고	행사/NNG+하/XSV+고/EC
있고	있/VX+고/EC
북한이	북한/NNP+이/JKS
