# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.66
metadata : {}


# id : NWRW1800000024.66.1.1
미 ‘자동차 태스크포스’ /“우린 외제차가 좋아요”

미	미/NNP
‘자동차	‘/SS+자동차/NNG
태스크포스’	태스크포스/NNG+’/SS
/“우린	//SP+“/SS+우리/NP+ㄴ/JX
외제차가	외제/NNG+차/NNG+가/JKS
좋아요”	좋/VA+아요/EF+”/SS


# id : NWRW1800000024.66.2.1
미국의 자동차 산업 구조조정을 감독하기 위해 버락 오바마 대통령이 지난 20일 꾸린 자동차 대책본부(태스크포스) 소속 고위 관료와 정책보좌관 18명 가운데, 2명만 미국 업체 자동차를 소유하고 있을 뿐 대부분이 일본과 유럽 업체의 차를 타고 있다고 <디트로이트 뉴스>가 23일 보도했다.

미국의	미국/NNP+의/JKG
자동차	자동차/NNG
산업	산업/NNG
구조조정을	구조/NNG+조정/NNG+을/JKO
감독하기	감독/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
버락	버락/NNP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
꾸린	꾸리/VV+ㄴ/ETM
대책본부(태스크포스)	대책/NNG+본부/NNG+(/SS+태스크포스/NNG+)/SS
소속	소속/NNG
고위	고위/NNG
관료와	관료/NNG+와/JC
정책보좌관	정책/NNG+보좌관/NNG
18명	18/SN+명/NNB
가운데,	가운데/NNG+,/SP
2명만	2/SN+명/NNB+만/JX
미국	미국/NNP
업체	업체/NNG
자동차를	자동차/NNG+를/JKO
소유하고	소유/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
대부분이	대/XPN+부분/NNG+이/JKS
일본과	일본/NNP+과/JC
유럽	유럽/NNP
업체의	업체/NNG+의/JKG
차를	차/NNG+를/JKO
타고	타/VV+고/EC
있다고	있/VX+다고/EC
<디트로이트	</SS+디트로이트/NNP
뉴스>가	뉴스/NNP+>/SS+가/JKS
23일	23/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.66.3.1
현재 태스크포스는 공석인 상무장관과 노동장관을 빼고 8명으로 구성됐다.

현재	현재/MAG
태스크포스는	태스크포스/NNG+는/JX
공석인	공석/NNG+이/VCP+ㄴ/ETM
상무장관과	상무/NNG+장관/NNG+과/JC
노동장관을	노동/NNG+장관/NNG+을/JKO
빼고	빼/VV+고/EC
8명으로	8/SN+명/NNB+으로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.66.3.2
공동의장 중 하나인 티머시 가이트너 재무장관은 외할아버지가 1950년대 10년 동안 포드의 부회장을 지냈지만, 현재 소유한 차는 각각 2008년형 혼다 어큐라다.

공동의장	공동/NNG+의장/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
티머시	티머시/NNP
가이트너	가이트너/NNP
재무장관은	재무/NNG+장관/NNG+은/JX
외할아버지가	외할아버지/NNG+가/JKS
1950년대	1950/SN+년대/NNB
10년	10/SN+년/NNB
동안	동안/NNG
포드의	포드/NNP+의/JKG
부회장을	부회장/NNG+을/JKO
지냈지만,	지내/VV+었/EP+지만/EC+,/SP
현재	현재/MAG
소유한	소유/NNG+하/XSV+ㄴ/ETM
차는	차/NNG+는/JX
각각	각각/MAG
2008년형	2008/SN+년/NNB+형/XSN
혼다	혼다/NNP
어큐라다.	어큐라다/NNP+./SF


# id : NWRW1800000024.66.3.3
또다른 공동의장인 로런스 서머스 국가경제위원회 위원장은 1995년형 마쓰다 프로티지를 탄다.

또다른	또/MAG+다른/MMD
공동의장인	공동/NNG+의장/NNG+이/VCP+ㄴ/ETM
로런스	로런스/NNP
서머스	서머스/NNP
국가경제위원회	국가경제위원회/NNP
위원장은	위원장/NNG+은/JX
1995년형	1995/SN+년/NNB+형/XSN
마쓰다	마쓰다/NNP
프로티지를	프로티지/NNP+를/JKO
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.66.4.1
피터 오자그 백악관 예산실장은 혼다 오디세이와 볼보를, 리사 잭슨 환경보호국장은 도요타 프리어스와 혼다 오디세이를 몬다.

피터	피터/NNP
오자그	오자그/NNP
백악관	백악관/NNP
예산실장은	예산실장/NNG+은/JX
혼다	혼다/NNP
오디세이와	오디세이/NNP+와/JC
볼보를,	볼보/NNP+를/JKO+,/SP
리사	리사/NNP
잭슨	잭슨/NNP
환경보호국장은	환경/NNG+보호국장/NNG+은/JX
도요타	도요타/NNP
프리어스와	프리어스/NNP+와/JC
오디세이를	오디세이/NNP+를/JKO
몬다.	몰/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.66.4.2
잭슨 국장은 하이브리드 차량인 프리어스에 대해 “끝내준다”고 평했다.

잭슨	잭슨/NNP
국장은	국장/NNG+은/JX
하이브리드	하이브리드/NNG
차량인	차량/NNG+이/VCP+ㄴ/ETM
프리어스에	프리어스/NNP+에/JKB
대해	대하/VV+아/EC
“끝내준다”고	“/SS+끝내주/VV+ㄴ다/EF+”/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


