# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.252
metadata : {}


# id : NWRW1800000041.252.1.1
221cm-150kg 코트 거인, 20kg 빠진 홀쭉이로

221cm-150kg	221/SN+cm/SW+-/SO+150/SN+kg/SW
코트	코트/NNG
거인,	거인/NNG+,/SP
20kg	20/SN+kg/SW
빠진	빠지/VV+ㄴ/ETM
홀쭉이로	홀쭉이/NNG+로/JKB


# id : NWRW1800000041.252.2.1
25일 공익근무 소집해제 하승진

25일	25/SN+일/NNB
공익근무	공익/NNG+근무/NNG
소집해제	소집/NNG+해제/NNG
하승진	하승진/NNP


# id : NWRW1800000041.252.3.1
코트의 거인이 돌아온다.

코트의	코트/NNG+의/JKG
거인이	거인/NNG+이/JKS
돌아온다.	돌아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.252.3.2
공익근무요원으로 군 복무하던 국내 농구 최장신 선수 하승진(29·221cm)이 25일 소집 해제된다.

공익근무요원으로	공익/NNG+근무/NNG+요원/NNG+으로/JKB
군	군/NNG
복무하던	복무/NNG+하/XSV+던/ETM
국내	국내/NNG
농구	농구/NNG
최장신	최/XPN+장신/NNG
선수	선수/NNG
하승진(29·221cm)이	하승진/NNP+(/SS+29/SN+·/SP+221/SN+cm/SW+)/SS+이/JKS
25일	25/SN+일/NNB
소집	소집/NNG
해제된다.	해제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.252.3.3
프로농구 KCC로 복귀하는 하승진은 뉴질랜드 전지훈련을 마치고 22일 경기 용인시 모비스체육관에서 훈련을 재개한 한국 농구 대표팀 유재학 감독을 만나 자신의 몸 상태와 관련한 미팅을 가졌다.

프로농구	프로/NNG+농구/NNG
KCC로	KCC/SL+로/JKB
복귀하는	복귀/NNG+하/XSV+는/ETM
하승진은	하승진/NNP+은/JX
뉴질랜드	뉴질랜드/NNP
전지훈련을	전지훈련/NNG+을/JKO
마치고	마치/VV+고/EC
22일	22/SN+일/NNB
경기	경기/NNP
용인시	용인시/NNP
모비스체육관에서	모비스체육관/NNP+에서/JKB
훈련을	훈련/NNG+을/JKO
재개한	재개/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
농구	농구/NNG
대표팀	대표/NNG+팀/NNG
유재학	유재학/NNP
감독을	감독/NNG+을/JKO
만나	만나/VV+아/EC
자신의	자신/NNG+의/JKG
몸	몸/NNG
상태와	상태/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
미팅을	미팅/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.3.4
이날 김주성 양동근 조성민 김태술 김종규 등 대표팀 선수들은 모처럼 재회한 하승진의 달라진 모습에 놀라움을 표시했다.

이날	이날/NNG
김주성	김주성/NNP
양동근	양동근/NNP
조성민	조성민/NNP
김태술	김태술/NNP
김종규	김종규/NNP
등	등/NNB
대표팀	대표/NNG+팀/NNG
선수들은	선수/NNG+들/XSN+은/JX
모처럼	모처럼/MAG
재회한	재회/NNG+하/XSV+ㄴ/ETM
하승진의	하승진/NNP+의/JKG
달라진	달라지/VV+ㄴ/ETM
모습에	모습/NNG+에/JKB
놀라움을	놀라움/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.3.5
양동근은 “홀쭉해졌다.

양동근은	양동근/NNP+은/JX
“홀쭉해졌다.	“/SS+홀쭉하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.252.3.6
비결이 뭐냐”고 물었다.

비결이	비결/NNG+이/JKS
뭐냐”고	뭐/NP+이/VCP+냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.3.7
덥수룩하게 수염까지 기른 하승진은 “애 키우다 보면 그렇게 된다”며 웃었다.

덥수룩하게	덥수룩하/VA+게/EC
수염까지	수염/NNG+까지/JX
기른	기르/VV+ㄴ/ETM
하승진은	하승진/NNP+은/JX
“애	“/SS+애/NNG
키우다	키우/VV+다/EC
보면	보/VX+면/EC
그렇게	그렇/VA+게/EC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.4.1
하승진은 수원 수일고에서 행정보조요원으로 2년 동안 군 복무하면서 20kg 가까이 감량을 했다.

하승진은	하승진/NNP+은/JX
수원	수원/NNP
수일고에서	수일고/NNP+에서/JKB
행정보조요원으로	행정/NNG+보조/NNG+요원/NNG+으로/JKB
2년	2/SN+년/NNB
동안	동안/NNG
군	군/NNG
복무하면서	복무/NNG+하/XSV+면서/EC
20kg	20/SN+kg/SW
가까이	가까이/MAG
감량을	감량/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.4.2
150kg에 이르던 몸무게를 130kg까지 줄였다.

150kg에	150/SN+kg/SW+에/JKB
이르던	이르/VV+던/ETM
몸무게를	몸무게/NNG+를/JKO
130kg까지	130/SN+kg/SW+까지/JX
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.4.3
“규칙적인 생활과 함께 헬스클럽에서 꾸준히 운동을 했다.

“규칙적인	“/SS+규칙/NNG+적/XSN+이/VCP+ㄴ/ETM
생활과	생활/NNG+과/JKB
함께	함께/MAG
헬스클럽에서	헬스클럽/NNG+에서/JKB
꾸준히	꾸준히/MAG
운동을	운동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.4.4
부상 우려를 줄일 목적이었다.

부상	부상/NNG
우려를	우려/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
목적이었다.	목적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.252.4.5
너무 빼다 보니 기립성 저혈압 증세를 보여 (체중을) 다시 조금 늘렸다.”

너무	너무/MAG
빼다	빼/VV+다/EC
보니	보/VX+니/EC
기립성	기립/NNG+성/XSN
저혈압	저/XPN+혈압/NNG
증세를	증세/NNG+를/JKO
보여	보이/VV+어/EC
(체중을)	(/SS+체중/NNG+을/JKO+)/SS
다시	다시/MAG
조금	조금/MAG
늘렸다.”	늘리/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000041.252.4.6
체중이 1kg 증가하면 무릎 관절에는 3∼5kg의 부하가 걸리는 것으로 알려졌다.

체중이	체중/NNG+이/JKS
1kg	1/SN+kg/SW
증가하면	증가/NNG+하/XSV+면/EC
무릎	무릎/NNG
관절에는	관절/NNG+에/JKB+는/JX
3∼5kg의	3/SN+∼/SO+5/SN+kg/SW+의/JKG
부하가	부하/NNG+가/JKS
걸리는	걸리/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.4.7
한층 가벼워진 하승진은 “좀 더 나은 선수가 되기 위한 과정이다.

한층	한층/MAG
가벼워진	가벼워지/VV+ㄴ/ETM
하승진은	하승진/NNP+은/JX
“좀	“/SS+좀/MAG
더	더/MAG
나은	낫/VA+은/ETM
선수가	선수/NNG+가/JKC
되기	되/VV+기/ETN
위한	위하/VV+ㄴ/ETM
과정이다.	과정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.252.4.8
살을 뺐다고 민첩해졌다거나 점프가 많이 나온다는 건 아니다.

살을	살/NNG+을/JKO
뺐다고	빼/VV+었/EP+다고/EC
민첩해졌다거나	민첩하/VA+아/EC+지/VX+었/EP+다/EF+거나/JX
점프가	점프/NNG+가/JKS
많이	많이/MAG
나온다는	나오/VV+ㄴ다는/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.252.4.9
출전 시간을 늘리는 것이 목적”이라고 했다.

출전	출전/NNG
시간을	시간/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것이	것/NNB+이/JKS
목적”이라고	목적/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.5.1
군 입대 전 결혼한 하승진은 20개월 된 아들을 두고 있다.

군	군/NNG
입대	입대/NNG
전	전/NNG
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
하승진은	하승진/NNP+은/JX
20개월	20/SN+개월/NNB
된	되/VV+ㄴ/ETM
아들을	아들/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.252.5.2
“집에서는 기저귀 갈고 대변 치우는 평범한 아빠”라는 하승진은 “나이 들면 벤치에 앉아 있는 시간이 늘어나지 않는가.

“집에서는	“/SS+집/NNG+에서/JKB+는/JX
기저귀	기저귀/NNG
갈고	갈/VV+고/EC
대변	대변/NNG
치우는	치우/VV+는/ETM
평범한	평범하/VA+ㄴ/ETM
아빠”라는	아빠/NNG+”/SS+이/VCP+라는/ETM
하승진은	하승진/NNP+은/JX
“나이	“/SS+나이/NNG
들면	들/VV+면/EC
벤치에	벤치/NNG+에/JKB
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
시간이	시간/NNG+이/JKS
늘어나지	늘어나/VV+지/EC
않는가.	않/VX+는가/EF+./SF


# id : NWRW1800000041.252.5.3
전성기 때의 아빠 모습을 보여주고 싶어 아기도 빨리 갖게 됐다”고 말했다.

전성기	전성기/NNG
때의	때/NNG+의/JKG
아빠	아빠/NNG
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶어	싶/VX+어/EC
아기도	아기/NNG+도/JX
빨리	빨리/MAG
갖게	갖/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.5.4
농구 센터로 뛰었던 아버지 하동기 씨의 뒤를 잇고 있는 하승진은 “아버지가 늘 너도 자식 낳아보라고 하셨는데 그런 게 이해된다.

농구	농구/NNG
센터로	센터/NNG+로/JKB
뛰었던	뛰/VV+었/EP+던/ETM
아버지	아버지/NNG
하동기	하동기/NNP
씨의	씨/NNB+의/JKG
뒤를	뒤/NNG+를/JKO
잇고	잇/VV+고/EC
있는	있/VX+는/ETM
하승진은	하승진/NNP+은/JX
“아버지가	“/SS+아버지/NNG+가/JKS
늘	늘/MAG
너도	너/NP+도/JX
자식	자식/NNG
낳아보라고	낳/VV+아/EC+보/VX+라고/EC
하셨는데	하/VV+시/EP+었/EP+는데/EC
그런	그런/MMD
게	거/NNB+이/JKS
이해된다.	이해/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.252.5.5
부모님이 참 힘들게 날 키우셨을 것 같다”며 성숙한 모습을 보였다.

부모님이	부모/NNG+님/XSN+이/JKS
참	참/MAG
힘들게	힘들/VA+게/EC
날	나/NP+ㄹ/JKO
키우셨을	키우/VV+시/EP+었/EP+을/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.6.1
2008년 신인 드래프트 1순위로 지명된 하승진은 프로 4시즌 동안 KCC를 두 차례 챔피언으로 이끌었다.

2008년	2008/SN+년/NNB
신인	신인/NNG
드래프트	드래프트/NNG
1순위로	1/SN+순위/NNG+로/JKB
지명된	지명/NNG+되/XSV+ㄴ/ETM
하승진은	하승진/NNP+은/JX
프로	프로/NNG
4시즌	4/SN+시즌/NNG
동안	동안/NNG
KCC를	KCC/SL+를/JKO
두	두/MMN
차례	차례/NNG
챔피언으로	챔피언/NNG+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.6.2
하승진이 빠진 두 시즌에 KCC는 최하위, 7위로 추락했다.

하승진이	하승진/NNP+이/JKS
빠진	빠지/VV+ㄴ/ETM
두	두/MMN
시즌에	시즌/NNG+에/JKB
KCC는	KCC/SL+는/JX
최하위,	최/XPN+하위/NNG+,/SP
7위로	7/SN+위/NNB+로/JKB
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.6.3
이번 시즌 하승진의 가세로 KCC는 자유계약선수로 국가대표 가드 김태술까지 영입해 단번에 우승 후보로 꼽히고 있다.

이번	이번/NNG
시즌	시즌/NNG
하승진의	하승진/NNP+의/JKG
가세로	가세/NNG+로/JKB
KCC는	KCC/SL+는/JX
자유계약선수로	자유/NNG+계약/NNG+선수/NNG+로/JKB
국가대표	국가/NNG+대표/NNG
가드	가드/NNG
김태술까지	김태술/NNP+까지/JX
영입해	영입/NNG+하/XSV+아/EC
단번에	단번에/MAG
우승	우승/NNG
후보로	후보/NNG+로/JKB
꼽히고	꼽히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.252.6.4
하승진은 “지난 시즌 모비스, LG, SK가 3강 구도를 이뤘다면 이젠 KCC와 함께 4강 체제가 될 것이다.

하승진은	하승진/NNP+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
시즌	시즌/NNG
모비스,	모비스/NNP+,/SP
LG,	LG/SL+,/SP
SK가	SK/SL+가/JKS
3강	3/SN+강/NNB
구도를	구도/NNG+를/JKO
이뤘다면	이루/VV+었/EP+다면/EC
이젠	이제/NNG+ㄴ/JX
KCC와	KCC/SL+와/JKB
함께	함께/MAG
4강	4/SN+강/NNB
체제가	체제/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.252.6.5
재밌게 됐다”고 기대감을 드러냈다.

재밌게	재밌/VA+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
기대감을	기대감/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.252.6.6
그는 또 “2년 동안 갈망하던 곳에 다시 오게 돼 설렌다.

그는	그/NP+는/JX
또	또/MAG
“2년	“/SS+2/SN+년/NNB
동안	동안/NNG
갈망하던	갈망/NNG+하/XSV+던/ETM
곳에	곳/NNG+에/JKB
다시	다시/MAG
오게	오/VV+게/EC
돼	되/VV+어/EC
설렌다.	설레/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.252.6.7
제대로 적응할 수 있을지 두려움도 크다.

제대로	제대로/MAG
적응할	적응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
두려움도	두려움/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000041.252.6.8
잘 해내고 싶다”고 다짐했다.

잘	잘/MAG
해내고	해내/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.7.1
8월 스페인 월드컵 농구와 9월 인천 아시아경기 대표팀 선발에 대해 하승진은 의문부호를 제시했다.

8월	8/SN+월/NNB
스페인	스페인/NNP
월드컵	월드컵/NNG
농구와	농구/NNG+와/JC
9월	9/SN+월/NNB
인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
대표팀	대표/NNG+팀/NNG
선발에	선발/NNG+에/JKB
대해	대하/VV+아/EC
하승진은	하승진/NNP+은/JX
의문부호를	의문/NNG+부호/NNG+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.252.7.2
“2년 반 동안 공을 전혀 잡지 않았다.

“2년	“/SS+2/SN+년/NNB
반	반/NNG
동안	동안/NNG
공을	공/NNG+을/JKO
전혀	전혀/MAG
잡지	잡/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.252.7.3
갑자기 경기감각을 끌어올릴 수 있는 스타일도 아니라 자신이 없다.

갑자기	갑자기/MAG
경기감각을	경기/NNG+감각/NNG+을/JKO
끌어올릴	끌어올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
스타일도	스타일/NNG+도/JX
아니라	아니/VCN+라/EC
자신이	자신/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.252.7.4
며칠 전 운동을 하다 왼쪽 허벅지 근육이 찢어지는 부상도 입었다.”

며칠	며칠/NNG
전	전/NNG
운동을	운동/NNG+을/JKO
하다	하/VV+다/EC
왼쪽	왼쪽/NNG
허벅지	허벅지/NNG
근육이	근육/NNG+이/JKS
찢어지는	찢어지/VV+는/ETM
부상도	부상/NNG+도/JX
입었다.”	입/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000041.252.7.5
유재학 대표팀 감독은 “높이 보강이 절실하긴 하지만 선수 본인의 생각도 중요하다.

유재학	유재학/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
“높이	“/SS+높이/NNG
보강이	보강/NNG+이/JKS
절실하긴	절실하/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
선수	선수/NNG
본인의	본인/NNG+의/JKG
생각도	생각/NNG+도/JX
