# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.192
metadata : {}


# id : NWRW1800000029.192.1.1
石선장 몸속서 뺀 총알 1개 오만서 잃어버렸다

石선장	石/SH+선장/NNG
몸속서	몸속/NNG+서/JKB
뺀	빼/VV+ㄴ/ETM
총알	총알/NNG
1개	1/SN+개/NNB
오만서	오만/NNP+서/JKB
잃어버렸다	잃어버리/VV+었/EP+다/EF


# id : NWRW1800000029.192.2.1
■ 해적 범행 결정적 증거물 분실… 정부 관리소홀 논란

■	■/SW
해적	해적/NNG
범행	범행/NNG
결정적	결정/NNG+적/XSN
증거물	증거물/NNG
분실…	분실/NNG+…/SE
정부	정부/NNG
관리소홀	관리/NNG+소홀/NNG
논란	논란/NNG


# id : NWRW1800000029.192.3.1
삼호주얼리호 석해균 선장(58)의 몸 속에서 제거된 총알 가운데 1개가 오만 현지에서 분실된 것으로 확인됐다.

삼호주얼리호	삼호주얼리호/NNP
석해균	석해균/NNP
선장(58)의	선장/NNG+(/SS+58/SN+)/SS+의/JKG
몸	몸/NNG
속에서	속/NNG+에서/JKB
제거된	제거/NNG+되/XSV+ㄴ/ETM
총알	총알/NNG
가운데	가운데/NNG
1개가	1/SN+개/NNB+가/JKS
오만	오만/NNP
현지에서	현지/NNG+에서/JKB
분실된	분실/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.192.3.2
해적들의 범행을 입증할 결정적 증거물을 잃어버렸다는 점에서 정부의 관리 소홀에 대한 논란이 일고 있다.

해적들의	해적/NNG+들/XSN+의/JKG
범행을	범행/NNG+을/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
결정적	결정/NNG+적/XSN
증거물을	증거물/NNG+을/JKO
잃어버렸다는	잃어버리/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
정부의	정부/NNG+의/JKG
관리	관리/NNG
소홀에	소홀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.192.4.1
○ 총알 ‘미스터리’ 풀렸다

○	○/SW
총알	총알/NNG
‘미스터리’	‘/SS+미스터리/NNG+’/SS
풀렸다	풀리/VV+었/EP+다/EF


# id : NWRW1800000029.192.5.1
1일 외교통상부, 남해지방해양경찰청 특별수사본부, 아주대병원 등에 따르면 오만 까부스병원에서 이뤄진 석 선장에 대한 1, 2차 수술 때 모두 2개의 총알을 적출했다.

1일	1/SN+일/NNB
외교통상부,	외교/NNG+통상부/NNG+,/SP
남해지방해양경찰청	남해지방해양경찰청/NNP
특별수사본부,	특별/NNG+수사본부/NNG+,/SP
아주대병원	아주대병원/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
오만	오만/NNP
까부스병원에서	까부스병원/NNP+에서/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
석	석/NNP
선장에	선장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
1,	1/SN+,/SP
2차	2/SN+차/NNB
수술	수술/NNG
때	때/NNG
모두	모두/MAG
2개의	2/SN+개/NNB+의/JKG
총알을	총알/NNG+을/JKO
적출했다.	적출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.5.2
총알은 이국종 아주대병원 교수가 보관하고 있었으나 귀국 전 현지에서 1개를 잃어버린 것으로 확인됐다.

총알은	총알/NNG+은/JX
이국종	이국종/NNP
아주대병원	아주대병원/NNP
교수가	교수/NNG+가/JKS
보관하고	보관/NNG+하/XSV+고/EC
있었으나	있/VX+었/EP+으나/EC
귀국	귀국/NNG
전	전/MMD
현지에서	현지/NNG+에서/JKB
1개를	1/SN+개/NNB+를/JKO
잃어버린	잃어버리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.192.5.3
이때 이 교수를 비롯해 의료진은 총알과 함께 옷가지 등 대부분의 소지품을 분실했다.

이때	이때/NNG
이	이/NNP
교수를	교수/NNG+를/JKO
비롯해	비롯하/VV+아/EC
