# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.351
metadata : {}


# id : NWRW1800000022.351.1.1
[대구·경북] 동촌유원지 생태테마공원으로 탈바꿈;대구시, 금호강 생태하천 조성사업 본격 추진

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
동촌유원지	동촌유원지/NNP
생태테마공원으로	생태/NNG+테마/NNG+공원/NNG+으로/JKB
탈바꿈;대구시,	탈바꿈/NNG+;/SW+대구시/NNP+,/SP
금호강	금호강/NNP
생태하천	생태/NNG+하천/NNG
조성사업	조성/NNG+사업/NNG
본격	본격/NNG
추진	추진/NNG


# id : NWRW1800000022.351.2.1
대구 시민의 휴식처인 동촌유원지 일대가 대규모 생태테마공원으로 탈바꿈한다.

대구	대구/NNP
시민의	시민/NNG+의/JKG
휴식처인	휴식처/NNG+이/VCP+ㄴ/ETM
동촌유원지	동촌유원지/NNP
일대가	일대/NNG+가/JKS
대규모	대/XPN+규모/NNG
생태테마공원으로	생태/NNG+테마/NNG+공원/NNG+으로/JKB
탈바꿈한다.	탈바꿈/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.3.1
대구시는 낙동강 살리기 사업의 하나로 40년 이상 노후된 동촌유원지 일대를 포함해 금호강 생태하천 조성사업을 펼친다고 11일 밝혔다.

대구시는	대구시/NNP+는/JX
낙동강	낙동강/NNP
살리기	살리/VV+기/ETN
사업의	사업/NNG+의/JKG
하나로	하나/NR+로/JKB
40년	40/SN+년/NNB
이상	이상/NNG
노후된	노후/NNG+되/XSV+ㄴ/ETM
동촌유원지	동촌유원지/NNP
일대를	일대/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
금호강	금호강/NNP
생태하천	생태/NNG+하천/NNG
조성사업을	조성/NNG+사업/NNG+을/JKO
펼친다고	펼치/VV+ㄴ다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.351.4.1
금호강 생태하천 조성사업은 현재 국토해양부에서 실시설계를 마무리 중이며, 10월 말 설계가 완료되는 대로 대구시가 사업시행을 위탁받아 내년 2월까지는 전 구간에 대한 공사에 착수, 2011년 대구세계육상선수권대회 전까지는 모든 공사가 완료될 예정이다.

금호강	금호강/NNP
생태하천	생태/NNG+하천/NNG
조성사업은	조성/NNG+사업/NNG+은/JX
현재	현재/MAG
국토해양부에서	국토/NNG+해양부/NNG+에서/JKB
실시설계를	실시/NNG+설계/NNG+를/JKO
마무리	마무리/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
10월	10/SN+월/NNB
말	말/NNB
설계가	설계/NNG+가/JKS
완료되는	완료/NNG+되/XSV+는/ETM
대로	대로/NNB
대구시가	대구시/NNP+가/JKS
사업시행을	사업/NNG+시행/NNG+을/JKO
위탁받아	위탁/NNG+받/XSV+아/EC
내년	내년/NNG
2월까지는	2/SN+월/NNB+까지/JX+는/JX
전	전/MMN
구간에	구간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공사에	공사/NNG+에/JKB
착수,	착수/NNG+,/SP
2011년	2011/SN+년/NNB
대구세계육상선수권대회	대구/NNP+세계/NNG+육상/NNG+선수/NNG+권/XSN+대회/NNG
전까지는	전/NNG+까지/JX+는/JX
모든	모든/MMN
공사가	공사/NNG+가/JKS
완료될	완료/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.351.5.1
총 사업비 2594억원이 투입되는 이번 사업은 대구시를 통과하는 금호강 41.4㎞ 전 구간을 대상으로 한다.

총	총/MMA
사업비	사업비/NNG
2594억원이	2594/SN+억/NR+원/NNB+이/JKS
투입되는	투입/NNG+되/XSV+는/ETM
이번	이번/NNG
사업은	사업/NNG+은/JX
대구시를	대구시/NNP+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
금호강	금호강/NNP
41.4㎞	41/SN+./SP+4/SN+㎞/SW
전	전/MMN
구간을	구간/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
