# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.114
metadata : {}


# id : NWRW1800000054.114.1.1
"아들 몰라봐도… 어머니의 사랑 여전히 따뜻했죠"

"아들	"/SS+아들/NNG
몰라봐도…	몰라보/VV+아도/EC+…/SE
어머니의	어머니/NNG+의/JKG
사랑	사랑/NNG
여전히	여전히/MAG
따뜻했죠"	따뜻하/VA+았/EP+죠/EF+"/SS


# id : NWRW1800000054.114.2.1
치매학회 홍보대사 배우 박철민, 10년 동안 치매 걸린 老母 간병… 4000만원 기부… 후원기금 조성

치매학회	치매/NNG+학회/NNG
홍보대사	홍보/NNG+대사/NNG
배우	배우/NNG
박철민,	박철민/NNP+,/SP
10년	10/SN+년/NNB
동안	동안/NNG
치매	치매/NNG
걸린	걸리/VV+ㄴ/ETM
老母	老母/SH
간병…	간병/NNG+…/SE
4000만원	4000/SN+만/NR+원/NNB
기부…	기부/NNG+…/SE
후원기금	후원/NNG+기금/NNG
조성	조성/NNG


# id : NWRW1800000054.114.3.1
"어머니가 뇌출혈로 쓰러지면서 신경성 치매를 앓게 되셨어요.

"어머니가	"/SS+어머니/NNG+가/JKS
뇌출혈로	뇌출혈/NNG+로/JKB
쓰러지면서	쓰러지/VV+면서/EC
신경성	신경/NNG+성/XSN
치매를	치매/NNG+를/JKO
앓게	앓/VV+게/EC
되셨어요.	되/VV+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000054.114.3.2
지적 수준은 3~4세 정도이고 과거의 기억은 거의 사라진 상태죠."

지적	지/NNG+적/XSN
수준은	수준/NNG+은/JX
3~4세	3/SN+~/SO+4/SN+세/NNB
정도이고	정도/NNG+이/VCP+고/EC
과거의	과거/NNG+의/JKG
기억은	기억/NNG+은/JX
거의	거의/MAG
사라진	사라지/VV+ㄴ/ETM
상태죠."	상태/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000054.114.4.1
배우 박철민(50·사진)은 10년째 치매에 걸린 어머니를 돌보고 있다.

배우	배우/NNG
박철민(50·사진)은	박철민/NNP+(/SS+50/SN+·/SP+사진/NNG+)/SS+은/JX
10년째	10/SN+년/NNB+째/XSN
치매에	치매/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
어머니를	어머니/NNG+를/JKO
돌보고	돌보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.114.4.2
방송을 통해 어머니 병이 알려지면서 그는 지난 4월 대한치매학회 홍보대사로 선정됐다.

방송을	방송/NNG+을/JKO
통해	통하/VV+아/EC
어머니	어머니/NNG
병이	병/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
그는	그/NP+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
대한치매학회	대한치매학회/NNP
홍보대사로	홍보/NNG+대사/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.114.4.3
홍보대사 활동비로 받은 4000만원도 전액 기부하기로 했다.

홍보대사	홍보/NNG+대사/NNG
활동비로	활동비/NNG+로/JKB
받은	받/VV+은/ETM
4000만원도	4000/SN+만/NR+원/NNB+도/JX
전액	전액/NNG
기부하기로	기부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.114.4.4
아름다운재단은 지난달 26일 박씨가 치매 노인을 지원하는 '아름다운기억기금'을 조성하기로 협약을 맺고 활동비 4000만원을 기부했다고 밝혔다.

아름다운재단은	아름답/VA+ㄴ/ETM+재단/NNG+은/JX
지난달	지난달/NNG
26일	26/SN+일/NNB
박씨가	박/NNP+씨/NNB+가/JKS
치매	치매/NNG
노인을	노인/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
'아름다운기억기금'을	'/SS+아름답/VA+ㄴ/ETM+기억/NNG+기금/NNG+'/SS+을/JKO
조성하기로	조성/NNG+하/XSV+기/ETN+로/JKB
협약을	협약/NNG+을/JKO
맺고	맺/VV+고/EC
활동비	활동비/NNG
4000만원을	4000/SN+만/NR+원/NNB+을/JKO
기부했다고	기부/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.114.5.1
그는 "다행히 어머니는 '착한 치매'를 앓고 있다"면서 "가족도 알아보지 못하지만 항상 노래를 부르고 웃으신다"고 했다.

그는	그/NP+는/JX
"다행히	"/SS+다행히/MAG
어머니는	어머니/NNG+는/JX
'착한	'/SS+착하/VA+ㄴ/ETM
치매'를	치매/NNG+'/SS+를/JKO
앓고	앓/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"가족도	"/SS+가족/NNG+도/JX
