# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.124
metadata : {}


# id : NWRW1800000044.124.1.1
벤츠 부품물류센터 문열어…부품값 인하 이어질까

벤츠	벤츠/NNP
부품물류센터	부품/NNG+물류/NNG+센터/NNG
문열어…부품값	문/NNG+열/VV+어/EF+…/SE+부품/NNG+값/NNG
인하	인하/NNG
이어질까	이어지/VV+ㄹ까/EF


# id : NWRW1800000044.124.2.1
[한겨레] 3만여종 부품 보관 가능

[한겨레]	[/SS+한겨레/NNP+]/SS
3만여종	3/SN+만/NR+여/XSN+종/NNG
부품	부품/NNG
보관	보관/NNG
가능	가능/NNG


# id : NWRW1800000044.124.3.1
“서비스 시간 단축” 강조

“서비스	“/SS+서비스/NNG
시간	시간/NNG
단축”	단축/NNG+”/SS
강조	강조/NNG


# id : NWRW1800000044.124.4.1
“서비스를 받는데 걸리는 시간을 줄여 고객들의 편의를 늘리겠다.”

“서비스를	“/SS+서비스/NNG+를/JKO
받는데	받/VV+는데/EC
걸리는	걸리/VV+는/ETM
시간을	시간/NNG+을/JKO
줄여	줄이/VV+어/EC
고객들의	고객/NNG+들/XSN+의/JKG
편의를	편의/NNG+를/JKO
늘리겠다.”	늘리/VV+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000044.124.5.1
벤츠코리아에서 서비스 부문을 총괄하는 조규상 부사장은 ‘서비스 시간 단축’을 강조했다.

벤츠코리아에서	벤츠코리아/NNP+에서/JKB
서비스	서비스/NNG
부문을	부문/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
조규상	조규상/NNP
부사장은	부사장/NNG+은/JX
‘서비스	‘/SS+서비스/NNG
시간	시간/NNG
단축’을	단축/NNG+’/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.124.5.2
지난 10일 경기 안성시에 문을 연 벤츠의 부품물류센터(사진)를 30일 소개하면서다.

지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
경기	경기/NNP
안성시에	안성시/NNP+에/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
벤츠의	벤츠/NNP+의/JKG
부품물류센터(사진)를	부품/NNG+물류/NNG+센터/NNG+(/SS+사진/NNG+)/SS+를/JKO
30일	30/SN+일/NNB
소개하면서다.	소개/NNG+하/XSV+면서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000044.124.5.3
조 부사장은 이날 “기존보다 부품 재고량을 1.5배 늘리고, 주요 부품의 경우는 예측 수요치보다 두 배 정도 많은 물량을 준비해 물류센터를 운영할 것”이라고 강조했다.

조	조/NNP
부사장은	부사장/NNG+은/JX
이날	이날/NNG
“기존보다	“/SS+기존/NNG+보다/JKB
부품	부품/NNG
재고량을	재고량/NNG+을/JKO
1.5배	1/SN+./SP+5/SN+배/NNG
늘리고,	늘리/VV+고/EC+,/SP
주요	주요/NNG
부품의	부품/NNG+의/JKG
경우는	경우/NNG+는/JX
예측	예측/NNG
수요치보다	수요/NNG+치/XSN+보다/JKB
두	두/MMN
배	배/NNG
정도	정도/NNG
많은	많/VA+은/ETM
물량을	물량/NNG+을/JKO
준비해	준비/NNG+하/XSV+아/EC
물류센터를	물류/NNG+센터/NNG+를/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.124.6.1
벤츠코리아는 지난해 6월 착공한 뒤 520억원을 들여 새로 물류센터를 지었다.

벤츠코리아는	벤츠코리아/NNP+는/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
착공한	착공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
520억원을	520/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
새로	새로/MAG
물류센터를	물류/NNG+센터/NNG+를/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.124.6.2
기존 물류센터보다 2.5배 정도 큰 1만7800㎡규모에 3만1000여종의 부품을 보관할 수 있게 했다.

기존	기존/NNG
물류센터보다	물류/NNG+센터/NNG+보다/JKB
2.5배	2/SN+./SP+5/SN+배/NNG
정도	정도/NNG
큰	크/VA+ㄴ/ETM
1만7800㎡규모에	1/SN+만/NR+7800/SN+㎡/SW+규모/NNG+에/JKB
3만1000여종의	3/SN+만/NR+1000/SN+여/XSN+종/NNG+의/JKG
부품을	부품/NNG+을/JKO
보관할	보관/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.124.6.3
차량을 사는 이들이 늘면서 국내에서 필요한 부품도 늘어나고 있는데, 공급이 이를 따라가지 못 한다는 판단에서였다.

차량을	차량/NNG+을/JKO
사는	사/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
늘면서	늘/VV+면서/EC
국내에서	국내/NNG+에서/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
부품도	부품/NNG+도/JX
늘어나고	늘어나/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
공급이	공급/NNG+이/JKS
이를	이/NP+를/JKO
따라가지	따라가/VV+지/EC
못	못/MAG
한다는	하/VV+ㄴ다는/ETM
판단에서였다.	판단/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.124.6.4
벤츠코리아가 국내로 들여오는 부품량은 2011년과 비교할 때(40t 컨테이너 개수 기준) 지난해에 80%이상 늘었다.

