# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.146
metadata : {}


# id : NWRW1800000046.146.1.1
黨政 "소득 많은 피부양자에겐 健保料 부과"

黨政	黨政/SH
"소득	"/SS+소득/NNG
많은	많/VA+은/ETM
피부양자에겐	피/XPN+부양자/NNG+에게/JKB+ㄴ/JX
健保料	健保料/SH
부과"	부과/NNG+"/SS


# id : NWRW1800000046.146.2.1
건보료 개편 추진, 年소득 2000만원 기준될 듯… 19만명 추가로 보험료 내야

건보료	건보료/NNG
개편	개편/NNG
추진,	추진/NNG+,/SP
年소득	年/SH+소득/NNG
2000만원	2000/SN+만/NR+원/NNB
기준될	기준/NNG+되/XSV+ㄹ/ETM
듯…	듯/NNB+…/SE
19만명	19/SN+만/NR+명/NNB
추가로	추가/NNG+로/JKB
보험료	보험료/NNG
내야	내/VV+어야/EC


# id : NWRW1800000046.146.3.1
정부와 새누리당은 8일 임금 외에 종합소득이 있는 '부자' 직장인과 소득이 많은데도 직장인의 피부양자로 얹혀 보험료를 내지 않던 사람에게도 보험료를 부과하는 방안을 추진키로 했다.

정부와	정부/NNG+와/JC
새누리당은	새누리당/NNP+은/JX
8일	8/SN+일/NNB
임금	임금/NNG
외에	외/NNB+에/JKB
종합소득이	종합/NNG+소득/NNG+이/JKS
있는	있/VA+는/ETM
'부자'	'/SS+부자/NNG+'/SS
직장인과	직장인/NNG+과/JKB
소득이	소득/NNG+이/JKS
많은데도	많/VA+은데/EC+도/JX
직장인의	직장인/NNG+의/JKG
피부양자로	피/XPN+부양자/NNG+로/JKB
얹혀	얹히/VV+어/EC
보험료를	보험료/NNG+를/JKO
내지	내/VV+지/EC
않던	않/VX+던/ETM
사람에게도	사람/NNG+에게/JKB+도/JX
부과하는	부과/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.146.4.1
당정은 이날 국회에서 '건강보험료 개편 당정협의체' 회의를 열고 이같이 의견을 모았다고 국회 보건복지위 새누리당 간사인 이명수 의원이 밝혔다.

당정은	당정/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
'건강보험료	'/SS+건강/NNG+보험료/NNG
개편	개편/NNG
당정협의체'	당정/NNG+협의체/NNG+'/SS
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
이같이	이같이/MAG
의견을	의견/NNG+을/JKO
모았다고	모으/VV+았/EP+다고/EC
국회	국회/NNG
보건복지위	보건/NNG+복지위/NNG
새누리당	새누리당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
이명수	이명수/NNP
의원이	의원/NNG+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.146.5.1
이 의원은 회의 후 "앞으론 직장 가입자의 부모·형제여도 일정 수준의 소득과 재산이 있는 경우 보험료를 부과키로 했다"고 말했다.

이	이/NNP
의원은	의원/NNG+은/JX
회의	회의/NNG
후	후/NNG
"앞으론	"/SS+앞/NNG+으로/JKB+ㄴ/JX
직장	직장/NNG
가입자의	가입자/NNG+의/JKG
부모·형제여도	부모/NNG+·/SP+형제/NNG+이/VCP+어도/EC
일정	일정/NNG
수준의	수준/NNG+의/JKG
소득과	소득/NNG+과/JC
재산이	재산/NNG+이/JKS
있는	있/VA+는/ETM
경우	경우/NNG
보험료를	보험료/NNG+를/JKO
부과키로	부과/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.146.5.2
다만 "구체적인 피부양자의 인정 기준(소득요건·재산요건·부양요건) 등에 대해서는 국민 정서를 고려해 추가 논의를 통해 정하기로 했다"고 말했다.

다만	다만/MAG
"구체적인	"/SS+구체/NNG+적/XSN+이/VCP+ㄴ/ETM
피부양자의	피/XPN+부양자/NNG+의/JKG
인정	인정/NNG
기준(소득요건·재산요건·부양요건)	기준/NNG+(/SS+소득/NNG+요건/NNG+·/SP+재산/NNG+요건/NNG+·/SP+부양/NNG+요건/NNG+)/SS
등에	등/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
국민	국민/NNG
정서를	정서/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
추가	추가/NNG
논의를	논의/NNG+를/JKO
통해	통하/VV+아/EC
정하기로	정하/VV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.146.6.1
이날 회의에서 참석자들은 복지부의 건강보험료 부과 체계 개선기획단에서 제시한 대로 피부양자의 각종 소득을 모두 합쳐 연간 금액이 2000만원(월 167만원)을 초과하면 보험료를 내는 쪽으로 의견을 모은 것으로 알려졌다.

이날	이날/NNG
회의에서	회의/NNG+에서/JKB
참석자들은	참석자/NNG+들/XSN+은/JX
복지부의	복지부/NNG+의/JKG
건강보험료	건강/NNG+보험료/NNG
부과	부과/NNG
체계	체계/NNG
개선기획단에서	개선/NNG+기획단/NNG+에서/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
대로	대로/NNB
피부양자의	피/XPN+부양자/NNG+의/JKG
각종	각종/NNG
소득을	소득/NNG+을/JKO
모두	모두/MAG
합쳐	합치/VV+어/EC
연간	연간/NNG
금액이	금액/NNG+이/JKS
2000만원(월	2000/SN+만/NR+원/NNB+(/SS+월/NNG
167만원)을	167/SN+만/NR+원/NNB+)/SS+을/JKO
초과하면	초과/NNG+하/XSV+면/EC
보험료를	보험료/NNG+를/JKO
내는	내/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
의견을	의견/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.146.7.1
이렇게 되면 현재 피부양자 19만명이 추가로 보험료를 내야 하고, 퇴직 후 월 167만원 이상의 공무원연금이나 사학연금을 받는 피부양자도 건강보험료를 내야 한다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
현재	현재/MAG
피부양자	피/XPN+부양자/NNG
19만명이	19/SN+만/NR+명/NNB+이/JKS
추가로	추가/NNG+로/JKB
보험료를	보험료/NNG+를/JKO
내야	내/VV+어야/EC
하고,	하/VX+고/EC+,/SP
퇴직	퇴직/NNG
후	후/NNG
월	월/NNG
167만원	167/SN+만/NR+원/NNB
이상의	이상/NNG+의/JKG
공무원연금이나	공무원/NNG+연금/NNG+이나/JC
사학연금을	사학/NNG+연금/NNG+을/JKO
받는	받/VV+는/ETM
피부양자도	피/XPN+부양자/NNG+도/JX
건강보험료를	건강/NNG+보험료/NNG+를/JKO
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.146.7.2
