# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.396
metadata : {}


# id : NWRW1800000022.396.1.1
美 실질 실업률(구직 포기·파트타임 근무자 포함)은 17.5%… "최악의 겨울";저축액은 적고 빚은 많아… 1982년보다 상황 나빠

美	美/SH
실질	실질/NNG
실업률(구직	실업/NNG+률/XSN+(/SS+구직/NNG
포기·파트타임	포기/NNG+·/SP+파트타임/NNG
근무자	근무자/NNG
포함)은	포함/NNG+)/SS+은/JX
17.5%…	17/SN+./SP+5/SN+%/SW+…/SE
"최악의	"/SS+최악/NNG+의/JKG
겨울";저축액은	겨울/NNG+"/SS+;/SW+저축액/NNG+은/JX
적고	적/VA+고/EC
빚은	빚/NNG+은/JX
많아…	많/VA+아/EC+…/SE
1982년보다	1982/SN+년/NNB+보다/JKB
상황	상황/NNG
나빠	나쁘/VA+아/EF


# id : NWRW1800000022.396.2.1
미국 실업자들이 2차 대전 이후 가장 고통스러운 시간을 보내고 있는 것으로 평가되고 있다.

미국	미국/NNP
실업자들이	실업자/NNG+들/XSN+이/JKS
2차	2/SN+차/NNB
대전	대전/NNG
이후	이후/NNG
가장	가장/MAG
고통스러운	고통/NNG+스럽/XSA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보내고	보내/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
평가되고	평가/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.396.3.1
미국의 10월 실업률은 10.2%.

미국의	미국/NNP+의/JKG
10월	10/SN+월/NNB
실업률은	실업/NNG+률/XSN+은/JX
10.2%.	10/SN+./SP+2/SN+%/SW+./SF


# id : NWRW1800000022.396.3.2
이는 지난 1982년 12월의 10.8%보다는 약간 낮은 수치다.

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
1982년	1982/SN+년/NNB
12월의	12/SN+월/NNB+의/JKG
10.8%보다는	10/SN+./SP+8/SN+%/SW+보다/JKB+는/JX
약간	약간/MAG
낮은	낮/VA+은/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.396.3.3
하지만 실질적으로 실업상태에 있는 사람들과 실업자들이 처한 상황을 종합적으로 고려하면 이미 최악의 실업난에 빠져들었다.

하지만	하지만/MAJ
실질적으로	실질/NNG+적/XSN+으로/JKB
실업상태에	실업/NNG+상태/NNG+에/JKB
있는	있/VA+는/ETM
사람들과	사람/NNG+들/XSN+과/JC
실업자들이	실업자/NNG+들/XSN+이/JKS
처한	처하/VV+ㄴ/ETM
상황을	상황/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
고려하면	고려/NNG+하/XSV+면/EC
이미	이미/MAG
최악의	최악/NNG+의/JKG
실업난에	실업난/NNG+에/JKB
빠져들었다.	빠져들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.396.4.1
뉴욕타임스는 실업이 장기화되면서 구직활동을 포기한 사람과 파트타임 근무자를 포함하면 미국의 지난 10월 실질실업률은 17.5%로 대공황 이후 최악이라고 7일 보도했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
실업이	실업/NNG+이/JKS
장기화되면서	장기/NNG+화/XSN+되/XSV+면서/EC
구직활동을	구직/NNG+활동/NNG+을/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
사람과	사람/NNG+과/JC
파트타임	파트타임/NNG
근무자를	근무자/NNG+를/JKO
포함하면	포함/NNG+하/XSV+면/EC
미국의	미국/NNP+의/JKG
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
실질실업률은	실질/NNG+실업/NNG+률/XSN+은/JX
17.5%로	17/SN+./SP+5/SN+%/SW+로/JKB
대공황	대/XPN+공황/NNG
이후	이후/NNG
최악이라고	최악/NNG+이/VCP+라고/EC
7일	7/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.396.4.2
이는 6명 가운데 1명이 실직자의 꼬리표를 달고 있는 것으로, 공식 실업률이 최고였던 지난 1982년 12월의 실질실업률 17.1%를 뛰어넘는다.

이는	이/NP+는/JX
6명	6/SN+명/NNB
가운데	가운데/NNG
1명이	1/SN+명/NNB+이/JKS
실직자의	실직자/NNG+의/JKG
꼬리표를	꼬리표/NNG+를/JKO
달고	달/VV+고/EC
있는	있/VX+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
공식	공식/NNG
실업률이	실업/NNG+률/XSN+이/JKS
최고였던	최고/NNG+이/VCP+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
1982년	1982/SN+년/NNB
12월의	12/SN+월/NNB+의/JKG
실질실업률	실질/NNG+실업/NNG+률/XSN
17.1%를	17/SN+./SP+1/SN+%/SW+를/JKO
뛰어넘는다.	뛰어넘/VV+는다/EF+./SF


# id : NWRW1800000022.396.4.3
특히 부동산거품 붕괴로 심각한 타격을 입은 캘리포니아와 애리조나, 제조업이 몰려 있는 미시간과 오하이오 등에서는 실질실업률이 20%에 이를 것으로 추산된다.

특히	특히/MAG
부동산거품	부동산/NNG+거품/NNG
붕괴로	붕괴/NNG+로/JKB
심각한	심각하/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
입은	입/VV+은/ETM
캘리포니아와	캘리포니아/NNP+와/JC
애리조나,	애리조나/NNP+,/SP
제조업이	제조업/NNG+이/JKS
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
미시간과	미시간/NNP+과/JC
오하이오	오하이오/NNP
등에서는	등/NNB+에서/JKB+는/JX
실질실업률이	실질/NNG+실업/NNG+률/XSN+이/JKS
20%에	20/SN+%/SW+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.396.5.1
AP통신도 비슷한 분석을 내놓았다.

AP통신도	AP통신/NNP+도/JX
비슷한	비슷하/VA+ㄴ/ETM
분석을	분석/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.396.5.2
같은 10%대 실업률이라도 지금의 실업자들이 26년 전에 비해 훨씬 추운 겨울을 보낼 가능성이 많다는 분석이다.

같은	같/VA+은/ETM
10%대	10/SN+%/SW+대/XSN
실업률이라도	실업/NNG+률/XSN+이/VCP+라도/EC
지금의	지금/NNG+의/JKG
실업자들이	실업자/NNG+들/XSN+이/JKS
26년	26/SN+년/NNB
전에	전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
훨씬	훨씬/MAG
추운	춥/VA+ㄴ/ETM
겨울을	겨울/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
많다는	많/VA+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.396.5.3
현재 미국인들이 지고 있는 빚은 1980년대보다 3배가량 많은 반면, 저축액은 절반에 불과하고 실업기간도 평균적으로 10주가 더 길기 때문이다.

현재	현재/MAG
미국인들이	미국인/NNG+들/XSN+이/JKS
지고	지/VV+고/EC
있는	있/VX+는/ETM
빚은	빚/NNG+은/JX
1980년대보다	1980/SN+년대/NNB+보다/JKB
3배가량	3/SN+배/NNG+가량/XSN
많은	많/VA+은/ETM
반면,	반면/NNG+,/SP
저축액은	저축액/NNG+은/JX
절반에	절반/NNG+에/JKB
불과하고	불과/MAG+하/XSA+고/EC
실업기간도	실업/NNG+기간/NNG+도/JX
평균적으로	평균/NNG+적/XSN+으로/JKB
10주가	10/SN+주/NNB+가/JKS
더	더/MAG
길기	길/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.396.6.1
미국인들은 현재 모기지와 신용카드 등으로 평균 4만6000달러의 빚을 지고 있는데, 1982년에는 현재의 달러가치로 환산해도 빚이 1만4000달러에 불과했다.

미국인들은	미국인/NNG+들/XSN+은/JX
현재	현재/MAG
모기지와	모기지/NNG+와/JC
신용카드	신용/NNG+카드/NNG
등으로	등/NNB+으로/JKB
평균	평균/NNG
4만6000달러의	4/SN+만/NR+6000/SN+달러/NNB+의/JKG
빚을	빚/NNG+을/JKO
지고	지/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
1982년에는	1982/SN+년/NNB+에/JKB+는/JX
현재의	현재/NNG+의/JKG
달러가치로	달러/NNG+가치/NNG+로/JKB
환산해도	환산/NNG+하/XSV+아도/EC
빚이	빚/NNG+이/JKS
1만4000달러에	1/SN+만/NR+4000/SN+달러/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.396.6.2
당시보다 빚은 훨씬 많으면서도 저축액은 지난해 평균 940달러로 1982년의 2537달러보다 매우 낮은 수준이다.

당시보다	당시/NNG+보다/JKB
빚은	빚/NNG+은/JX
훨씬	훨씬/MAG
많으면서도	많/VA+으면서/EC+도/JX
저축액은	저축액/NNG+은/JX
지난해	지난해/NNG
평균	평균/NNG
940달러로	940/SN+달러/NNB+로/JKB
1982년의	1982/SN+년/NNB+의/JKG
2537달러보다	2537/SN+달러/NNB+보다/JKB
매우	매우/MAG
낮은	낮/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.396.7.1
일단 일자리를 잃으면 거의 복직 기회 없이 장기 실업 상태에 빠지고 마는 현재의 실업고착화 현상도 심각하다.

일단	일단/MAG
일자리를	일자리/NNG+를/JKO
잃으면	잃/VV+으면/EC
거의	거의/MAG
복직	복직/NNG
기회	기회/NNG
없이	없이/MAG
장기	장기/NNG
실업	실업/NNG
상태에	상태/NNG+에/JKB
빠지고	빠지/VV+고/EC
마는	말/VX+는/ETM
현재의	현재/NNG+의/JKG
실업고착화	실업/NNG+고착/NNG+화/XSN
현상도	현상/NNG+도/JX
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000022.396.7.2
현재 실업자들의 평균 실직기간은 6개월로 1982년의 4개월보다 두 달이 더 길다.

현재	현재/MAG
실업자들의	실업자/NNG+들/XSN+의/JKG
평균	평균/NNG
실직기간은	실직/NNG+기간/NNG+은/JX
6개월로	6/SN+개월/NNB+로/JKB
1982년의	1982/SN+년/NNB+의/JKG
4개월보다	4/SN+개월/NNB+보다/JKB
두	두/MMN
달이	달/NNB+이/JKS
더	더/MAG
길다.	길/VA+다/EF+./SF


# id : NWRW1800000022.396.7.3
실업의 고통은 단순히 부모 세대를 넘어 아이들에게 전파될 것으로 우려된다.

실업의	실업/NNG+의/JKG
고통은	고통/NNG+은/JX
단순히	단순히/MAG
부모	부모/NNG
세대를	세대/NNG+를/JKO
넘어	넘/VV+어/EC
아이들에게	아이/NNG+들/XSN+에게/JKB
전파될	전파/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.396.7.4
