# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.104
metadata : {}


# id : NWRW1800000038.104.1.1
"창경원 사자와 내 처지 다를 게 없다며 토로하셨죠"

"창경원	"/SS+창경원/NNP
사자와	사자/NNG+와/JC
내	나/NP+의/JKG
처지	처지/NNG
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없다며	없/VA+다며/EC
토로하셨죠"	토로/NNG+하/XSV+시/EP+었/EP+죠/EF+"/SS


# id : NWRW1800000038.104.2.1
박정희 前 대통령과 교환한 서신 공개… 김경래 한국기독교 100주년기념재단 상임이사

박정희	박정희/NNP
前	前/SH
대통령과	대통령/NNG+과/JKB
교환한	교환/NNG+하/XSV+ㄴ/ETM
서신	서신/NNG
공개…	공개/NNG+…/SE
김경래	김경래/NNP
한국기독교	한국/NNP+기독교/NNG
100주년기념재단	100/SN+주년/NNB+기념/NNG+재단/NNG
상임이사	상임/NNG+이사/NNG


# id : NWRW1800000038.104.3.1
"저는 배운 도둑질이 신문이라, 그냥 이 일을 계속하겠습니다."

"저는	"/SS+저/NP+는/JX
배운	배우/VV+ㄴ/ETM
도둑질이	도둑/NNG+질/XSN+이/JKS
신문이라,	신문/NNG+이/VCP+라/EC+,/SP
그냥	그냥/MAG
이	이/MMD
일을	일/NNG+을/JKO
계속하겠습니다."	계속/NNG+하/XSV+겠/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.104.4.1
1972년, 당시 경향신문 편집국장이던 김경래(金景來·85)씨는 두 번째 청와대에 불려 들어가 박정희 대통령을 독대했다.

1972년,	1972/SN+년/NNB+,/SP
당시	당시/NNG
경향신문	경향신문/NNP
편집국장이던	편집국장/NNG+이/VCP+던/ETM
김경래(金景來·85)씨는	김경래/NNP+(/SS+金景來/SH+·/SP+85/SN+)/SS+씨/NNB+는/JX
두	두/MMN
번째	번/NNB+째/XSN
청와대에	청와대/NNP+에/JKB
불려	불리/VV+어/EC
들어가	들어가/VV+아/EC
박정희	박정희/NNP
대통령을	대통령/NNG+을/JKO
독대했다.	독대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.4.2
"나와 일할 생각 없느냐"는 박 대통령의 부름에 "1주일만 생각할 시간을 달라"고 한 뒤 다시 불려간 자리였다.

"나와	"/SS+나/NP+와/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
생각	생각/NNG
없느냐"는	없/VA+느냐/EF+"/SS+는/ETM
박	박/NNP
대통령의	대통령/NNG+의/JKG
부름에	부름/NNG+에/JKB
"1주일만	"/SS+1/SN+주일/NNB+만/JX
생각할	생각/NNG+하/XSV+ㄹ/ETM
시간을	시간/NNG+을/JKO
달라"고	달/VX+라/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
불려간	불리/VV+어/EC+가/VX+ㄴ/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.104.4.3
김씨는 "대신 대통령과 나만 통하는 편지 루트를 하나 준다면, 주변에서 정책 제안이나 평가를 모아 보내겠다"고 제안했다.

김씨는	김/NNP+씨/NNB+는/JX
"대신	"/SS+대신/NNG
대통령과	대통령/NNG+과/JC
나만	나/NP+만/JX
통하는	통하/VV+는/ETM
편지	편지/NNG
루트를	루트/NNG+를/JKO
하나	하나/NR
준다면,	주/VV+ㄴ다면/EC+,/SP
주변에서	주변/NNG+에서/JKB
정책	정책/NNG
제안이나	제안/NNG+이나/JC
평가를	평가/NNG+를/JKO
모아	모으/VV+아/EC
보내겠다"고	보내/VV+겠/EP+다/EF+"/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.4.4
"조선일보 주필을 지낸 홍종인(洪鍾仁·1903~1998) 선배에게 박 대통령 제안을 의논했더니 '너까지 권력을 좇아갈 테냐'며 호통을 치셨어요.

"조선일보	"/SS+조선일보/NNP
주필을	주필/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
홍종인(洪鍾仁·1903~1998)	홍종인/NNP+(/SS+洪鍾仁/SH+·/SP+1903/SN+~/SO+1998/SN+)/SS
선배에게	선배/NNG+에게/JKB
박	박/NNP
대통령	대통령/NNG
제안을	제안/NNG+을/JKO
의논했더니	의논/NNG+하/XSV+았/EP+더니/EC
'너까지	'/SS+너/NP+까지/JX
권력을	권력/NNG+을/JKO
좇아갈	좇아가/VV+ㄹ/ETM
테냐'며	터/NNB+이/VCP+냐/EF+'/SS+며/EC
호통을	호통/NNG+을/JKO
치셨어요.	치/VV+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000038.104.4.5
그 말을 듣고 '끝까지 신문을 지켜야겠다'고 마음먹었더랬죠."

그	그/MMD
말을	말/NNG+을/JKO
듣고	듣/VV+고/EC
'끝까지	'/SS+끝/NNG+까지/JX
신문을	신문/NNG+을/JKO
지켜야겠다'고	지키/VV+어야/EC+하/VX+겠/EP+다/EF+'/SS+고/JKQ
마음먹었더랬죠."	마음먹/VV+었/EP+더라/EF+하/VV+았/EP+죠/EF+./SF+"/SS


# id : NWRW1800000038.104.5.1
박 대통령은 그의 기개를 높이 샀다.

박	박/NNP
대통령은	대통령/NNG+은/JX
그의	그/NP+의/JKG
기개를	기개/NNG+를/JKO
높이	높이/MAG
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.5.2
이후 김씨와 1978년 무렵까지 6년여 동안 80여 통의 편지를 주고받았다.

이후	이후/NNG
김씨와	김/NNP+씨/NNB+와/JKB
1978년	1978/SN+년/NNB
무렵까지	무렵/NNB+까지/JX
6년여	6/SN+년/NNB+여/XSN
동안	동안/NNG
80여	80/SN+여/XSN
통의	통/NNB+의/JKG
편지를	편지/NNG+를/JKO
주고받았다.	주고받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.5.3
박 대통령의 인간적 면모가 드러나는 사적인 편지들이다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
인간적	인간/NNG+적/XSN
면모가	면모/NNG+가/JKS
드러나는	드러나/VV+는/ETM
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
편지들이다.	편지/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.104.6.1
한국기독교 100주년기념재단 상임이사 김경래씨가 29일 본지에 자신이 보관해온 박정희 대통령의 친필 편지 42통 가운데 일부를 공개했다.

한국기독교	한국/NNP+기독교/NNG
100주년기념재단	100/SN+주년/NNB+기념/NNG+재단/NNG
상임이사	상임/NNG+이사/NNG
김경래씨가	김경래/NNP+씨/NNB+가/JKS
29일	29/SN+일/NNB
본지에	본지/NNG+에/JKB
자신이	자신/NNG+이/JKS
보관해온	보관/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
박정희	박정희/NNP
대통령의	대통령/NNG+의/JKG
친필	친필/NNG
편지	편지/NNG
42통	42/SN+통/NNB
가운데	가운데/NNG
일부를	일부/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.6.2
노란색 종이봉투엔 한글 혹은 한자로 쓰인 '박정희(朴正熙)'라는 서명이 뚜렷했다.

노란색	노란색/NNG
종이봉투엔	종이봉투/NNG+에/JKB+ㄴ/JX
한글	한글/NNG
혹은	혹은/MAG
한자로	한자/NNG+로/JKB
쓰인	쓰이/VV+ㄴ/ETM
'박정희(朴正熙)'라는	'/SS+박정희/NNP+(/SS+朴正熙/SH+)/SS+'/SS+이/VCP+라는/ETM
서명이	서명/NNG+이/JKS
뚜렷했다.	뚜렷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.104.6.3
편지지는 색이 누렇게 바랬고, 잉크가 휘발돼 글씨 색깔도 푸르게 변했다.

편지지는	편지지/NNG+는/JX
색이	색/NNG+이/JKS
누렇게	누렇/VA+게/EC
바랬고,	바래/VV+었/EP+고/EC+,/SP
잉크가	잉크/NNG+가/JKS
휘발돼	휘발/NNG+되/XSV+어/EC
글씨	글씨/NNG
색깔도	색깔/NNG+도/JX
푸르게	푸르/VA+게/EC
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.6.4
박 대통령은 날짜만 '4월 20일'이라고 적힌 편지에서 선거를 앞둔 시기였던 듯 "민주선거는 진인사대천명이나 국운이 상승일로에 있으니 대승할 것을 확신한다"고 썼다.

박	박/NNP
대통령은	대통령/NNG+은/JX
날짜만	날짜/NNG+만/JX
'4월	'/SS+4/SN+월/NNB
20일'이라고	20/SN+일/NNB+'/SS+이라고/JKQ
적힌	적히/VV+ㄴ/ETM
편지에서	편지/NNG+에서/JKB
선거를	선거/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
시기였던	시기/NNG+이/VCP+었/EP+던/ETM
듯	듯/NNB
"민주선거는	"/SS+민주/NNG+선거/NNG+는/JX
진인사대천명이나	진인사대천명/NNG+이나/JC
국운이	국운/NNG+이/JKS
상승일로에	상승일로/NNG+에/JKB
있으니	있/VA+으니/EC
대승할	대승/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
확신한다"고	확신/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.104.6.5
날짜를 공개하지 않은 편지에는 "매번 보내주시는 좋은 구상과 각종 자료로 정책 구상에 크게 도움을 받고 있다"고 감사의 뜻을 표했다.

날짜를	날짜/NNG+를/JKO
공개하지	공개/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
편지에는	편지/NNG+에/JKB+는/JX
"매번	"/SS+매번/MAG
보내주시는	보내/VV+어/EC+주/VX+시/EP+는/ETM
좋은	좋/VA+은/ETM
구상과	구상/NNG+과/JC
각종	각종/NNG
자료로	자료/NNG+로/JKB
정책	정책/NNG
구상에	구상/NNG+에/JKB
크게	크/VA+게/EC
도움을	도움/NNG+을/JKO
받고	받/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
감사의	감사/NNG+의/JKG
