# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.380
metadata : {}


# id : NWRW1800000044.380.1.1
검찰, 오늘 ‘원세훈 항소’ 공심위 이례적 소집

검찰,	검찰/NNG+,/SP
오늘	오늘/MAG
‘원세훈	‘/SS+원세훈/NNP
항소’	항소/NNG+’/SS
공심위	공심위/NNG
이례적	이례/NNG+적/XSN
소집	소집/NNG


# id : NWRW1800000044.380.2.1
[한겨레] 항소 여부 판단 위해 오늘 열어

[한겨레]	[/SS+한겨레/NNP+]/SS
항소	항소/NNG
여부	여부/NNG
판단	판단/NNG
위해	위하/VV+아/EC
오늘	오늘/MAG
열어	열/VV+어/EF


# id : NWRW1800000044.380.3.1
검찰이 ‘국가정보원 댓글 사건’ 1심 판결에 대한 항소 여부를 결정하기 위해 공소심의위원회(공심위)를 개최할 것으로 보인다.

검찰이	검찰/NNG+이/JKS
‘국가정보원	‘/SS+국가/NNG+정보원/NNG
댓글	댓글/NNG
사건’	사건/NNG+’/SS
1심	1심/NNG
판결에	판결/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항소	항소/NNG
여부를	여부/NNG+를/JKO
결정하기	결정/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
공소심의위원회(공심위)를	공소/NNG+심의/NNG+위원회/NNG+(/SS+공심위/NNG+)/SS+를/JKO
개최할	개최/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.3.2
대법원 상고도 아닌 2심 항소 여부를 판단하기 위해 공심위를 소집하는 것은 이례적이다.

대법원	대/XPN+법원/NNG
상고도	상고/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
2심	2심/NNG
항소	항소/NNG
여부를	여부/NNG+를/JKO
판단하기	판단/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
공심위를	공심위/NNG+를/JKO
소집하는	소집/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.380.3.3
이번 사건 항소 시한을 하루 앞두고 열리는 공심위에서 어떤 결정을 하든 검찰 수뇌부에게 돌아올 부담을 최소화하려는 행보로 해석된다.

이번	이번/NNG
사건	사건/NNG
항소	항소/NNG
시한을	시한/NNG+을/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
열리는	열리/VV+는/ETM
공심위에서	공심위/NNG+에서/JKB
어떤	어떤/MMD
결정을	결정/NNG+을/JKO
하든	하/VV+든/EC
검찰	검찰/NNG
수뇌부에게	수뇌부/NNG+에게/JKB
돌아올	돌아오/VV+ㄹ/ETM
부담을	부담/NNG+을/JKO
최소화하려는	최소/NNG+화/XSN+하/XSV+려는/ETM
행보로	행보/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.4.1
서울중앙지검은 17일 공심위를 열어 원세훈(63) 전 국정원장 등의 국정원법 및 공직선거법 위반 사건 1심 판결에 대한 항소장 제출 여부를 심의할지를 검토중이라고 16일 밝혔다.

서울중앙지검은	서울중앙지검/NNP+은/JX
17일	17/SN+일/NNB
공심위를	공심위/NNG+를/JKO
열어	열/VV+어/EC
원세훈(63)	원세훈/NNP+(/SS+63/SN+)/SS
전	전/MMD
국정원장	국정원장/NNG
등의	등/NNB+의/JKG
국정원법	국정원법/NNG
및	및/MAG
공직선거법	공직/NNG+선거법/NNG
위반	위반/NNG
사건	사건/NNG
1심	1심/NNG
판결에	판결/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항소장	항소장/NNG
제출	제출/NNG
여부를	여부/NNG+를/JKO
심의할지를	심의/NNG+하/XSV+ㄹ지/EF+를/JKO
검토중이라고	검토/NNG+중/NNB+이/VCP+라고/EC
16일	16/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.380.4.2
서울중앙지검 관계자는 “무죄 사건은 공심위를 모두 거치는데, 보통 서면으로 회의를 대체한다.

서울중앙지검	서울중앙지검/NNP
관계자는	관계자/NNG+는/JX
“무죄	“/SS+무죄/NNG
사건은	사건/NNG+은/JX
공심위를	공심위/NNG+를/JKO
모두	모두/MAG
거치는데,	거치/VV+는데/EC+,/SP
보통	보통/MAG
서면으로	서면/NNG+으로/JKB
회의를	회의/NNG+를/JKO
대체한다.	대체/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.4.3
