# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.330
metadata : {}


# id : NWRW1800000038.330.1.1
'나홀로 인사 스타일' 朴, 바꿀 기미 없는 듯

'나홀로	'/SS+나/NNG+홀로/MAG
인사	인사/NNG
스타일'	스타일/NNG+'/SS
朴,	朴/SH+,/SP
바꿀	바꾸/VV+ㄹ/ETM
기미	기미/NNG
없는	없/VA+는/ETM
듯	듯/NNB


# id : NWRW1800000038.330.2.1
朴측 "아직 요청 안했지만 검증 강화하려면 청와대와 협력하는 수 밖에 없어"

朴측	朴/SH+측/NNB
"아직	"/SS+아직/MAG
요청	요청/NNG
안했지만	안/MAG+하/VV+았/EP+지만/EC
검증	검증/NNG
강화하려면	강화/NNG+하/XSV+려면/EC
청와대와	청와대/NNP+와/JKB
협력하는	협력/NNG+하/XSV+는/ETM
수	수/NNB
밖에	밖/NNG+에/JKB
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000038.330.3.1
김용준 전 국무총리 후보자의 사퇴는 박근혜 대통령 당선인의 인선과 검증 시스템에 문제가 있다는 점을 입증했다.

김용준	김용준/NNP
전	전/MMD
국무총리	국무총리/NNG
후보자의	후보자/NNG+의/JKG
사퇴는	사퇴/NNG+는/JX
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인의	당선인/NNG+의/JKG
인선과	인선/NNG+과/JC
검증	검증/NNG
시스템에	시스템/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
입증했다.	입증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.3.2
그러나 박 당선인과 인수위 관계자들의 30일 발언을 종합하면 현재 시스템을 당장 바꾸지는 않을 것으로 알려졌다.

그러나	그러나/MAJ
박	박/NNP
당선인과	당선인/NNG+과/JC
인수위	인수위/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
30일	30/SN+일/NNB
발언을	발언/NNG+을/JKO
종합하면	종합/NNG+하/XSV+면/EC
현재	현재/MAG
시스템을	시스템/NNG+을/JKO
당장	당장/NNG
바꾸지는	바꾸/VV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.330.3.3
다만 조만간 청와대 등 관계기관의 협조를 통해 검증을 강화할 가능성은 있는 것으로 전해졌다.

다만	다만/MAG
조만간	조만간/MAG
청와대	청와대/NNP
등	등/NNB
관계기관의	관계/NNG+기관/NNG+의/JKG
협조를	협조/NNG+를/JKO
통해	통하/VV+아/EC
검증을	검증/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.330.4.1
당선인 비서실 관계자들은 이날 "김 전 후보자 사퇴 이후 인사 시스템과 관련해 당선인으로부터 개선 지시는 없었다"며 "최소한 (당선인 집무실이 있는) 통의동 사무실에 인사팀이 설치될 움직임은 없다"고 말했다.

당선인	당선/NNG+이/VCP+ㄴ/ETM
비서실	비서실/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
이날	이날/NNG
"김	"/SS+김/NNP
전	전/MMD
후보자	후보자/NNG
사퇴	사퇴/NNG
이후	이후/NNG
인사	인사/NNG
시스템과	시스템/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
당선인으로부터	당선인/NNG+으로부터/JKB
개선	개선/NNG
지시는	지시/NNG+는/JX
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"최소한	"/SS+최소한/NNG
(당선인	(/SS+당선인/NNG
집무실이	집무실/NNG+이/JKS
있는)	있/VA+는/ETM+)/SS
통의동	통의동/NNP
사무실에	사무실/NNG+에/JKB
인사팀이	인사/NNG+팀/NNG+이/JKS
설치될	설치/NNG+되/XSV+ㄹ/ETM
움직임은	움직임/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
