# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.7
metadata : {}


# id : NWRW1800000030.7.1.1
[World Hot Point] "신종플루 걸리면 평생 독감걱정 끝"

[World	[/SS+World/SL
Hot	Hot/SL
Point]	Point/SL+]/SS
"신종플루	"/SS+신종/NNG+플루/NNG
걸리면	걸리/VV+면/EC
평생	평생/NNG
독감걱정	독감/NNG+걱정/NNG
끝"	끝/NNG+"/SS


# id : NWRW1800000030.7.2.1
•모든 변종에 면역 항체 발견

•모든	•/SW+모든/MMN
변종에	변종/NNG+에/JKB
면역	면역/NNG
항체	항체/NNG
발견	발견/NNG


# id : NWRW1800000030.7.3.1
한 번 신종플루를 앓았던 사람은 평생 독감에 걸리지 않는다?

한	한/MMN
번	번/NNB
신종플루를	신종/NNG+플루/NNG+를/JKO
앓았던	앓/VV+았/EP+던/ETM
사람은	사람/NNG+은/JX
평생	평생/NNG
독감에	독감/NNG+에/JKB
걸리지	걸리/VV+지/EC
않는다?	않/VX+는다/EF+?/SF


# id : NWRW1800000030.7.4.1
신종플루에 감염됐었던 환자에게서 모든 독감 바이러스 변종에 대해 면역반응을 나타내는 특이항체가 발견됐다고 로이터통신 등이 10일 보도했다.

신종플루에	신종/NNG+플루/NNG+에/JKB
감염됐었던	감염/NNG+되/XSV+었었/EP+던/ETM
환자에게서	환자/NNG+에게서/JKB
모든	모든/MMN
독감	독감/NNG
바이러스	바이러스/NNG
변종에	변종/NNG+에/JKB
대해	대하/VV+아/EC
면역반응을	면역/NNG+반응/NNG+을/JKO
나타내는	나타내/VV+는/ETM
특이항체가	특이/NNG+항체/NNG+가/JKS
발견됐다고	발견/NNG+되/XSV+었/EP+다고/EC
로이터통신	로이터통신/NNP
등이	등/NNB+이/JKS
10일	10/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.7.4.2
로이터는 미국 시카고 대학의 패트릭 윌슨(Wilson) 박사 연구팀이 '실험 의학 저널' 최신호에 게재한 연구 결과를 인용해 "만능백신의 탄생이 한 발짝 가까이 다가왔다"고 전했다.

로이터는	로이터/NNP+는/JX
미국	미국/NNP
시카고	시카고/NNP
