# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.357
metadata : {}


# id : NWRW1800000032.357.1.1
원외투쟁 회의론·원내지도력 약화 /손학규 대표 ‘혹독한 겨울’

원외투쟁	원외/NNG+투쟁/NNG
회의론·원내지도력	회의/NNG+론/XSN+·/SP+원내/NNG+지도력/NNG
약화	약화/NNG
/손학규	//SP+손학규/NNP
대표	대표/NNG
‘혹독한	‘/SS+혹독하/VA+ㄴ/ETM
겨울’	겨울/NNG+’/SS


# id : NWRW1800000032.357.2.1
“이런꼴 보려 전국 돌았나” 격앙

“이런꼴	“/SS+이런/MMD+꼴/NNG
보려	보/VV+려/EC
전국	전국/NNG
돌았나”	돌/VV+았/EP+나/EF+”/SS
격앙	격앙/NNG


# id : NWRW1800000032.357.3.1
MB와 회담서 국면전환 기대

MB와	MB/SL+와/JKB
회담서	회담/NNG+서/JKB
국면전환	국면/NNG+전환/NNG
기대	기대/NNG


# id : NWRW1800000032.357.4.1
손학규 민주당 대표는 어느 때보다 혹독한 겨울을 보내고 있다.

손학규	손학규/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
어느	어느/MMD
때보다	때/NNG+보다/JKB
혹독한	혹독하/VA+ㄴ/ETM
겨울을	겨울/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.357.4.2
그를 둘러싼 정치적 환경이 갈수록 악화하는 탓이다.

그를	그/NP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
정치적	정치/NNG+적/XSN
환경이	환경/NNG+이/JKS
갈수록	갈수록/MAG
악화하는	악화/NNG+하/XSV+는/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.5.1
가장 큰 고민은 지난 연말 예산안 날치기 이후 두 달 넘게 장외투쟁을 이끌어왔지만 가시적 성과가 드러나지 않고 있다는 점이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
고민은	고민/NNG+은/JX
지난	지나/VV+ㄴ/ETM
연말	연말/NNG
예산안	예산안/NNG
날치기	날치기/NNG
이후	이후/NNG
두	두/MMN
달	달/NNB
넘게	넘/VV+게/EC
장외투쟁을	장외/NNG+투쟁/NNG+을/JKO
이끌어왔지만	이끌/VV+어/EC+오/VX+았/EP+지만/EC
가시적	가시/NNG+적/XSN
성과가	성과/NNG+가/JKS
드러나지	드러나/VV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.5.2
애초 목표였던 대통령 사과와 민생예산 복구 등은 약속받지 못한 상황에서 당 내부에서도 장외투쟁 회의론이 일고 있는 것이 부담스런 대목이다.

애초	애초/NNG
목표였던	목표/NNG+이/VCP+었/EP+던/ETM
대통령	대통령/NNG
사과와	사과/NNG+와/JC
민생예산	민생/NNG+예산/NNG
복구	복구/NNG
등은	등/NNB+은/JX
약속받지	약속/NNG+받/XSV+지/EC
못한	못하/VX+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
당	당/NNG
내부에서도	내부/NNG+에서/JKB+도/JX
장외투쟁	장외/NNG+투쟁/NNG
회의론이	회의/NNG+론/XSN+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
부담스런	부담/NNG+스럽/XSA+ㄴ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.6.1
영수회담과 국회 정상화를 합의한 6일 여야 원내대표 회담 직후 긴급 심야 최고위원회의를 소집하는 등 박지원 원내대표와의 갈등을 불사하며 조기등원론에 제동을 걸었지만, 다음날 의원총회에서 다수 의원이 ‘등원 불가피론’을 주장한 것도 손 대표로선 맥빠지는 부분이다.

영수회담과	영수/NNG+회담/NNG+과/JC
국회	국회/NNG
정상화를	정상/NNG+화/XSN+를/JKO
합의한	합의/NNG+하/XSV+ㄴ/ETM
6일	6/SN+일/NNB
여야	여야/NNG
원내대표	원내/NNG+대표/NNG
회담	회담/NNG
직후	직후/NNG
긴급	긴급/NNG
심야	심야/NNG
최고위원회의를	최고/NNG+위원/NNG+회의/NNG+를/JKO
소집하는	소집/NNG+하/XSV+는/ETM
등	등/NNB
박지원	박지원/NNP
원내대표와의	원내/NNG+대표/NNG+와/JKB+의/JKG
갈등을	갈등/NNG+을/JKO
불사하며	불사/NNG+하/XSV+며/EC
조기등원론에	조기/NNG+등원/NNG+론/XSN+에/JKB
제동을	제동/NNG+을/JKO
걸었지만,	걸/VV+었/EP+지만/EC+,/SP
다음날	다음날/NNG
의원총회에서	의원/NNG+총회/NNG+에서/JKB
다수	다수/NNG
의원이	의원/NNG+이/JKS
‘등원	‘/SS+등원/NNG
불가피론’을	불가피론/NNG+’/SS+을/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
손	손/NNP
대표로선	대표/NNG+로서/JKB+ㄴ/JX
맥빠지는	맥/NNG+빠지/VV+는/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.6.2
이날 손 대표는 측근들에게 “이런 꼴 보려고 2개월 동안 거적때기 깔고 전국을 떠돌았단 말이냐”고 격앙했던 것으로 알려졌다.

이날	이날/NNG
