# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.210
metadata : {}


# id : NWRW1800000054.210.1.1
초등생 제자를 '남자'로 본 여교사

초등생	초등/NNG+생/XSN
제자를	제자/NNG+를/JKO
'남자'로	'/SS+남자/NNG+'/SS+로/JKB
본	보/VV+ㄴ/ETM
여교사	여교사/NNG


# id : NWRW1800000054.210.2.1
남편·자녀 있는 30대, '사랑해' 문자·반나체 사진 보내고 교실·승용차 등서 수차례 성관계

남편·자녀	남편/NNG+·/SP+자녀/NNG
있는	있/VA+는/ETM
30대,	30/SN+대/NNB+,/SP
'사랑해'	'/SS+사랑/NNG+하/XSV+아/EF+'/SS
문자·반나체	문자/NNG+·/SP+반나체/NNG
사진	사진/NNG
보내고	보내/VV+고/EC
교실·승용차	교실/NNG+·/SP+승용차/NNG
등서	등/NNB+서/JKB
수차례	수차례/NNG
성관계	성관계/NNG


# id : NWRW1800000054.210.3.1
경남에 있는 한 초등학교의 여교사(32)가 남자 제자(12)와 성관계를 맺은 혐의로 최근 경찰에 구속됐다.

경남에	경남/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
초등학교의	초등학교/NNG+의/JKG
여교사(32)가	여교사/NNG+(/SS+32/SN+)/SS+가/JKS
남자	남자/NNG
제자(12)와	제자/NNG+(/SS+12/SN+)/SS+와/JKB
성관계를	성관계/NNG+를/JKO
맺은	맺/VV+은/ETM
혐의로	혐의/NNG+로/JKB
최근	최근/MAG
경찰에	경찰/NNG+에/JKB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.210.3.2
저학년 담임을 맡은 이 여교사는 지난 3월 교내 체험 관련 활동에서 남학생을 만났다.

저학년	저/XPN+학년/NNG
담임을	담임/NNG+을/JKO
맡은	맡/VV+은/ETM
이	이/MMD
여교사는	여교사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
교내	교내/NNG
체험	체험/NNG
관련	관련/NNG
활동에서	활동/NNG+에서/JKB
남학생을	남학생/NNG+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.210.3.3
6월쯤부터는 학생의 휴대전화로 '사랑한다'는 등의 문자를 보내기 시작했다.

6월쯤부터는	6/SN+월/NNB+쯤/XSN+부터/JX+는/JX
학생의	학생/NNG+의/JKG
휴대전화로	휴대/NNG+전화/NNG+로/JKB
'사랑한다'는	'/SS+사랑/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
등의	등/NNB+의/JKG
문자를	문자/NNG+를/JKO
보내기	보내/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.210.3.4
학생이 별 반응을 보이지 않자 자신의 반나체 사진을 찍어 휴대전화로 보내거나 '만두를 사주겠다'고 집 밖으로 불러내기도 했다.

학생이	학생/NNG+이/JKS
별	별/MMA
반응을	반응/NNG+을/JKO
보이지	보이/VV+지/EC
않자	않/VX+자/EC
자신의	자신/NNG+의/JKG
반나체	반나체/NNG
사진을	사진/NNG+을/JKO
찍어	찍/VV+어/EC
휴대전화로	휴대/NNG+전화/NNG+로/JKB
보내거나	보내/VV+거나/EC
'만두를	'/SS+만두/NNG+를/JKO
사주겠다'고	사/VV+아/EC+주/VX+겠/EP+다/EF+'/SS+고/JKQ
집	집/NNG
밖으로	밖/NNG+으로/JKB
불러내기도	부르/VV+어/EC+내/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.210.3.5
결국 교사는 지난달 방과 후 교실로 학생을 유인해 성관계를 가졌다.

결국	결국/NNG
교사는	교사/NNG+는/JX
지난달	지난달/NNG
방과	방과/NNG
후	후/NNG
교실로	교실/NNG+로/JKB
학생을	학생/NNG+을/JKO
유인해	유인/NNG+하/XSV+아/EC
성관계를	성관계/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF
