# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.106
metadata : {}


# id : NWRW1800000037.106.1.1
[CAR]똑똑한 기능 탑재… 겨울 운전 스트레스 ZERO

[CAR]똑똑한	[/SS+CAR/SL+]/SS+똑똑하/VA+ㄴ/ETM
기능	기능/NNG
탑재…	탑재/NNG+…/SE
겨울	겨울/NNG
운전	운전/NNG
스트레스	스트레스/NNG
ZERO	ZERO/SL


# id : NWRW1800000037.106.2.1
인피니티 ‘올 뉴 인피니티 JX’

인피니티	인피니티/NNP
‘올	‘/SS+올/NNP
뉴	뉴/NNP
JX’	JX/SL+’/SS


# id : NWRW1800000037.106.3.1
도로 위에서는 신경 써야 할 일이 한두 가지가 아니다.

도로	도로/NNG
위에서는	위/NNG+에서/JKB+는/JX
신경	신경/NNG
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
일이	일/NNG+이/JKS
한두	한두/MMN
가지가	가지/NNB+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.106.3.2
차간거리 유지는 기본이다.

차간거리	차/NNG+간/NNB+거리/NNG
유지는	유지/NNG+는/JX
기본이다.	기본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.106.3.3
차로 변경 시 사각지대 확인은 필수사항이다.

차로	차로/NNG
변경	변경/NNG
시	시/NNB
사각지대	사각지대/NNG
확인은	확인/NNG+은/JX
필수사항이다.	필수/NNG+사항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.106.3.4
추위로 도로가 꽁꽁 얼어붙는 겨울철이면 운전자들의 몸은 더욱 바빠지고 피곤해진다.

추위로	추위/NNG+로/JKB
도로가	도로/NNG+가/JKS
꽁꽁	꽁꽁/MAG
얼어붙는	얼어붙/VV+는/ETM
겨울철이면	겨울철/NNG+이/VCP+면/EC
운전자들의	운전자/NNG+들/XSN+의/JKG
몸은	몸/NNG+은/JX
더욱	더욱/MAG
바빠지고	바쁘/VA+아/EC+지/VX+고/EC
피곤해진다.	피곤/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.106.4.1
