# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.109
metadata : {}


# id : NWRW1800000040.109.1.1
폭발적 록과 잔잔한 팝 두 음색의 피아노 연주

폭발적	폭발/NNG+적/XSN
록과	록/NNG+과/JC
잔잔한	잔잔하/VA+ㄴ/ETM
팝	팝/NNG
두	두/MMN
음색의	음색/NNG+의/JKG
피아노	피아노/NNG
연주	연주/NNG


# id : NWRW1800000040.109.2.1
‘피아노 록의 대부’ 폴즈 24일 공연

‘피아노	‘/SS+피아노/NNG
록의	록/NNG+의/JKG
대부’	대부/NNG+’/SS
폴즈	폴즈/NNP
24일	24/SN+일/NNB
공연	공연/NNG


# id : NWRW1800000040.109.3.1
엘턴 존 극찬한 웨인라이트 3월에

엘턴	엘턴/NNP
존	존/NNP
극찬한	극찬/NNG+하/XSV+ㄴ/ETM
웨인라이트	웨인라이트/NNP
3월에	3/SN+월/NNB+에/JKB


# id : NWRW1800000040.109.4.1
피아노의 전혀 상반된 매력을 선보이는 두 음악인이 나란히 내한 공연을 한다.

피아노의	피아노/NNG+의/JKG
전혀	전혀/MAG
상반된	상반/NNG+되/XSV+ㄴ/ETM
매력을	매력/NNG+을/JKO
선보이는	선보이/VV+는/ETM
두	두/MMN
음악인이	음악인/NNG+이/JKS
나란히	나란히/MAG
내한	내한/NNG
공연을	공연/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.109.5.1
‘피아노 록의 대부’로 불리는 벤 폴즈가 자신의 밴드 ‘벤 폴즈 파이브’(위 사진)를 이끌고 오는 24일 오후 6시 서울 광장동 유니클로악스에서 공연을 펼친다.

‘피아노	‘/SS+피아노/NNG
록의	록/NNG+의/JKG
대부’로	대부/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
벤	벤/NNP
폴즈가	폴즈/NNP+가/JKS
자신의	자신/NNG+의/JKG
밴드	밴드/NNG
‘벤	‘/SS+벤/NNP
폴즈	폴즈/NNP
파이브’(위	파이브/NNG+’/SS+(/SS+위/NNG
사진)를	사진/NNG+)/SS+를/JKO
이끌고	이끌/VV+고/EC
오는	오/VV+는/ETM
24일	24/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
서울	서울/NNP
광장동	광장동/NNP
유니클로악스에서	유니클로악스/NNP+에서/JKB
공연을	공연/NNG+을/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.109.6.1
1994년 미국 캘리포니아에서 결성한 벤 폴즈 파이브는 록 밴드인데도 기타 대신 피아노를 앞세운 음악을 선보여 화제를 모았다.

1994년	1994/SN+년/NNB
미국	미국/NNP
캘리포니아에서	캘리포니아/NNP+에서/JKB
결성한	결성/NNG+하/XSV+ㄴ/ETM
벤	벤/NNP
폴즈	폴즈/NNP
파이브는	파이브/NNG+는/JX
록	록/NNG
밴드인데도	밴드/NNG+이/VCP+ㄴ데/EC+도/JX
기타	기타/NNG
대신	대신/NNG
피아노를	피아노/NNG+를/JKO
앞세운	앞세우/VV+ㄴ/ETM
음악을	음악/NNG+을/JKO
선보여	선보이/VV+어/EC
화제를	화제/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.109.6.2
피아노를 치며 노래하는 벤 폴즈와 로버트 슬레지(베이스), 대런 제시(드럼) 3인조로 구성돼 있다.

피아노를	피아노/NNG+를/JKO
치며	치/VV+며/EC
노래하는	노래/NNG+하/XSV+는/ETM
벤	벤/NNP
폴즈와	폴즈/NNP+와/JC
로버트	로버트/NNP
슬레지(베이스),	슬레지/NNP+(/SS+베이스/NNG+)/SS+,/SP
대런	대런/NNP
제시(드럼)	제시/NNP+(/SS+드럼/NNG+)/SS
3인조로	3/SN+인/NNG+조/NNG+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.109.6.3
기타 없이 단 3명이서 만들어내는 사운드라고는 믿기지 않을 만큼 폭발적이고 흥겨운 연주는 음악 팬들을 대번에 사로잡았다.

기타	기타/NNG
없이	없이/MAG
단	단/MMA
3명이서	3/SN+명/NNB+이서/JKS
만들어내는	만들/VV+어/EC+내/VX+는/ETM
사운드라고는	사운드/NNG+이/VCP+라고/EC+는/JX
믿기지	믿기/VV+지/EC
않을	않/VX+을/ETM
만큼	만큼/NNB
폭발적이고	폭발/NNG+적/XSN+이/VCP+고/EC
흥겨운	흥겹/VA+ㄴ/ETM
연주는	연주/NNG+는/JX
음악	음악/NNG
팬들을	팬/NNG+들/XSN+을/JKO
대번에	대번에/MAG
사로잡았다.	사로잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.109.6.4
‘브링’, ‘송스 포 더 덤프트’, ‘아미’, ‘언더그라운드’ 등 히트곡이 큰 사랑을 받았다.

‘브링’,	‘/SS+브링/NNP+’/SS+,/SP
‘송스	‘/SS+송스/NNP
포	포/NNP
더	더/NNP
덤프트’,	덤프트/NNP+’/SS+,/SP
‘아미’,	‘/SS+아미/NNP+’/SS+,/SP
‘언더그라운드’	‘/SS+언더그라운드/NNP+’/SS
등	등/NNB
히트곡이	히트곡/NNG+이/JKS
큰	크/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.109.6.5
그러나 밴드는 1999년 갑작스럽게 해체를 선언했고, 이후 벤 폴즈는 솔로 활동을 해왔다.

그러나	그러나/MAJ
밴드는	밴드/NNG+는/JX
1999년	1999/SN+년/NNB
갑작스럽게	갑작스럽/VA+게/EC
해체를	해체/NNG+를/JKO
선언했고,	선언/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
벤	벤/NNP
폴즈는	폴즈/NNP+는/JX
솔로	솔로/NNG
활동을	활동/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.109.6.6
벤 폴즈 파이브는 지난해 13년 만의 재결성과 함께 새 앨범 <더 사운드 오브 더 라이프 오브 더 마인드>를 발표했다.

벤	벤/NNP
폴즈	폴즈/NNP
파이브는	파이브/NNG+는/JX
지난해	지난해/NNG
13년	13/SN+년/NNB
만의	만/NNB+의/JKG
재결성과	재/XPN+결성/NNG+과/JKB
함께	함께/MAG
새	새/MMA
앨범	앨범/NNG
<더	</SS+더/NNP
사운드	사운드/NNP
오브	오브/NNP
더	더/NNP
라이프	라이프/NNP
마인드>를	마인드/NNP+>/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.109.6.7
이번 내한 공연에서 새 앨범 곡들과 이전 히트곡, 벤 폴즈 솔로 활동 시절 히트곡 등을 들려줄 예정이다.

이번	이번/NNG
내한	내한/NNG
공연에서	공연/NNG+에서/JKB
새	새/MMA
앨범	앨범/NNG
곡들과	곡/NNG+들/XSN+과/JC
이전	이전/NNG
히트곡,	히트곡/NNG+,/SP
벤	벤/NNP
폴즈	폴즈/NNP
솔로	솔로/NNG
활동	활동/NNG
시절	시절/NNG
히트곡	히트곡/NNG
등을	등/NNB+을/JKO
들려줄	들려주/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.109.6.8
(02)563-0595.

(02)563-0595.	(/SS+02/SN+)/SS+563/SN+-/SO+0595/SN+./SF


# id : NWRW1800000040.109.7.1
팝 음악의 거장 엘턴 존으로부터 “지구상의 가장 위대한 송라이터”라는 극찬을 들은 미국 싱어송라이터 루퍼스 웨인라이트(아래)도 3월16일 저녁 7시 유니클로악스에서 내한 공연을 한다.

팝	팝/NNG
음악의	음악/NNG+의/JKG
거장	거장/NNG
엘턴	엘턴/NNP
존으로부터	존/NNP+으로부터/JKB
“지구상의	“/SS+지구/NNG+상/XSN+의/JKG
가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
송라이터”라는	송라이터/NNG+”/SS+이/VCP+라는/ETM
극찬을	극찬/NNG+을/JKO
들은	듣/VV+은/ETM
미국	미국/NNP
싱어송라이터	싱어송라이터/NNG
루퍼스	루퍼스/NNP
웨인라이트(아래)도	웨인라이트/NNP+(/SS+아래/NNG+)/SS+도/JX
3월16일	3/SN+월/NNB+16/SN+일/NNB
저녁	저녁/NNG
7시	7/SN+시/NNB
유니클로악스에서	유니클로악스/NNP+에서/JKB
내한	내한/NNG
공연을	공연/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.109.7.2
2010년 첫 내한 이후 이번이 두 번째다.

2010년	2010/SN+년/NNB
첫	첫/MMN
내한	내한/NNG
이후	이후/NNG
이번이	이번/NNG+이/JKS
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000040.109.7.3
이번 공연에서 오직 피아노 한 대만으로 관객들과 잔잔하면서도 깊은 교감을 나누는 특별한 무대를 마련하겠다고 한다.

이번	이번/NNG
공연에서	공연/NNG+에서/JKB
오직	오직/MAG
피아노	피아노/NNG
한	한/MMN
대만으로	대/NNB+만/JX+으로/JKB
관객들과	관객/NNG+들/XSN+과/JKB
잔잔하면서도	잔잔하/VA+면서/EC+도/JX
깊은	깊/VA+은/ETM
교감을	교감/NNG+을/JKO
나누는	나누/VV+는/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
무대를	무대/NNG+를/JKO
마련하겠다고	마련/NNG+하/XSV+겠/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.109.8.1
음악은 물론이고 오페라·연극·무용·영화 등에 걸쳐 폭넓은 활동을 펼치고 있는 웨인라이트는 국내에서 영화음악으로 특히 잘 알려져 있다.

음악은	음악/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
오페라·연극·무용·영화	오페라/NNG+·/SP+연극/NNG+·/SP+무용/NNG+·/SP+영화/NNG
등에	등/NNB+에/JKB
걸쳐	걸치/VV+어/EC
폭넓은	폭넓/VA+은/ETM
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
웨인라이트는	웨인라이트/NNP+는/JX
국내에서	국내/NNG+에서/JKB
영화음악으로	영화/NNG+음악/NNG+으로/JKB
특히	특히/MAG
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.109.8.2
비틀스의 곡을 리메이크해 영화 <아이 앰 샘>에 삽입한 ‘어크로스 더 유니버스’, 영화 <브로크백 마운틴>의 엔딩 자막이 올라갈 때 흐른 곡 ‘더 메이커 메이크스’, 애니메이션 <슈렉>에 삽입된 리메이크곡 ‘할렐루야’ 등이 모두 그가 부른 것이다.

비틀스의	비틀스/NNP+의/JKG
곡을	곡/NNG+을/JKO
리메이크해	리메이크/NNG+하/XSV+아/EC
영화	영화/NNG
<아이	</SS+아이/NNP
앰	앰/NNP
샘>에	샘/NNP+>/SS+에/JKB
삽입한	삽입/NNG+하/XSV+ㄴ/ETM
‘어크로스	‘/SS+어크로스/NNP
더	더/NNP
유니버스’,	유니버스/NNP+’/SS+,/SP
<브로크백	</SS+브로크백/NNP
마운틴>의	마운틴/NNP+>/SS+의/JKG
엔딩	엔딩/NNG
자막이	자막/NNG+이/JKS
올라갈	올라가/VV+ㄹ/ETM
때	때/NNG
흐른	흐르/VV+ㄴ/ETM
곡	곡/NNG
‘더	‘/SS+더/NNP
메이커	메이커/NNP
메이크스’,	메이크스/NNP+’/SS+,/SP
애니메이션	애니메이션/NNG
<슈렉>에	</SS+슈렉/NNP+>/SS+에/JKB
삽입된	삽입/NNG+되/XSV+ㄴ/ETM
리메이크곡	리메이크/NNG+곡/NNG
‘할렐루야’	‘/SS+할렐루야/NNP+’/SS
등이	등/NNB+이/JKS
모두	모두/MAG
그가	그/NP+가/JKS
부른	부르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.109.8.3
2009년에는 창작 오페라 <프리마돈나>를 작곡하기도 했다.

2009년에는	2009/SN+년/NNB+에/JKB+는/JX
창작	창작/NNG
오페라	오페라/NNG
<프리마돈나>를	</SS+프리마돈나/NNP+>/SS+를/JKO
작곡하기도	작곡/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.109.8.4
전설적인 포크 가수인 케이트 맥개리글과 라우던 웨인라이트 3세 사이에서 태어난 그는 6살 때부터 피아노를 배우며 음악가의 길로 접어들었다.

전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
포크	포크/NNG
가수인	가수/NNG+이/VCP+ㄴ/ETM
케이트	케이트/NNP
맥개리글과	맥개리글/NNP+과/JC
라우던	라우던/NNP
웨인라이트	웨인라이트/NNP
3세	3/SN+세/NNB
사이에서	사이/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
그는	그/NP+는/JX
6살	6/SN+살/NNB
때부터	때/NNG+부터/JX
피아노를	피아노/NNG+를/JKO
배우며	배우/VV+며/EC
음악가의	음악가/NNG+의/JKG
길로	길/NNG+로/JKB
접어들었다.	접어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.109.8.5
지난해 발표한 <아웃 오브 더 게임>까지 모두 7장의 정규 앨범을 발표했다.

지난해	지난해/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
<아웃	</SS+아웃/NNP
오브	오브/NNP
더	더/NNP
게임>까지	게임/NNP+>/SS+까지/JX
모두	모두/MAG
7장의	7/SN+장/NNB+의/JKG
정규	정규/NNG
앨범을	앨범/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.109.8.6
(02)563-0595.

(02)563-0595.	(/SS+02/SN+)/SS+563/SN+-/SO+0595/SN+./SF


