# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.409
metadata : {}


# id : NWRW1800000038.409.1.1
전두환씨 일가 "추징금 다 낼 것"

전두환씨	전두환/NNP+씨/NNB
일가	일가/NNG
"추징금	"/SS+추징금/NNG
다	다/MAG
낼	내/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.409.2.1
오늘 1672억+α 납부 계획 발표

오늘	오늘/NNG
1672억+α	1672/SN+억/NR++/SW+α/SW
납부	납부/NNG
계획	계획/NNG
발표	발표/NNG


# id : NWRW1800000038.409.3.1
전두환(82) 전 대통령 일가가 미납 추징금 1672억원을 자진 납부하기로 의견을 모으고 10일 구체적인 계획을 발표하기로 했다.

전두환(82)	전두환/NNP+(/SS+82/SN+)/SS
전	전/MMD
대통령	대통령/NNG
일가가	일가/NNG+가/JKS
미납	미납/NNG
추징금	추징금/NNG
1672억원을	1672/SN+억/NR+원/NNB+을/JKO
자진	자진/NNG
납부하기로	납부/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모으고	모으/VV+고/EC
10일	10/SN+일/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
발표하기로	발표/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.409.3.2
이로써 1997년 전두환·노태우(81) 전 대통령의 추징금이 대법원에서 확정된 이후 16년 만에 모두 완납될 전망이다.

이로써	이/NP+로써/JKB
1997년	1997/SN+년/NNB
전두환·노태우(81)	전두환/NNP+·/SP+노태우/NNP+(/SS+81/SN+)/SS
전	전/MMD
대통령의	대통령/NNG+의/JKG
추징금이	추징금/NNG+이/JKS
대법원에서	대/XPN+법원/NNG+에서/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
16년	16/SN+년/NNB
만에	만/NNB+에/JKB
모두	모두/MAG
완납될	완납/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.409.4.1
전씨 일가 측 이경훈 변호사는 9일 "내일 오후 3시 서울중앙지검에서 가족 대표로 전재국(54)씨가 구체적 자진 납부 계획을 발표할 예정"이라고 밝혔다.

전씨	전/NNP+씨/NNB
일가	일가/NNG
측	측/NNB
이경훈	이경훈/NNP
변호사는	변호사/NNG+는/JX
9일	9/SN+일/NNB
"내일	"/SS+내일/NNG
오후	오후/NNG
3시	3/SN+시/NNB
서울중앙지검에서	서울중앙지검/NNP+에서/JKB
가족	가족/NNG
대표로	대표/NNG+로/JKB
전재국(54)씨가	전재국/NNP+(/SS+54/SN+)/SS+씨/NNB+가/JKS
구체적	구체/NNG+적/XSN
자진	자진/NNG
납부	납부/NNG
계획을	계획/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.409.4.2
전 전 대통령의 한 측근은 "(납부 계획에 의하면) 전체가 1700억원가량 된다"며 "압류 재산 등의 처분액이 예상보다 부족하면 연희동 사저까지 내놓는 방안도 들어 있다"고 말했다.

전	전/MMD
대통령의	대통령/NNG+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
"(납부	"/SS+(/SS+납부/NNG
계획에	계획/NNG+에/JKB
의하면)	의하/VV+면/EC+)/SS
전체가	전체/NNG+가/JKS
1700억원가량	1700/SN+억/NR+원/NNB+가량/XSN
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"압류	"/SS+압류/NNG
재산	재산/NNG
등의	등/NNB+의/JKG
처분액이	처분액/NNG+이/JKS
예상보다	예상/NNG+보다/JKB
부족하면	부족/NNG+하/XSA+면/EC
연희동	연희동/NNP
사저까지	사저/NNG+까지/JX
내놓는	내놓/VV+는/ETM
방안도	방안/NNG+도/JX
들어	들/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.409.5.1
전 전 대통령 측의 자진 납부 방안에는 압류된 재산을 포기하고, 모자라는 부분은 재국·재용·재만·효선씨 등 자녀와 3남 재만씨 장인인 이희상 동아원 회장 등이 나눠서 부담하기로 한 것으로 전해졌다.

전	전/MMD
대통령	대통령/NNG
측의	측/NNB+의/JKG
자진	자진/NNG
납부	납부/NNG
방안에는	방안/NNG+에/JKB+는/JX
압류된	압류/NNG+되/XSV+ㄴ/ETM
재산을	재산/NNG+을/JKO
포기하고,	포기/NNG+하/XSV+고/EC+,/SP
모자라는	모자라/VV+는/ETM
부분은	부분/NNG+은/JX
재국·재용·재만·효선씨	재국/NNP+·/SP+재용/NNP+·/SP+재만/NNP+·/SP+효선/NNP+씨/NNB
등	등/NNB
자녀와	자녀/NNG+와/JC
3남	3/SN+남/NNG
재만씨	재만/NNP+씨/NNB
장인인	장인/NNG+이/VCP+ㄴ/ETM
이희상	이희상/NNP
동아원	동아원/NNP
회장	회장/NNG
등이	등/NNB+이/JKS
나눠서	나누/VV+어서/EC
부담하기로	부담/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.409.6.1
한편 전씨 측은 자진 납부 방안을 발표하는 자리에서 대국민 사과문을 발표하고, 한 번에 납부하기 어려운 점을 감안해 단계적으로 납부하겠다는 각서를 검찰에 제출할 것으로도 전해졌다.

한편	한편/MAG
전씨	전/NNP+씨/NNB
측은	측/NNB+은/JX
자진	자진/NNG
납부	납부/NNG
방안을	방안/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
대국민	대국민/NNG
사과문을	사과문/NNG+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
한	한/MMN
번에	번/NNB+에/JKB
납부하기	납부/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
단계적으로	단계/NNG+적/XSN+으로/JKB
납부하겠다는	납부/NNG+하/XSV+겠/EP+다는/ETM
각서를	각서/NNG+를/JKO
검찰에	검찰/NNG+에/JKB
제출할	제출/NNG+하/XSV+ㄹ/ETM
것으로도	것/NNB+으로/JKB+도/JX
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.409.7.1
앞서 전 전 대통령의 차남 재용씨는 지난 4일 새벽 검찰 조사를 마치고 나오면서 자진 납부 의향을 묻는 기자들의 질문에 "조만간 입장을 정리해서 말씀드리겠다"며 자진 납부 가능성을 시사했다.

앞서	앞서/MAG
전	전/MMD
대통령의	대통령/NNG+의/JKG
차남	차남/NNG
재용씨는	재용/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
새벽	새벽/NNG
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
마치고	마치/VV+고/EC
나오면서	나오/VV+면서/EC
자진	자진/NNG
납부	납부/NNG
의향을	의향/NNG+을/JKO
묻는	묻/VV+는/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
"조만간	"/SS+조만간/MAG
입장을	입장/NNG+을/JKO
정리해서	정리/NNG+하/XSV+아서/EC
말씀드리겠다"며	말씀/NNG+드리/VV+겠/EP+다/EF+"/SS+며/EC
가능성을	가능/NNG+성/XSN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


