# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.72
metadata : {}


# id : NWRW1800000029.72.1.1
“대기업 말로만 현금결제… 대부분 어음 끊어”

“대기업	“/SS+대/XPN+기업/NNG
말로만	말/NNG+로/JKB+만/JX
현금결제…	현금/NNG+결제/NNG+…/SE
대부분	대/XPN+부분/NNG
어음	어음/NNG
끊어”	끊/VV+어/EF+”/SS


# id : NWRW1800000029.72.2.1
■ 삼성전자-협력업체 대표들 동반성장 워크숍

■	■/SW
삼성전자-협력업체	삼성전자/NNP+-/SO+협력/NNG+업체/NNG
대표들	대표/NNG+들/XSN
동반성장	동반/NNG+성장/NNG
워크숍	워크숍/NNG


# id : NWRW1800000029.72.3.1
지난달 30일 강원 원주시 한솔오크밸리.

지난달	지난달/NNG
30일	30/SN+일/NNB
강원	강원/NNP
원주시	원주시/NNP
한솔오크밸리.	한솔오크밸리/NNP+./SF


# id : NWRW1800000029.72.3.2
가을 기운 가득한 화창한 날씨에 정장 차림의 사장님들이 속속 모여들었다.

가을	가을/NNG
기운	기운/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
화창한	화창하/VA+ㄴ/ETM
날씨에	날씨/NNG+에/JKB
정장	정장/NNG
차림의	차림/NNG+의/JKG
사장님들이	사장/NNG+님/XSN+들/XSN+이/JKS
속속	속속/MAG
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.72.3.3
‘2011 삼성전자-협성회 동반성장 워크숍’에 참가한 전국 삼성전자 협력사 대표들이었다.

‘2011	‘/SS+2011/SN
삼성전자-협성회	삼성전자/NNP+-/SO+협성회/NNG
동반성장	동반/NNG+성장/NNG
워크숍’에	워크숍/NNG+’/SS+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
전국	전국/NNG
삼성전자	삼성전자/NNP
협력사	협력사/NNG
대표들이었다.	대표/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.72.3.4
협력사들의 모임인 ‘협성회’ 소속 기업인 180명에 삼성전자 측에서는 최지성 부회장, 우남성 시스템LSI 사업부장 사장, 김종중 DS 사업총괄 경영지원실장 사장 등 경영진과 50여 명의 임원이 참석해 올해 경제계 최대의 화두인 상생(相生)을 토론했다.

협력사들의	협력사/NNG+들/XSN+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
‘협성회’	‘/SS+협성회/NNG+’/SS
소속	소속/NNG
기업인	기업인/NNG
180명에	180/SN+명/NNB+에/JKB
삼성전자	삼성전자/NNP
측에서는	측/NNB+에서/JKB+는/JX
최지성	최지성/NNP
부회장,	부회장/NNG+,/SP
우남성	우남성/NNP
시스템LSI	시스템/NNG+LSI/SL
사업부장	사업부장/NNG
사장,	사장/NNG+,/SP
김종중	김종중/NNP
DS	DS/SL
사업총괄	사업/NNG+총괄/NNG
경영지원실장	경영/NNG+지원실장/NNG
사장	사장/NNG
등	등/NNB
경영진과	경영진/NNG+과/JC
50여	50/SN+여/XSN
명의	명/NNB+의/JKG
임원이	임원/NNG+이/JKS
참석해	참석/NNG+하/XSV+아/EC
올해	올해/NNG
경제계	경제/NNG+계/XSN
최대의	최대/NNG+의/JKG
화두인	화두/NNG+이/VCP+ㄴ/ETM
상생(相生)을	상생/NNG+(/SS+相生/SH+)/SS+을/JKO
토론했다.	토론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.4.1
지난해에 이은 두 번째 동반성장 워크숍에서 협력사 대표들은 삼성전자의 동반성장 노력을 높이 평가하면서도 최근 글로벌 경제위기 및 정보기술(IT) 업계의 지각변동 속에서 위기에 처한 중소기업의 현실에 대한 걱정은 숨기지 않았다.

지난해에	지난해/NNG+에/JKB
이은	잇/VV+은/ETM
두	두/MMN
번째	번/NNB+째/XSN
동반성장	동반/NNG+성장/NNG
워크숍에서	워크숍/NNG+에서/JKB
협력사	협력사/NNG
대표들은	대표/NNG+들/XSN+은/JX
삼성전자의	삼성전자/NNP+의/JKG
노력을	노력/NNG+을/JKO
높이	높이/MAG
평가하면서도	평가/NNG+하/XSV+면서/EC+도/JX
최근	최근/MAG
글로벌	글로벌/NNG
경제위기	경제/NNG+위기/NNG
및	및/MAG
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
업계의	업계/NNG+의/JKG
지각변동	지각/NNG+변동/NNG
속에서	속/NNG+에서/JKB
위기에	위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
중소기업의	중소기업/NNG+의/JKG
현실에	현실/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
걱정은	걱정/NNG+은/JX
숨기지	숨기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.72.4.2
특히 대기업의 결제 행태에 대한 불만이 여전히 높았다.

특히	특히/MAG
대기업의	대/XPN+기업/NNG+의/JKG
결제	결제/NNG
행태에	행태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만이	불만/NNG+이/JKS
여전히	여전히/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.72.5.1
액정표시장치(LCD) 검사장비업체 에스엔유프리시젼의 박희재 대표는 “상생협력의 핵심은 거래결제 부문인데 100% 현금결제인 삼성전자와 달리 대부분의 대기업은 말로만 현금결제라 하고 실제로는 6∼9개월짜리 전자어음을 끊어주는 게 현실”이라고 말했다.

액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
검사장비업체	검사/NNG+장비업체/NNG
에스엔유프리시젼의	에스엔유프리시젼/NNP+의/JKG
박희재	박희재/NNP
대표는	대표/NNG+는/JX
“상생협력의	“/SS+상생/NNG+협력/NNG+의/JKG
핵심은	핵심/NNG+은/JX
거래결제	거래/NNG+결제/NNG
부문인데	부문/NNG+이/VCP+ㄴ데/EC
100%	100/SN+%/SW
현금결제인	현금/NNG+결제/NNG+이/VCP+ㄴ/ETM
삼성전자와	삼성전자/NNP+와/JKB
달리	달리/MAG
대부분의	대/XPN+부분/NNG+의/JKG
대기업은	대/XPN+기업/NNG+은/JX
말로만	말/NNG+로/JKB+만/JX
현금결제라	현금/NNG+결제/NNG+이/VCP+라/EC
하고	하/VV+고/EC
실제로는	실제로/MAG+는/JX
