# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.72
metadata : {}


# id : NWRW1800000049.72.1.1
[2016 한국 시니어산업 대상]건강하고 활력 넘치는 노후 생활

[2016	[/SS+2016/SN
한국	한국/NNP
시니어산업	시니어/NNG+산업/NNG
대상]건강하고	대상/NNG+]/SS+건강/NNG+하/XSA+고/EC
활력	활력/NNG
넘치는	넘치/VV+는/ETM
노후	노후/NNG
생활	생활/NNG


# id : NWRW1800000049.72.2.1
사회 여가활동 부문 충청북도 청주시

사회	사회/NNG
여가활동	여가/NNG+활동/NNG
부문	부문/NNG
충청북도	충청북도/NNP
청주시	청주시/NNP


# id : NWRW1800000049.72.3.1
충청북도 청주시(시장 이승훈)가 ‘2016 한국 시니어산업 대상’의 사회여가활동 부문 대상을 수상했다.

충청북도	충청북도/NNP
청주시(시장	청주시/NNP+(/SS+시장/NNG
이승훈)가	이승훈/NNP+)/SS+가/JKS
‘2016	‘/SS+2016/SN
한국	한국/NNP
시니어산업	시니어/NNG+산업/NNG
대상’의	대상/NNG+’/SS+의/JKG
사회여가활동	사회/NNG+여가/NNG+활동/NNG
부문	부문/NNG
대상을	대상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.72.4.1
사실 어르신들의 가장 큰 복지는 ‘일자리 창출’이다.

사실	사실/MAG
어르신들의	어르신/NNG+들/XSN+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
복지는	복지/NNG+는/JX
‘일자리	‘/SS+일자리/NNG
창출’이다.	창출/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.72.4.2
고령화 사회, 어르신들에게 일할 수 있는 즐거움과 행복을 드리기 위해 청주시는 여러 가지 정책을 집행 중이다.

고령화	고령/NNG+화/XSN
사회,	사회/NNG+,/SP
어르신들에게	어르신/NNG+들/XSN+에게/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
즐거움과	즐거움/NNG+과/JC
행복을	행복/NNG+을/JKO
드리기	드리/VV+기/ETN
위해	위하/VV+아/EC
청주시는	청주시/NNP+는/JX
여러	여러/MMN
가지	가지/NNB
정책을	정책/NNG+을/JKO
집행	집행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.72.4.3
특히 핵심 사업으로 추진하는 노인일자리 사업은 어르신들의 건강한 노후 생활에 활력을 불어넣고 있다.

특히	특히/MAG
핵심	핵심/NNG
사업으로	사업/NNG+으로/JKB
추진하는	추진/NNG+하/XSV+는/ETM
노인일자리	노인/NNG+일자리/NNG
사업은	사업/NNG+은/JX
어르신들의	어르신/NNG+들/XSN+의/JKG
건강한	건강/NNG+하/XSA+ㄴ/ETM
노후	노후/NNG
생활에	생활/NNG+에/JKB
활력을	활력/NNG+을/JKO
불어넣고	불어넣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.72.5.1
청주시에 따르면, 노인일자리 사업은 올해 사업비 111억 원을 들여 공익활동 54개 사업, 시장형 39개 사업, 인력파견형 2개 사업으로 3개 분야 95개 일자리를 창출하고 5240명의 어르신에게 일자리 제공을 통해 노인복지 향상에 기여하고 있다.

청주시에	청주시/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
노인일자리	노인/NNG+일자리/NNG
사업은	사업/NNG+은/JX
올해	올해/NNG
사업비	사업비/NNG
111억	111/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
공익활동	공익/NNG+활동/NNG
54개	54/SN+개/NNB
사업,	사업/NNG+,/SP
시장형	시장/NNG+형/XSN
39개	39/SN+개/NNB
인력파견형	인력/NNG+파견/NNG+형/XSN
2개	2/SN+개/NNB
사업으로	사업/NNG+으로/JKB
