# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.71
metadata : {}


# id : NWRW1800000030.71.1.1
[자녀 키 방학 때 챙기자] (上) 1년간 4㎝ 안 큰 어린이는 성장판 검사를

[자녀	[/SS+자녀/NNG
키	키/NNG
방학	방학/NNG
때	때/NNG
챙기자]	챙기/VV+자/EF+]/SS
(上)	(/SS+上/SH+)/SS
1년간	1/SN+년/NNB+간/XSN
4㎝	4/SN+㎝/SW
안	안/MAG
큰	크/VA+ㄴ/ETM
어린이는	어린이/NNG+는/JX
성장판	성장판/NNG
검사를	검사/NNG+를/JKO


# id : NWRW1800000030.71.2.1
?성장호르몬 주사요법

?성장호르몬	?/SF+성장/NNG+호르몬/NNG
주사요법	주사/NNG+요법/NNG


# id : NWRW1800000030.71.3.1
김모(44)씨는 중2 아들이 또래 평균보다 키가 10㎝가량 작지만 방치해둔 것이 후회스럽다.

김모(44)씨는	김/NNP+모/NP+(/SS+44/SN+)/SS+씨/NNB+는/JX
중2	중/NNG+2/SN
아들이	아들/NNG+이/JKS
또래	또래/NNG
평균보다	평균/NNG+보다/JKB
키가	키/NNG+가/JKS
10㎝가량	10/SN+㎝/SW+가량/XSN
작지만	작/VA+지만/EC
방치해둔	방치/NNG+하/XSV+아/EC+두/VX+ㄴ/ETM
것이	것/NNB+이/JKS
후회스럽다.	후회/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000030.71.3.2
초등학교 때부터 유독 키가 작았지만 '중학생이 되면 크겠지' 하고 지켜봤다.

초등학교	초등학교/NNG
때부터	때/NNG+부터/JX
유독	유독/MAG
키가	키/NNG+가/JKS
작았지만	작/VA+았/EP+지만/EC
'중학생이	'/SS+중학/NNG+생/XSN+이/JKC
되면	되/VV+면/EC
크겠지'	크/VA+겠/EP+지/EF+'/SS
하고	하고/JKQ
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.71.3.3
그러나 중학교에 간 뒤에도 변화가 없어 여름방학을 맞아 소아청소년과에 데려갔더니 의사는 "유전적으로 키가 작은데, 이미 성장판이 닫혀서 병원에서 치료해줄 방법이 없다"고 말했다.

그러나	그러나/MAJ
중학교에	중학교/NNG+에/JKB
간	가/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
변화가	변화/NNG+가/JKS
없어	없/VA+어/EC
여름방학을	여름/NNG+방학/NNG+을/JKO
맞아	맞/VV+아/EC
소아청소년과에	소아/NNG+청소년과/NNG+에/JKB
데려갔더니	데려가/VV+았/EP+더니/EC
의사는	의사/NNG+는/JX
"유전적으로	"/SS+유전/NNG+적/XSN+으로/JKB
키가	키/NNG+가/JKS
작은데,	작/VA+은데/EC+,/SP
이미	이미/MAG
성장판이	성장판/NNG+이/JKS
닫혀서	닫히/VV+어서/EC
병원에서	병원/NNG+에서/JKB
치료해줄	치료/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
방법이	방법/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.71.4.1
고대안암병원 소아청소년과 이기형 교수는 "치료가 필요할 정도로 키가 작은 아동도 부모가 '때 되면 크겠지'라고 생각하다가 병원에 너무 늦게 데려와 치료 시기를 놓치는 경우가 많다"고 말했다.

고대안암병원	고대안암병원/NNP
소아청소년과	소아/NNG+청소년과/NNG
이기형	이기형/NNP
교수는	교수/NNG+는/JX
"치료가	"/SS+치료/NNG+가/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
정도로	정도/NNG+로/JKB
키가	키/NNG+가/JKS
작은	작/VA+은/ETM
아동도	아동/NNG+도/JX
부모가	부모/NNG+가/JKS
'때	'/SS+때/NNG
되면	되/VV+면/EC
크겠지'라고	크/VA+겠/EP+지/EF+'/SS+라고/JKQ
생각하다가	생각/NNG+하/XSV+다가/EC
병원에	병원/NNG+에/JKB
너무	너무/MAG
늦게	늦/VA+게/EC
데려와	데려오/VV+아/EC
치료	치료/NNG
시기를	시기/NNG+를/JKO
놓치는	놓치/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.71.5.1
◆민간요법에 빠지지 말고 성장 검사부터 받아야

◆민간요법에	◆/SW+민간요법/NNG+에/JKB
빠지지	빠지/VV+지/EC
말고	말/VX+고/EC
성장	성장/NNG
검사부터	검사/NNG+부터/JX
받아야	받/VV+아야/EC


# id : NWRW1800000030.71.6.1
키가 작은 아동의 부모는 대부분 민간요법을 찾는데, 소아청소년과에서 성장 검사부터 받아야 한다.

키가	키/NNG+가/JKS
작은	작/VA+은/ETM
아동의	아동/NNG+의/JKG
부모는	부모/NNG+는/JX
대부분	대/XPN+부분/NNG
민간요법을	민간요법/NNG+을/JKO
찾는데,	찾/VV+는데/EC+,/SP
소아청소년과에서	소아/NNG+청소년과/NNG+에서/JKB
성장	성장/NNG
검사부터	검사/NNG+부터/JX
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.71.6.2
초등학교 저학년 아동 100명을 키가 작은 순서대로 세워서 1~2번에 해당하는 어린이는 성장 검사를 반드시 받아야 한다.

초등학교	초등학교/NNG
저학년	저/XPN+학년/NNG
아동	아동/NNG
100명을	100/SN+명/NNB+을/JKO
키가	키/NNG+가/JKS
작은	작/VA+은/ETM
순서대로	순서/NNG+대로/JX
세워서	세우/VV+어서/EC
1~2번에	1/SN+~/SO+2/SN+번/NNB+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
어린이는	어린이/NNG+는/JX
성장	성장/NNG
검사를	검사/NNG+를/JKO
반드시	반드시/MAG
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.71.6.3
손목관절 엑스레이 사진을 찍는 성장판 검사로 뼈 나이를 측정하고, 혈액 검사를 통해 빈혈, 간 기능 등 영양대사를 방해하는 요인이 있는지 찾아본다.

손목관절	손목/NNG+관절/NNG
엑스레이	엑스레이/NNG
사진을	사진/NNG+을/JKO
찍는	찍/VV+는/ETM
성장판	성장판/NNG
검사로	검사/NNG+로/JKB
뼈	뼈/NNG
나이를	나이/NNG+를/JKO
측정하고,	측정/NNG+하/XSV+고/EC+,/SP
혈액	혈액/NNG
검사를	검사/NNG+를/JKO
통해	통하/VV+아/EC
빈혈,	빈혈/NNG+,/SP
간	간/NNG
기능	기능/NNG
등	등/NNB
