# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.230
metadata : {}


# id : NWRW1800000033.230.1.1
[핀 포인트]최나연, 트로피 직접 들고 귀국한 까닭은…

[핀	[/SS+핀/NNG
포인트]최나연,	포인트/NNG+]/SS+최나연/NNP+,/SP
트로피	트로피/NNG
직접	직접/MAG
들고	들/VV+고/EC
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
까닭은…	까닭/NNG+은/JX+…/SE


# id : NWRW1800000033.230.2.1
올해 US여자오픈에서 메이저 여왕에 등극한 최나연(25·사진).

올해	올해/NNG
US여자오픈에서	US/SL+여자/NNG+오픈/NNG+에서/JKB
메이저	메이저/NNG
여왕에	여왕/NNG+에/JKB
등극한	등극/NNG+하/XSV+ㄴ/ETM
최나연(25·사진).	최나연/NNP+(/SS+25/SN+·/SP+사진/NNG+)/SS+./SF


# id : NWRW1800000033.230.2.2
10일 인천공항을 통해 귀국한 그의 짐 꾸러미에는 총알도 뚫기 힘들 듯한 육중한 붉은색 상자가 있었다.

10일	10/SN+일/NNB
인천공항을	인천공항/NNP+을/JKO
통해	통하/VV+아/EC
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
그의	그/NP+의/JKG
짐	짐/NNG
꾸러미에는	꾸러미/NNG+에/JKB+는/JX
총알도	총알/NNG+도/JX
뚫기	뚫/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
육중한	육중하/VA+ㄴ/ETM
붉은색	붉은색/NNG
상자가	상자/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.230.2.3
우승 트로피를 담은 케이스였다.

우승	우승/NNG
트로피를	트로피/NNG+를/JKO
담은	담/VV+은/ETM
케이스였다.	케이스/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.230.3.1
당초 이 트로피는 대회를 주관한 미국골프협회(USGA)가 최나연이 원하는 장소로 몇 주 후 보내주기로 돼 있었다.

당초	당초/NNG
이	이/MMD
트로피는	트로피/NNG+는/JX
대회를	대회/NNG+를/JKO
주관한	주관/NNG+하/XSV+ㄴ/ETM
미국골프협회(USGA)가	미국골프협회/NNP+(/SS+USGA/SL+)/SS+가/JKS
최나연이	최나연/NNP+이/JKS
원하는	원/NNG+하/XSV+는/ETM
장소로	장소/NNG+로/JKB
몇	몇/NR
주	주/NNB
후	후/NNG
보내주기로	보내/VV+어/EC+주/VX+기/ETN+로/JKB
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.230.3.2
실제로 앞서 이 대회에서 우승한 박인비, 유소연 등은 트로피를 직접 들고 오지 않았다.

실제로	실제로/MAG
앞서	앞서/MAG
이	이/MMD
대회에서	대회/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
박인비,	박인비/NNP+,/SP
유소연	유소연/NNP
등은	등/NNB+은/JX
트로피를	트로피/NNG+를/JKO
직접	직접/MAG
들고	들/VV+고/EC
오지	오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.230.3.3
하지만 그는 멀리 한국에 계신 부모님께 빨리 보여드리고 싶다며 갖고 갈 의사를 밝혔다.

하지만	하지만/MAJ
그는	그/NP+는/JX
멀리	멀리/MAG
한국에	한국/NNP+에/JKB
계신	계시/VV+ㄴ/ETM
부모님께	부모/NNG+님/XSN+께/JKB
빨리	빨리/MAG
보여드리고	보이/VV+어/EC+드리/VX+고/EC
싶다며	싶/VX+다며/EC
갖고	갖/VV+고/EC
갈	가/VV+ㄹ/ETM
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.230.3.4
금의환향의 자리를 빛낸 트로피에는 한국 선수 5명을 비롯한 역대 우승자의 이름이 연도와 함께 촘촘히 새겨져 있었으나 정작 최나연의 이름은 빠져 있었다.

금의환향의	금의환향/NNG+의/JKG
자리를	자리/NNG+를/JKO
빛낸	빛내/VV+ㄴ/ETM
트로피에는	트로피/NNG+에/JKB+는/JX
한국	한국/NNP
선수	선수/NNG
5명을	5/SN+명/NNB+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
역대	역대/NNG
우승자의	우승자/NNG+의/JKG
이름이	이름/NNG+이/JKS
연도와	연도/NNG+와/JKB
함께	함께/MAG
촘촘히	촘촘히/MAG
새겨져	새기/VV+어/EC+지/VX+어/EC
있었으나	있/VX+었/EP+으나/EC
정작	정작/MAG
최나연의	최나연/NNP+의/JKG
이름은	이름/NNG+은/JX
빠져	빠지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.230.3.5
작업할 시간도 없이 바로 들고 와서다.

작업할	작업/NNG+하/XSV+ㄹ/ETM
시간도	시간/NNG+도/JX
없이	없이/MAG
바로	바로/MAG
들고	들/VV+고/EC
와서다.	오/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.230.3.6
최나연의 매니지먼트 업체는 “우리 돈을 들여 이름을 직접 새겨야 할 판”이라고 말했다.

최나연의	최나연/NNP+의/JKG
매니지먼트	매니지먼트/NNG
업체는	업체/NNG+는/JX
“우리	“/SS+우리/NP
돈을	돈/NNG+을/JKO
들여	들이/VV+어/EC
이름을	이름/NNG+을/JKO
직접	직접/MAG
새겨야	새기/VV+어야/EC
할	하/VX+ㄹ/ETM
판”이라고	판/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.230.4.1
최나연은 이 트로피를 1년 가까이 보관한 뒤 내년 대회를 한 달 정도 앞두고 USGA로 돌려보내야 한다.

최나연은	최나연/NNP+은/JX
이	이/MMD
트로피를	트로피/NNG+를/JKO
1년	1/SN+년/NNB
가까이	가까이/MAG
보관한	보관/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
내년	내년/NNG
대회를	대회/NNG+를/JKO
한	한/MMN
달	달/NNB
정도	정도/NNG
앞두고	앞두/VV+고/EC
USGA로	USGA/SL+로/JKB
돌려보내야	돌려보내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.230.4.2
그 대신 복제품(Replica) 트로피를 받아 영원히 소장하게 된다.

그	그/MMD
대신	대신/NNG
복제품(Replica)	복제품/NNG+(/SS+Replica/SL+)/SS
트로피를	트로피/NNG+를/JKO
받아	받/VV+아/EC
영원히	영원히/MAG
소장하게	소장/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.230.4.3
영국의 전문 업체에 주문하면 제작에만 두 달 가까이 걸린다.

영국의	영국/NNP+의/JKG
전문	전문/NNG
업체에	업체/NNG+에/JKB
주문하면	주문/NNG+하/XSV+면/EC
제작에만	제작/NNG+에/JKB+만/JX
두	두/MMN
달	달/NNB
가까이	가까이/MAG
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.230.4.4
진품 크기의 90%인 모조품 가격만도 7000파운드(약 1200만 원)가 넘는데 사재를 털어야 한다.

진품	진품/NNG
크기의	크기/NNG+의/JKG
90%인	90/SN+%/SW+이/VCP+ㄴ/ETM
모조품	모조품/NNG
가격만도	가격/NNG+만/JX+도/JX
7000파운드(약	7000/SN+파운드/NNB+(/SS+약/MMA
1200만	1200/SN+만/NR
원)가	원/NNB+)/SS+가/JKS
넘는데	넘/VV+는데/EC
사재를	사재/NNG+를/JKO
털어야	털/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.230.4.5
복제품도 그 가치를 위해 우승자에게만 단 1개를 만들어 준다.

복제품도	복제품/NNG+도/JX
그	그/MMD
가치를	가치/NNG+를/JKO
위해	위하/VV+아/EC
우승자에게만	우승자/NNG+에게/JKB+만/JX
단	단/MMA
1개를	1/SN+개/NNB+를/JKO
만들어	만들/VV+어/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.230.5.1
2009년 미국프로골프(PGA) 챔피언십에서 우승하며 아시아 최초의 남자 메이저 챔피언이 된 양용은도 시상식에서는 높이 71cm, 무게 12.3kg에 이르는 ‘워너 메이커 트로피’를 안은 뒤 나중에 복제품 트로피를 받았다.

2009년	2009/SN+년/NNB
미국프로골프(PGA)	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS
챔피언십에서	챔피언십/NNG+에서/JKB
우승하며	우승/NNG+하/XSV+며/EC
아시아	아시아/NNP
최초의	최초/NNG+의/JKG
남자	남자/NNG
메이저	메이저/NNG
챔피언이	챔피언/NNG+이/JKC
된	되/VV+ㄴ/ETM
양용은도	양용은/NNP+도/JX
시상식에서는	시상식/NNG+에서/JKB+는/JX
높이	높이/NNG
71cm,	71/SN+cm/SW+,/SP
무게	무게/NNG
12.3kg에	12/SN+./SP+3/SN+kg/SW+에/JKB
이르는	이르/VV+는/ETM
‘워너	‘/SS+워너/NNP
메이커	메이커/NNP
