# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.209
metadata : {}


# id : NWRW1800000054.209.1.1
유례없는 내란선동 혐의로… 경찰, '태극기 집회' 수사

유례없는	유례없/VA+는/ETM
내란선동	내란/NNG+선동/NNG
혐의로…	혐의/NNG+로/JKB+…/SE
경찰,	경찰/NNG+,/SP
'태극기	'/SS+태극기/NNG
집회'	집회/NNG+'/SS
수사	수사/NNG


# id : NWRW1800000054.209.2.1
軍인권센터 고발에 검찰서 수사 지휘… 시위참가자에 '內亂' 죄목 첫 적용

軍인권센터	軍/SH+인권/NNG+센터/NNG
고발에	고발/NNG+에/JKB
검찰서	검찰/NNG+서/JKB
수사	수사/NNG
지휘…	지휘/NNG+…/SE
시위참가자에	시위/NNG+참가자/NNG+에/JKB
'內亂'	'/SS+內亂/SH+'/SS
죄목	죄목/NNG
첫	첫/MMN
적용	적용/NNG


# id : NWRW1800000054.209.3.1
경찰이 지난해 말부터 올해 초까지 진행된 박근혜 전 대통령 탄핵 반대 집회(태극기 집회)에서 '계엄령 선포'를 주장한 보수 단체 관계자들에 대해 내란 선동 혐의를 적용해 수사에 착수했다.

경찰이	경찰/NNG+이/JKS
지난해	지난해/NNG
말부터	말/NNB+부터/JX
올해	올해/NNG
초까지	초/NNB+까지/JX
진행된	진행/NNG+되/XSV+ㄴ/ETM
박근혜	박근혜/NNP
전	전/MMD
대통령	대통령/NNG
탄핵	탄핵/NNG
반대	반대/NNG
집회(태극기	집회/NNG+(/SS+태극기/NNG
집회)에서	집회/NNG+)/SS+에서/JKB
'계엄령	'/SS+계엄령/NNG
선포'를	선포/NNG+'/SS+를/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
보수	보수/NNG
단체	단체/NNG
관계자들에	관계자/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
내란	내란/NNG
선동	선동/NNG
혐의를	혐의/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
수사에	수사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.3.2
경찰이 집회·시위 참가자들을 내란 선동 혐의로 조사하는 건 사상 처음이다.

경찰이	경찰/NNG+이/JKS
집회·시위	집회/NNG+·/SP+시위/NNG
참가자들을	참가자/NNG+들/XSN+을/JKO
내란	내란/NNG
선동	선동/NNG
혐의로	혐의/NNG+로/JKB
조사하는	조사/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
사상	사상/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


