# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.352
metadata : {}


# id : NWRW1800000044.352.1.1
KBS 세월호 편파방송 논란속…여당 ‘수신료 인상’ 기습상정

KBS	KBS/SL
세월호	세월호/NNP
편파방송	편파/NNG+방송/NNG
논란속…여당	논란/NNG+속/NNG+…/SE+여당/NNG
‘수신료	‘/SS+수신료/NNG
인상’	인상/NNG+’/SS
기습상정	기습/NNG+상정/NNG


# id : NWRW1800000044.352.2.1
[한겨레] 야당 ‘의도 불순’ 거센 비판

[한겨레]	[/SS+한겨레/NNP+]/SS
야당	야당/NNG
‘의도	‘/SS+의도/NNG
불순’	불순/NNG+’/SS
거센	거세/VA+ㄴ/ETM
비판	비판/NNG


# id : NWRW1800000044.352.3.1
“슬픔에 빠진 국민 호주머니 털어

“슬픔에	“/SS+슬픔/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
국민	국민/NNG
호주머니	호주머니/NNG
털어	털/VV+어/EC


# id : NWRW1800000044.352.4.1
정권위한 방송 배불리려는 것”

정권위한	정권/NNG+위하/VV+ㄴ/ETM
방송	방송/NNG
배불리려는	배불리/VV+려는/ETM
것”	것/NNB+”/SS


# id : NWRW1800000044.352.5.1
시민단체들도 “절대 불가” 반발

시민단체들도	시민/NNG+단체/NNG+들/XSN+도/JX
“절대	“/SS+절대/NNG
불가”	불가/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000044.352.6.1
<한국방송>(KBS) 1~3년차 기자들이 세월호 참사와 관련한 정부 편향 보도를 반성한다는 글을 잇따라 발표한 가운데, 새누리당이 8일 <한국방송> 수신료 인상 승인안을 국회 미래창조과학방송통신위원회(미방위)에 기습적으로 상정했다.

<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
1~3년차	1/SN+~/SO+3/SN+년/NNB+차/NNB
기자들이	기자/NNG+들/XSN+이/JKS
세월호	세월호/NNP
참사와	참사/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
정부	정부/NNG
편향	편향/NNG
보도를	보도/NNG+를/JKO
반성한다는	반성/NNG+하/XSV+ㄴ다는/ETM
글을	글/NNG+을/JKO
잇따라	잇따르/VV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
