# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.302
metadata : {}


# id : NWRW1800000030.302.1.1
한선교 "청소년 스마트폰 내가 지킨다"

한선교	한선교/NNP
"청소년	"/SS+청소년/NNG
스마트폰	스마트폰/NNG
내가	내/NP+가/JKS
지킨다"	지키/VV+ㄴ다/EF+"/SS


# id : NWRW1800000030.302.2.1
?"음란 프로그램 규제법안 이번 주에 발의"

?"음란	?/SF+"/SS+음란/NNG
프로그램	프로그램/NNG
규제법안	규제/NNG+법안/NNG
이번	이번/NNG
주에	주/NNG+에/JKB
발의"	발의/NNG+"/SS


# id : NWRW1800000030.302.3.1
국회 문화체육관광방송통신위 한나라당 간사인 한선교사진> 의원이 청소년들이 스마트폰과 태블릿PC에서 음란물을 보지 못하도록 규제하는 법안을 이번 주에 발의할 예정이다.

국회	국회/NNG
문화체육관광방송통신위	문화/NNG+체육/NNG+관광/NNG+방송/NNG+통신위/NNG
한나라당	한나라당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
한선교사진>	한선교/NNP+사진/NNG+>/SS
의원이	의원/NNG+이/JKS
청소년들이	청소년/NNG+들/XSN+이/JKS
스마트폰과	스마트폰/NNG+과/JC
태블릿PC에서	태블릿/NNG+PC/SL+에서/JKB
음란물을	음란물/NNG+을/JKO
보지	보/VV+지/EC
못하도록	못하/VX+도록/EC
규제하는	규제/NNG+하/XSV+는/ETM
법안을	법안/NNG+을/JKO
이번	이번/NNG
주에	주/NNG+에/JKB
발의할	발의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.302.4.1
한 의원은 작년 국정감사 때 스마트폰 애플리케이션(응용프로그램) 마켓에 수백 개의 성인용 콘텐츠가 무방비로 노출된 점을 집중적으로 지적했었다.

한	한/NNP
의원은	의원/NNG+은/JX
작년	작년/NNG
국정감사	국정/NNG+감사/NNG
때	때/NNG
스마트폰	스마트폰/NNG
애플리케이션(응용프로그램)	애플리케이션/NNG+(/SS+응용/NNG+프로그램/NNG+)/SS
마켓에	마켓/NNG+에/JKB
수백	수백/NR
개의	개/NNB+의/JKG
성인용	성인/NNG+용/XSN
콘텐츠가	콘텐츠/NNG+가/JKS
무방비로	무/XPN+방비/NNG+로/JKB
노출된	노출/NNG+되/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
지적했었다.	지적/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000030.302.4.2
한 의원은 "청소년들이 아무 제약 없이 음란성 또는 폭력성 강한 매체에 노출되고 있는 상황을 그대로 둘 수 없다"면서 "법적·제도적 정비가 시급하다"고 했다.

한	한/NNP
의원은	의원/NNG+은/JX
"청소년들이	"/SS+청소년/NNG+들/XSN+이/JKS
아무	아무/MMD
제약	제약/NNG
없이	없이/MAG
음란성	음란/NNG+성/XSN
또는	또는/MAG
폭력성	폭력/NNG+성/XSN
강한	강하/VA+ㄴ/ETM
매체에	매체/NNG+에/JKB
노출되고	노출/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
상황을	상황/NNG+을/JKO
그대로	그대로/MAG
둘	두/VV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
"법적·제도적	"/SS+법/NNG+적/XSN+·/SP+제도/NNG+적/XSN
정비가	정비/NNG+가/JKS
시급하다"고	시급하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.302.5.1
한 의원은 이를 위해 방송통신발전법, 전파법, 전기통신사업법 등 3개 법률 개정안을 준비했다.

한	한/NNP
의원은	의원/NNG+은/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
방송통신발전법,	방송/NNG+통신/NNG+발전법/NNG+,/SP
전파법,	전파법/NNG+,/SP
전기통신사업법	전기/NNG+통신/NNG+사업법/NNG
등	등/NNB
3개	3/SN+개/NNB
법률	법률/NNG
개정안을	개정안/NNG+을/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.302.6.1
우선 방송통신위가 스마트폰 수입·생산업체 또는 이동통신사에 성인 콘텐츠 등 청소년 유해물을 차단할 수 있는 수단을 만들도록 책임지고 지도하도록 했다.

우선	우선/MAG
방송통신위가	방송/NNG+통신위/NNG+가/JKS
스마트폰	스마트폰/NNG
수입·생산업체	수입/NNG+·/SP+생산업체/NNG
또는	또는/MAG
이동통신사에	이동/NNG+통신사/NNG+에/JKB
성인	성인/NNG
콘텐츠	콘텐츠/NNG
등	등/NNB
청소년	청소년/NNG
유해물을	유해물/NNG+을/JKO
차단할	차단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수단을	수단/NNG+을/JKO
만들도록	만들/VV+도록/EC
책임지고	책임지/VV+고/EC
지도하도록	지도/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.302.6.2
또 이동통신사는 스마트폰이나 태블릿PC를 판매할 때 미성년자의 경우 청소년 유해 매체물을 차단할 수 있는 장치 설치를 확인하고 주기적으로 정상 작동 여부를 파악하도록 했다.

또	또/MAG
이동통신사는	이동/NNG+통신사/NNG+는/JX
스마트폰이나	스마트폰/NNG+이나/JC
태블릿PC를	태블릿/NNG+PC/SL+를/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
때	때/NNG
미성년자의	미성년자/NNG+의/JKG
경우	경우/NNG
청소년	청소년/NNG
유해	유해/NNG
매체물을	매체물/NNG+을/JKO
차단할	차단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장치	장치/NNG
설치를	설치/NNG+를/JKO
확인하고	확인/NNG+하/XSV+고/EC
주기적으로	주기/NNG+적/XSN+으로/JKB
정상	정상/NNG
작동	작동/NNG
여부를	여부/NNG+를/JKO
파악하도록	파악/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.302.7.1
그가 스마트폰 음란물 문제에 관심을 갖게 된 계기는 작년 4월 애플의 CEO였던 스티브 잡스의 말 한마디였다.

그가	그/NP+가/JKS
스마트폰	스마트폰/NNG
음란물	음란물/NNG
문제에	문제/NNG+에/JKB
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
계기는	계기/NNG+는/JX
작년	작년/NNG
4월	4/SN+월/NNB
애플의	애플/NNP+의/JKG
CEO였던	CEO/SL+이/VCP+었/EP+던/ETM
스티브	스티브/NNP
잡스의	잡스/NNP+의/JKG
말	말/NNG
한마디였다.	한마디/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.302.7.2
잡스는 "포르노를 (보기) 원한다면 구글의 안드로이드로 가라"고 했었다.

잡스는	잡스/NNP+는/JX
"포르노를	"/SS+포르노/NNG+를/JKO
(보기)	(/SS+보/VV+기/ETN+)/SS
원한다면	원/NNG+하/XSV+ㄴ다면/EC
구글의	구글/NNP+의/JKG
안드로이드로	안드로이드/NNG+로/JKB
가라"고	가/VV+라/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.302.8.1
한 의원은 "본인 확인 과정 없이 무차별적으로 청소년들이 음란물을 볼 수 있다는 사실에 충격을 받아 보호책 마련을 생각했다"고 했다.

한	한/NNP
의원은	의원/NNG+은/JX
"본인	"/SS+본인/NNG
확인	확인/NNG
과정	과정/NNG
없이	없이/MAG
무차별적으로	무/XPN+차별/NNG+적/XSN+으로/JKB
청소년들이	청소년/NNG+들/XSN+이/JKS
음란물을	음란물/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실에	사실/NNG+에/JKB
충격을	충격/NNG+을/JKO
받아	받/VV+아/EC
보호책	보호책/NNG
마련을	마련/NNG+을/JKO
생각했다"고	생각/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


