# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.1
metadata : {}


# id : NWRW1800000052.1.1.1
대법 “단말기 보조금 과세대상 아니다”

대법	대법/NNG
“단말기	“/SS+단말기/NNG
보조금	보조금/NNG
과세대상	과세/NNG+대상/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000052.1.2.1
[한겨레] “휴대전화기 할인액에 해당” 판결

[한겨레]	[/SS+한겨레/NNP+]/SS
“휴대전화기	“/SS+휴대/NNG+전화기/NNG
할인액에	할인액/NNG+에/JKB
해당”	해당/NNG+”/SS
판결	판결/NNG


# id : NWRW1800000052.1.3.1
KT 부가세 1144억 돌려받을 듯

KT	KT/SL
부가세	부가세/NNG
1144억	1144/SN+억/NR
돌려받을	돌려받/VV+을/ETM
듯	듯/NNB


# id : NWRW1800000052.1.4.1
대법원이 휴대전화 단말기 구입 보조금은 부가가치세 부과 대상이 아니라고 판결했다.

대법원이	대/XPN+법원/NNG+이/JKS
휴대전화	휴대/NNG+전화/NNG
단말기	단말기/NNG
구입	구입/NNG
보조금은	보조금/NNG+은/JX
부가가치세	부가/NNG+가치세/NNG
부과	부과/NNG
대상이	대상/NNG+이/JKC
아니라고	아니/VCN+라고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.1.4.2
대법원 취지대로 파기환송심에서 판결이 확정되면 세무당국은 케이티(KT)에 1144억원을 돌려줘야 한다.

대법원	대/XPN+법원/NNG
취지대로	취지/NNG+대로/JX
파기환송심에서	파기/NNG+환송심/NNG+에서/JKB
판결이	판결/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
세무당국은	세무/NNG+당국/NNG+은/JX
케이티(KT)에	케이티/NNP+(/SS+KT/SL+)/SS+에/JKB
1144억원을	1144/SN+억/NR+원/NNB+을/JKO
돌려줘야	돌려주/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.1.4.3
비슷한 소송을 진행하는 에스케이(SK)텔레콤과 엘지(LG)유플러스까지 포함하면 약 4500억원의 부가가치세를 돌려줘야 할 수도 있다.

비슷한	비슷하/VA+ㄴ/ETM
소송을	소송/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
에스케이(SK)텔레콤과	에스케이/NNP+(/SS+SK/SL+)/SS+텔레콤/NNG+과/JC
엘지(LG)유플러스까지	엘지/NNP+(/SS+LG/SL+)/SS+유플러스/NNP+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
약	약/MMA
4500억원의	4500/SN+억/NR+원/NNB+의/JKG
부가가치세를	부가/NNG+가치세/NNG+를/JKO
돌려줘야	돌려주/VV+어야/EC
할	하/VX+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.1.5.1
대법원 3부(주심 김용덕 대법관)는 케이티가 세무당국을 상대로 낸 부가가치세경정 거부처분 취소 소송에서 원고 패소 판결한 원심을 깨고 원고 승소 취지로 사건을 서울고법으로 돌려보냈다고 4일 밝혔다.

대법원	대/XPN+법원/NNG
3부(주심	3/SN+부/NNG+(/SS+주심/NNG
김용덕	김용덕/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
케이티가	케이티/NNP+가/JKS
세무당국을	세무/NNG+당국/NNG+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
부가가치세경정	부가/NNG+가치세/NNG+경정/NNG
거부처분	거부/NNG+처분/NNG
취소	취소/NNG
소송에서	소송/NNG+에서/JKB
원고	원고/NNG
패소	패소/NNG
판결한	판결/NNG+하/XSV+ㄴ/ETM
원심을	원심/NNG+을/JKO
깨고	깨/VV+고/EC
승소	승소/NNG
취지로	취지/NNG+로/JKB
사건을	사건/NNG+을/JKO
서울고법으로	서울고법/NNP+으로/JKB
돌려보냈다고	돌려보내/VV+었/EP+다고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.1.6.1
케이티는 2006년3월 전기통신사업법이 개정에 따라 18개월 이상 가입자에게 단말기 구입 보조금을 지원했다.

케이티는	케이티/NNP+는/JX
2006년3월	2006/SN+년/NNB+3/SN+월/NNB
전기통신사업법이	전기/NNG+통신/NNG+사업법/NNG+이/JKS
개정에	개정/NNG+에/JKB
따라	따르/VV+아/EC
18개월	18/SN+개월/NNB
이상	이상/NNG
가입자에게	가입자/NNG+에게/JKB
단말기	단말기/NNG
구입	구입/NNG
보조금을	보조금/NNG+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.1.6.2
케이티는 단말기를 출고가격으로 대리점에 공급했고, 대리점은 보조금 지원 요건이 되는 가입자에게 보조금을 뺀 가격에 단말기를 팔고 판매금액을 케이티에 지급했다.

케이티는	케이티/NNP+는/JX
단말기를	단말기/NNG+를/JKO
출고가격으로	출고/NNG+가격/NNG+으로/JKB
대리점에	대리점/NNG+에/JKB
공급했고,	공급/NNG+하/XSV+았/EP+고/EC+,/SP
대리점은	대리점/NNG+은/JX
보조금	보조금/NNG
지원	지원/NNG
요건이	요건/NNG+이/JKC
되는	되/VV+는/ETM
가입자에게	가입자/NNG+에게/JKB
